"topic","term","beta"
1,"northshore",0.146810241843657
1,"wolf",0.122983323905151
1,"tonight",0.0912758042816382
1,"allstars",0.0912758042816382
1,"bucktown",0.0912758042816382
1,"bullets",0.0456379021408191
1,"channel",0.0456379021408191
1,"numbers",0.0456379021408191
1,"plus",0.0456379021408191
1,"release",0.0456379021408191
1,"saturate",0.0456379021408191
2,"week",0.14529822363443
2,"wolf",0.137212881277458
2,"northshore",0.136296000548649
2,"qad0",0.124541334543798
2,"short.to",0.124541334543798
2,"coming",0.0622706672718987
2,"show",0.0415137781812658
2,"great",0.0415137781812658
2,"come",0.0415137781812658
2,"see",0.0415137781812658
3,"allstars",0.09375
3,"bucktown",0.09375
3,"show",0.09375
3,"email",0.09375
3,"jessica",0.09375
3,"register",0.09375
3,"thehowlinwolf.com",0.09375
3,"tickets",0.09375
3,"away",0.0625
3,"giving",0.0625
3,"weekend",0.0625
4,"lots",0.142857142857143
4,"cheers",0.0714285714285714
4,"beer",0.0714285714285714
4,"chicken",0.0714285714285714
4,"day",0.0714285714285714
4,"drink",0.0714285714285714
4,"eat",0.0714285714285714
4,"hanging",0.0714285714285714
4,"happy",0.0714285714285714
4,"labor",0.0714285714285714
4,"parents",0.0714285714285714
4,"people",0.0714285714285714
4,"today",0.0714285714285714
5,"honduras",0.166666666666667
5,"blowing",0.0833333333333333
5,"bowl",0.0833333333333333
5,"watch",0.0833333333333333
5,"weeds",0.0833333333333333
5,"futbol",0.0833333333333333
5,"game",0.0833333333333333
5,"go",0.0833333333333333
5,"mexico",0.0833333333333333
5,"vrs",0.0833333333333333
5,"watching",0.0833333333333333
6,"bigger",0.0740740740740741
6,"tickets",0.0740740740740741
6,"gets",0.037037037037037
6,"getting",0.037037037037037
6,"whole",0.037037037037037
6,"front",0.037037037037037
6,"go",0.037037037037037
6,"wolf",0.037037037037037
6,"see",0.037037037037037
6,"tomorrow",0.037037037037037
6,"concert",0.037037037037037
6,"creed",0.037037037037037
6,"excited",0.037037037037037
6,"f",0.037037037037037
6,"floor",0.037037037037037
6,"going",0.037037037037037
6,"got",0.037037037037037
6,"row",0.037037037037037
6,"dr",0.037037037037037
6,"get",0.037037037037037
6,"john",0.037037037037037
6,"just",0.037037037037037
6,"late",0.037037037037037
6,"showed",0.037037037037037
6,"sit",0.037037037037037
7,"ass",0.0625
7,"bad",0.0625
7,"bakers",0.0625
7,"chair",0.0625
7,"cheers",0.0625
7,"cod4",0.0625
7,"front",0.0625
7,"live",0.0625
7,"lungs",0.0625
7,"mojo",0.0625
7,"n",0.0625
7,"playing",0.0625
7,"sitting",0.0625
7,"tv",0.0625
7,"wake",0.0625
7,"xb",0.0625
8,"northshore",0.0645161290322581
8,"n",0.0645161290322581
8,"plus",0.0645161290322581
8,"wolf",0.0645161290322581
8,"alkatraz",0.0645161290322581
8,"crime",0.0645161290322581
8,"dj",0.0645161290322581
8,"frontrunna",0.0645161290322581
8,"idil",0.0645161290322581
8,"k",0.0645161290322581
8,"partners",0.0645161290322581
8,"patient",0.0645161290322581
8,"scrim",0.0645161290322581
8,"tha",0.0645161290322581
9,"northshore",0.0769230769230769
9,"live",0.0769230769230769
9,"drink",0.0769230769230769
9,"plus",0.0769230769230769
9,"tonight",0.0769230769230769
9,"wolf",0.0769230769230769
9,"band",0.0769230769230769
9,"black",0.0769230769230769
9,"karoake",0.0769230769230769
9,"magnolia",0.0769230769230769
9,"night",0.0769230769230769
9,"sin",0.0769230769230769
9,"specials",0.0769230769230769
