"topic","term","beta"
1,"browncandy",0.0295198762569024
1,"day",0.0221465522679265
1,"care",0.0207623927518152
1,"way",0.0186137783493138
1,"home",0.0147271234151301
1,"tonight",0.0145631196784505
1,"wish",0.0124574356182114
1,"200.00",0.0110732761343015
1,"elder",0.0110732761343015
1,"seniors",0.0110732761343015
2,"idek.net",0.0294929136508313
2,"dna",0.0162211025079572
2,"can",0.016175459527315
2,"yes",0.0122495920456139
2,"number",0.0117971654603325
2,"times",0.0117971654603241
2,"missing",0.0102212461987558
2,"one",0.00975587528427002
2,"daily",0.00884787409524939
2,"voice",0.00884787409524939
2,"lehi's",0.00884787409524939
2,"mormon",0.00884787409524939
2,"wnd",0.00884787409524939
3,"sept",0.0224877670306216
3,"ccr2009",0.0196767961517939
3,"city",0.0196767961517939
3,"cowboy",0.0196767961517939
3,"curve",0.0196767961517939
3,"rapid",0.0196767961517939
3,"reunion",0.0196767961517939
3,"sd",0.0196767961517939
3,"www.curvecowboyreunion.com",0.0196767961517939
3,"football",0.0196767961513266
4,"know",0.0234527935751831
4,"show",0.0141528664732786
4,"u",0.0139142562655356
4,"good",0.0125331004338513
4,"guy",0.0117367409774252
4,"now",0.011582069088542
4,"still",0.00933072174175426
4,"browncandy",0.00870222971099479
4,"want",0.0078244939899837
4,"djflamingo",0.0078244939899837
5,"see",0.0141173847589568
5,"just",0.0140449245142127
5,"like",0.0123683208814732
5,"mins",0.0106778160419375
5,"right",0.010359776414465
5,"video",0.0102586309992819
5,"twitter",0.0101927756863581
5,"rt",0.00847686139187149
5,"wow",0.00776983231143426
5,"watch",0.00776983231143426
6,"get",0.0229588495478342
6,"night",0.0144785906430397
6,"better",0.0131101252588516
6,"take",0.0109361789294765
6,"going",0.0100051315019536
6,"led",0.00792372700696505
6,"zeppelin",0.00792372700696505
6,"much",0.007839650807033
6,"need",0.00782631009826442
6,"talk",0.00779108478319697
7,"new",0.0289615973788692
7,"bed",0.0255062921735953
7,"rt",0.0223296720809091
7,"time",0.0217076567893572
7,"tomorrow",0.0144807986696312
7,"think",0.0119196600011585
7,"done",0.0115845728252337
7,"working",0.0101055030544244
7,"friday",0.00984136232503582
7,"music",0.00724039934471801
8,"lol",0.0195285113503462
8,"lnk.ms",0.0181683787636587
8,"just",0.0176577030496314
8,"get",0.0142013350348041
8,"puppy",0.0121124770726407
8,"now",0.0119429308349048
8,"going",0.0108265551120543
8,"mins",0.0106037520815367
8,"twitpic.com",0.00968998165811256
8,"fuck",0.00847277450928377
9,"u",0.0215583815973429
9,"lol",0.0123488317675208
9,"go",0.0115187617063832
9,"get",0.0113308213356857
9,"good",0.011233438083598
9,"bleaus",0.0105612128156798
9,"just",0.00922102837082994
9,"really",0.00886502413908838
9,"pretty",0.00792090961178186
9,"sleep",0.00792090677729566
