"topic","term","beta"
1,"new",0.0366131986463991
1,"call",0.021662412232612
1,"can",0.0160182717671888
1,"currently",0.016018212504922
1,"branli",0.0137299495840059
1,"looking",0.0137298946317728
1,"x",0.0131282719510137
1,"start",0.0114416246533383
1,"career",0.0114416246533383
1,"two",0.00915329972267061
1,"see",0.00915329972267061
2,"im",0.0177380681377055
2,"read",0.0177380666415888
2,"night",0.0176011522574071
2,"well",0.0158517521768912
2,"crap",0.0131195351239896
2,"going",0.0129284907455345
2,"last",0.011086292586066
2,"branli",0.011086292586066
2,"glad",0.0110856983215526
2,"love",0.0107514024649556
3,"twitter",0.018325347403737
3,"wyoming",0.0137440105528049
3,"september",0.0137440105528049
3,"tweets",0.0137440105528049
3,"just",0.0127544257805097
3,"good",0.011610899545616
3,"rt",0.0114533421273374
3,"college",0.010906158950662
3,"show",0.0091626737018699
3,"part",0.0091626737018699
4,"call",0.0285626062669352
4,"get",0.0178419471623942
4,"ext",0.0168840827665763
4,"alyssaavant",0.0147735150597573
4,"cdl",0.0146850125016898
4,"information",0.0126630620749314
4,"need",0.0125875324500255
4,"help",0.0105525517291102
4,"u",0.0105525517291102
4,"today",0.0105525517291102
5,"one",0.0274899692550696
5,"just",0.0187391708152424
5,"today",0.0165024091362396
5,"day",0.0162366360052698
5,"head",0.0137449845121572
5,"good",0.0119373263041187
5,"going",0.0118416593306471
5,"aid",0.0114541538586761
5,"financial",0.0114541538586739
5,"time",0.0101919838807294
6,"morning",0.0253736884862307
6,"everyone",0.0236286842274923
6,"good",0.0230092415287788
6,"think",0.0185191580851504
6,"oh",0.0169163482395847
6,"guitar",0.0164650421376086
6,"just",0.0159083758998606
6,"got",0.0149948082029099
6,"now",0.0145091059643523
6,"right",0.0123487816031989
7,"rt",0.0470356219734762
7,"wyoming",0.0222797495422091
7,"thing",0.0113433056231094
7,"now",0.0104079722603232
7,"watching",0.010296089754045
7,"oil",0.00990224662623143
7,"control",0.00990224662623143
7,"energy",0.00990224662623143
7,"twitter",0.00742668496967358
7,"back",0.00742668496967358
7,"ustream",0.00742668496967358
7,"super",0.00742668496967358
7,"music",0.00742668496967358
8,"like",0.0852270241943163
8,"looking",0.0290347909323079
8,"currently",0.0251304736677242
8,"tax",0.0142045040435075
8,"probably",0.0142045040435074
8,"strait",0.0142045040435072
8,"george",0.014204504043507
8,"high",0.0118370867029229
8,"wyoming",0.011837086702864
8,"get",0.0100076962206435
9,"still",0.0339914598463619
9,"today",0.0138525737371592
9,"just",0.0125751882963652
9,"house",0.012139749231265
9,"twitter",0.00971184569108661
9,"game",0.00952498608246079
9,"currently",0.00821821241613445
9,"looking",0.00813020169814539
9,"hopefully",0.00766454359097258
9,"yum",0.00728388426831496
9,"new",0.00728388426831496
9,"monday",0.00728388426831496
9,"fat",0.00728388426831496
9,"follow",0.00728388426831496
9,"massillon",0.00728388426831496
9,"ohio",0.00728388426831496
9,"festival",0.00728388426831496
9,"residents",0.00728388426831496
9,"wish",0.00728388426831496
9,"working",0.00728388426831496
