"topic","term","beta"
1,"much",0.0303469340401406
1,"nikkbrown",0.0227602005301364
1,"workout",0.0227602005301364
1,"work",0.0217898911994878
1,"need",0.0151734670200909
1,"right",0.0151734670200909
1,"week",0.0151734670200909
1,"im",0.0151734670200909
1,"little",0.0151734670200909
1,"yo",0.0151734670200909
1,"heh",0.0151734670200909
1,"visinin",0.0151734670200909
1,"lunch",0.0151734670200909
1,"end",0.0151734670200909
1,"now",0.0151734670200909
1,"still",0.0151734670200909
1,"stuff",0.0151734670200909
1,"gave",0.0151734670200909
1,"yes",0.0151734670200909
1,"computer",0.0151734670200909
2,"beats",0.0287769784172651
2,"dert",0.0287769784172651
2,"just",0.0287769784172651
2,"listening",0.0287769784172651
2,"rt",0.0287769784172651
2,"hype",0.0215827338129488
2,"night",0.0215827338129488
2,"ur",0.0215827338129488
2,"lol",0.0215827338129488
2,"make",0.0143884892086325
2,"theoryhazit",0.0143884892086325
2,"birthday",0.0143884892086325
2,"happy",0.0143884892086325
2,"jayelectronica",0.0143884892086325
2,"get",0.0143884892086325
2,"last",0.0143884892086325
2,"uncle",0.0143884892086325
2,"zo3hree5ive",0.0143884892086325
2,"14kt",0.0143884892086325
2,"cleaning",0.0143884892086325
2,"golden",0.0143884892086325
2,"hour",0.0143884892086325
2,"trilogybeats",0.0143884892086325
2,"u",0.0143884892086325
2,"im",0.0143884892086325
2,"bots",0.0143884892086325
2,"laharlx",0.0143884892086325
2,"can",0.0143884892086325
2,"car",0.0143884892086325
2,"bigkat21",0.0143884892086325
2,"bad",0.0143884892086325
3,"rt",0.0575540343366792
3,"need",0.0431655257525094
3,"lol",0.0287770171683396
3,"14kt",0.0287770171683396
3,"sweet",0.0287770171683396
3,"week",0.0215827628762547
3,"posted",0.0215827628762547
3,"say",0.0215827628762547
3,"enough",0.0215826755710446
3,"well",0.0215815035816643
4,"god",0.058252427184466
4,"sure",0.0485436893203883
4,"good",0.0485436893203883
4,"got",0.0388349514563107
4,"know",0.0388349514563107
4,"just",0.029126213592233
4,"make",0.0194174757281553
4,"isanaka",0.0194174757281553
4,"mind",0.0194174757281553
4,"adotdubble",0.0194174757281553
4,"like",0.0194174757281553
4,"makin",0.0194174757281553
4,"see",0.0194174757281553
4,"portland",0.0194174757281553
4,"doughnuts",0.0194174757281553
4,"eugene",0.0194174757281553
4,"let",0.0194174757281553
4,"voodoo",0.0194174757281553
4,"valady_42",0.0194174757281553
5,"just",0.0473063131906449
5,"back",0.041939487754363
5,"day",0.0349495731286358
5,"think",0.0279596585029087
5,"kinqfresh",0.0279596585029087
5,"get",0.0279008977281773
5,"getting",0.0209697438771815
5,"yeah",0.0209697438771815
5,"yu",0.0209697438771815
5,"money",0.0139798292514543
5,"adotdubble",0.0139798292514543
5,"min",0.0139798292514543
5,"probably",0.0139798292514543
5,"saturday",0.0139798292514543
