"topic","term","beta"
1,"need",0.0250036297889175
1,"night",0.0208363895524527
1,"times",0.0104181947762263
1,"think",0.0104181947762263
1,"good",0.00928918454628584
1,"tinyurl.com",0.00833455582098106
1,"right",0.00833455582098106
1,"bi",0.00833455582098106
1,"polar",0.00833455582098106
1,"fidelcatsro",0.00833455582098106
1,"sorry",0.00833455582098106
2,"right",0.0157637153375758
2,"still",0.0155987579409874
2,"good",0.0144402088275131
2,"oh",0.0132141282564539
2,"stop",0.0118231462803676
2,"twitpic.com",0.0109969686153954
2,"travel",0.00985262190030636
2,"long",0.00985262190030636
2,"glenn",0.00985262190030635
2,"beck",0.00985262190030635
3,"new",0.0205280386512504
3,"ow.ly",0.019676900477339
3,"qte",0.0178880913430355
3,"blog",0.0178880913430355
3,"great",0.0142574869625659
3,"get",0.014163784209185
3,"now",0.0125216639401248
3,"another",0.0125215824715765
3,"ping.fm",0.0125080378491083
3,"emmasaberi",0.0107328548058213
4,"yes",0.0193285705508055
4,"rt",0.0135411106707868
4,"see",0.0122564146856173
4,"things",0.0116066662892458
4,"amazing",0.0115900273581612
4,"call",0.00967222190770487
4,"stuff",0.00967222190770487
4,"just",0.00967222190770487
4,"andrewwk",0.00967222190770487
4,"nyc",0.00967222160987277
5,"time",0.0424855524868736
5,"like",0.036709705023955
5,"want",0.0231849960087147
5,"really",0.0191134877912504
5,"people",0.0170854019710032
5,"work",0.013524628171755
5,"nice",0.0135166125870127
5,"think",0.0134388242932869
5,"emmasaberi",0.0130969389710737
5,"one",0.0100866480057835
6,"good",0.0210148204388449
6,"one",0.0124047042727394
6,"hahaha",0.0123740793134863
6,"rehearsal",0.00886050305194746
6,"ha",0.00869095466448308
6,"go",0.00862944668792256
6,"p",0.00861915438727141
6,"going",0.00801921417735654
6,"now",0.00764864027771847
6,"know",0.00720963000168217
7,"day",0.0353488203608712
7,"rt",0.013504055143145
7,"going",0.012447389456745
7,"know",0.0112818711732505
7,"get",0.0102542601796944
7,"emmasaberi",0.0100378920487122
7,"getting",0.0100083705771429
7,"thanks",0.0096176398096177
7,"school",0.00961233212893411
7,"ok",0.00950939380941844
8,"just",0.0364712984118284
8,"back",0.0218643602399571
8,"get",0.019604335464726
8,"much",0.0164833971880255
8,"tezzer57",0.0109901911981346
8,"now",0.0103005570662529
8,"yay",0.00915849287622068
8,"way",0.00915849287621549
8,"video",0.00905589709721407
8,"jets",0.00840586138490541
9,"rt",0.0317130526863118
9,"d",0.019802410612256
9,"home",0.013894122583569
9,"p",0.00992786309660828
9,"going",0.00992786309660828
9,"lol",0.00992786309660828
9,"homework",0.00794229047728662
9,"spencelowry",0.00794229047728662
9,"looking",0.00794229047728662
9,"flu",0.00794229047726486
