"topic","term","beta"
1,"great",0.0347825815068123
1,"lnk.ms",0.0347825815068123
1,"home",0.0260869361301093
1,"back",0.0173912907534062
1,"incredible",0.0173912907534062
1,"just",0.0173912907534062
1,"got",0.0173912907534062
1,"break",0.0173912907534062
1,"now",0.0173912907534062
1,"world",0.0173912907534062
1,"tonight",0.0173912907534062
1,"morning",0.0173912907534062
1,"anyone",0.0173912907534062
1,"daughter",0.0173912907534062
1,"dinner",0.0173912907534062
1,"farmer's",0.0173912907534062
1,"heading",0.0173912907534062
1,"uga009",0.0173912907534062
1,"seeing",0.0173912907534062
1,"better",0.0173912907534062
1,"anymore",0.0173912907534062
1,"cant",0.0173912907534062
1,"trust",0.0173912907534062
2,"david",0.0384615314127246
2,"love",0.0307692342862033
2,"lynn",0.0307692342862033
2,"see",0.0230769257146525
2,"things",0.0230769257146525
2,"night",0.0230769257146525
2,"better",0.0230769257146525
2,"lnk.ms",0.0230769257146525
2,"tv",0.0230768228571036
2,"early",0.0153846171431016
2,"just",0.0153846171431016
2,"good",0.0153846171431016
2,"tomorrow",0.0153846171431016
2,"new",0.0153846171431016
2,"online",0.0153846171431016
2,"soundcheck",0.0153846171431016
2,"due",0.0153846171431016
2,"mood",0.0153846171431016
3,"lol",0.0292577561403762
3,"list",0.0292577561403762
3,"work",0.0219433171052822
3,"get",0.0219433171052822
3,"jefffnbaker",0.0219433171052822
3,"just",0.0146288780701881
3,"show",0.0146288780701881
3,"getting",0.0146288780701881
3,"ready",0.0146288780701881
3,"sorry",0.0146288780701881
3,"blowing",0.0146288780701881
3,"crazy",0.0146288780701881
3,"monopolycitysts",0.0146288780701881
3,"streets",0.0146288780701881
3,"buy",0.0146288780701881
4,"need",0.0357839476791807
4,"lnk.ms",0.0357839476791807
4,"clean",0.0268379607593855
4,"em",0.0268379607593855
4,"friends",0.0268379607593855
4,"church",0.0268379606030771
4,"sermon",0.0211497019898748
4,"day",0.0178919738395903
4,"show",0.0178919738395903
4,"now",0.0178919738395903
4,"website",0.0178919738395903
4,"away",0.0178919738395903
4,"go",0.0178919738395903
4,"bout",0.0178919738395903
4,"errands",0.0178919738395903
4,"run",0.0178919738395903
4,"version",0.0178919738395903
4,"fucking",0.0178919738395903
5,"us",0.0297029854820287
5,"family",0.0198019903213524
5,"ready",0.0198019903213524
5,"much",0.0198019903213524
5,"next",0.0198019903213524
5,"stuff",0.0198019903213524
5,"nqc",0.0198019903213524
5,"grandpa",0.0198019150117851
5,"grandma",0.0198014220114378
5,"see",0.00990099516067622
5,"day",0.00990099516067622
5,"just",0.00990099516067622
5,"clas",0.00990099516067622
5,"homework",0.00990099516067622
5,"hr",0.00990099516067622
5,"may",0.00990099516067622
5,"ok",0.00990099516067622
5,"today",0.00990099516067622
5,"good",0.00990099516067622
5,"mcnair",0.00990099516067622
5,"news",0.00990099516067622
5,"prayers",0.00990099516067622
5,"read",0.00990099516067622
5,"sad",0.00990099516067622
5,"steve",0.00990099516067622
5,"got",0.00990099516067622
5,"now",0.00990099516067622
5,"getting",0.00990099516067622
5,"funny",0.00990099516067622
5,"twitter",0.00990099516067622
5,"nothing",0.00990099516067622
5,"days",0.00990099516067622
5,"bus",0.00990099516067622
5,"get",0.00990099516067622
5,"entertaining",0.00990099516067622
5,"hours",0.00990099516067622
5,"stories",0.00990099516067622
5,"tommy",0.00990099516067622
5,"yesteryear",0.00990099516067622
5,"friends",0.00990099516067622
5,"awesome",0.00990099516067622
5,"blessed",0.00990099516067622
5,"breakfast",0.00990099516067622
5,"kevinwardmusic",0.00990099516067622
5,"matt",0.00990099516067622
5,"mother",0.00990099516067622
5,"productive",0.00990099516067622
5,"soooo",0.00990099516067622
5,"talk",0.00990099516067622
5,"walk",0.00990099516067622
5,"taping",0.00990099516067622
5,"made",0.00990099516067622
5,"working",0.00990099516067622
5,"week",0.00990099516067622
5,"jesus",0.00990099516067622
5,"digging",0.00990099516067622
5,"evidently",0.00990099516067622
5,"fixreplies",0.00990099516067622
5,"found",0.00990099516067622
5,"guess",0.00990099516067622
5,"letting",0.00990099516067622
5,"longer",0.00990099516067622
5,"replies",0.00990099516067622
5,"think",0.00990099516067622
5,"equipment",0.00990099516067622
5,"fixed",0.00990099516067622
5,"last",0.00990099516067622
5,"penske",0.00990099516067622
5,"riding",0.00990099516067622
5,"style",0.00990099516067622
5,"truck",0.00990099516067622
5,"around",0.00990099516067622
5,"krystalb",0.00990099516067622
5,"rock",0.00990099516067622
5,"sale",0.00990099516067622
5,"coming",0.00990099516067622
5,"cool",0.00990099516067622
5,"couple",0.00990099516067622
5,"grandparents",0.00990099516067622
5,"hang",0.00990099516067622
5,"mmy",0.00990099516067622
5,"gracekingsport",0.00990099516067622
5,"bro",0.00990099516067622
5,"deal",0.00990099516067622
5,"jamiemunson",0.00990099516067622
5,"means",0.00990099516067622
5,"thx",0.00990099516067622
5,"gospel",0.00990099516067622
5,"headed",0.00990099516067622
5,"share",0.00990099516067622
5,"worship",0.00990099516067622
6,"lol",0.0357661195887958
6,"god",0.0273763790985113
6,"just",0.0268245896915968
6,"ok",0.0268245896915968
6,"going",0.0268245896915968
6,"never",0.0268245896915968
6,"sermon",0.0235683681938282
6,"tough",0.0178830597943979
6,"im",0.0178830597943979
6,"running",0.0178830597943979
6,"tech",0.0178830597943979
6,"think",0.0178830597943979
6,"fighting",0.0178830597943979
7,"praying",0.0398861669506965
7,"please",0.0299150062904509
7,"chris",0.019943337527314
7,"day",0.019943337527314
7,"really",0.019943337527314
7,"just",0.019943337527314
7,"miss",0.019943337527314
7,"feeling",0.019943337527314
7,"bus",0.019943337527314
7,"nqc",0.019943337527314
7,"knows",0.019943337527314
8,"tcot",0.0542572869338101
8,"rt",0.045214405836007
8,"ftrs",0.0330413212862372
8,"handsoff",0.0271286426735476
8,"www.freeourhealthcarenow.com",0.0271286388650569
8,"microsoft",0.0180857623344028
8,"kiffin",0.0180857623344028
8,"plan",0.0180857623344028
8,"public",0.0180857623344028
8,"whitehouse",0.0180857623344028
8,"care",0.0180857623344028
8,"health",0.0180857623344028
9,"kingsport",0.0244307431569139
9,"just",0.0244307431569139
9,"nqc",0.0244307431569139
9,"still",0.0244307431569139
9,"signed",0.0162871621046093
9,"u",0.0162871621046093
9,"pm",0.0162871621046093
9,"service",0.0162871621046093
9,"far",0.0162871621046093
9,"band",0.0162871621046093
9,"vocal",0.0162871621046093
9,"evan",0.0162871621046093
