"topic","term","beta"
1,"new",0.0353691888996504
1,"now",0.0133848486408576
1,"ku",0.0122091289034443
1,"duke",0.0115069288835603
1,"ncaaf",0.0108335365166627
1,"rt",0.00933701417226493
1,"read",0.00788150746449235
1,"book",0.00629382687355481
1,"get",0.00567580355808611
1,"right",0.00556233844513521
2,"day",0.0352933880800804
2,"home",0.0273525169727708
2,"sweet",0.0154291033383498
2,"twitpic.com",0.0138260987062878
2,"rt",0.0115579434067558
2,"best",0.00705871405749919
2,"talk",0.00702495675833833
2,"time",0.00698821489637829
2,"better",0.00670913049605201
2,"great",0.0066608080155468
3,"fun",0.0125899738503183
3,"bertobeam",0.0119015640418169
3,"friend",0.0091550492629361
3,"name",0.0091550492629361
3,"come",0.00915504926240248
3,"one",0.00850200572539581
3,"yu",0.0082395443366425
3,"oriios",0.0082395443366425
3,"love",0.00697246778934824
3,"cowboys",0.00640853448372011
4,"just",0.016628392092709
4,"sure",0.0122265549321871
4,"rt",0.0114150795419687
4,"work",0.0112615453044769
4,"get",0.0104791575651089
4,"can",0.00886374930202805
4,"back",0.00859771908401283
4,"yeah",0.0078602335536534
4,"apple",0.00611351498617487
4,"bring",0.00611351476373327
5,"people",0.0295199843867321
5,"world",0.0169108837420123
5,"video",0.0148020125407013
5,"make",0.011630152710551
5,"need",0.010602544677564
5,"now",0.0102201265954443
5,"weird",0.00951557949045084
5,"really",0.00941189038448272
5,"lol",0.00845827403125404
5,"see",0.00694363655033156
6,"tonight",0.017598999039555
6,"thanks",0.0147460405759053
6,"tinyurl.com",0.00994854255023104
6,"get",0.0086110159856197
6,"rt",0.00742746226243953
6,"great",0.0073066120813182
6,"cheese",0.0069695913154293
6,"sign",0.00696958958549361
6,"makes",0.00695636002652383
6,"going",0.00683588779455693
7,"utah",0.0353068876630849
7,"parkcity",0.0302639008800699
7,"film",0.0232023240080537
7,"park",0.0211847104088189
7,"rt",0.0193302503877349
7,"go",0.0189462691519402
7,"city",0.018158340528042
7,"slc",0.0181583378108833
7,"want",0.014568521353364
7,"know",0.0121786756960329
8,"twitter",0.018108853045295
8,"like",0.0153257044656805
8,"got",0.0150631021226097
8,"just",0.0122954397751856
8,"get",0.0114331323057099
8,"know",0.00948622289089412
8,"good",0.00943968631253239
8,"rt",0.00866596826153212
8,"step",0.00862381145853259
8,"happy",0.0084315622975306
9,"night",0.0124190575789532
9,"game",0.0115133715298585
9,"done",0.00981641066174468
9,"ready",0.00892400969307522
9,"rt",0.00807963179714099
9,"band",0.00803160872376769
9,"buy",0.00791831523756287
9,"great",0.00767642631177587
9,"students",0.00713920775446017
9,"climb",0.00713920775445908
