"topic","term","beta"
1,"free",0.07845355377308
1,"shipping",0.0697364922427394
1,"wide",0.0305097153561985
1,"world",0.0305097153561985
1,"t",0.0261511845910273
1,"www.helpingfriendssave.com",0.0239473830249216
1,"psp",0.0217926538258561
1,"digg.com",0.0174341230606849
1,"house",0.0130755922955136
1,"ds",0.0130755922955136
2,"boise",0.0316253952724942
2,"open",0.0276722208634324
2,"rt",0.0193775729556278
2,"thing",0.0158126976362471
2,"class",0.0158126976362471
2,"ya",0.0118595232271853
2,"good",0.0118595232271853
2,"day",0.0118595232271853
2,"god",0.0118595232271853
2,"since",0.0118595232271853
2,"sleep",0.0118595232271853
2,"leaderboards",0.0118595232271853
2,"girl",0.0118595232271853
3,"first",0.0326086956521671
3,"t",0.0217391304347781
3,"digg.com",0.0217391304347781
3,"rt",0.0163043478260836
3,"drive",0.0163043478260836
3,"yeah",0.0163043478260836
3,"faith",0.010869565217389
3,"6gbps",0.010869565217389
3,"announces",0.010869565217389
3,"d3156y1",0.010869565217389
3,"hard",0.010869565217389
3,"sata",0.010869565217389
3,"seagate",0.010869565217389
3,"world's",0.010869565217389
3,"way",0.010869565217389
3,"courier",0.010869565217389
3,"d315elg",0.010869565217389
3,"details",0.010869565217389
3,"micros",0.010869565217389
3,"microsoft's",0.010869565217389
3,"secret",0.010869565217389
3,"tablet",0.010869565217389
3,"away",0.010869565217389
3,"gets",0.010869565217389
3,"want",0.010869565217389
3,"tomorrow",0.010869565217389
3,"frickin",0.010869565217389
3,"distro",0.010869565217389
3,"thomas_ward",0.010869565217389
4,"t",0.0375000093014852
4,"digg.com",0.0375000093014852
4,"ever",0.0250000062009902
4,"lollison",0.0187500046507426
4,"lazy",0.0125000031004951
4,"concerns",0.0125000031004951
4,"d3156wf",0.0125000031004951
4,"facebook",0.0125000031004951
4,"gaydar",0.0125000031004951
4,"online",0.0125000031004951
4,"privacy",0.0125000031004951
4,"raises",0.0125000031004951
4,"ati",0.0125000031004951
4,"d315fwu",0.0125000031004951
4,"fastest",0.0125000031004951
4,"ps",0.0125000031004951
4,"radeon",0.0125000031004951
4,"videocard",0.0125000031004951
4,"3,000",0.0125000031004951
4,"d315kgg",0.0125000031004951
4,"dvds",0.0125000031004951
4,"f",0.0125000031004951
4,"guilty",0.0125000031004951
4,"netflix",0.0125000031004951
4,"pinches",0.0125000031004951
4,"pleads",0.0125000031004951
4,"postal",0.0125000031004951
4,"worker",0.0125000031004951
4,"w",0.0125000031004951
4,"high",0.0125000031004951
4,"school",0.0125000031004951
4,"kelzies",0.0125000031004951
5,"today",0.0250352559736942
5,"us",0.0248606035107077
5,"day",0.0208627133114188
5,"via",0.0208627133114188
5,"like",0.020857815084907
5,"lol",0.0206443443626997
5,"patrick",0.016690170649135
5,"swayze",0.016690170649135
5,"kelzies",0.0125176279868513
5,"really",0.012517627986851
6,"t",0.0367803977910459
6,"digg.com",0.0367803977910459
6,"windows",0.018390198895523
6,"know",0.018390198895523
6,"ha",0.0137926491716422
6,"early",0.0137926491716422
6,"remyrevlon",0.0137926491716422
6,"mamaz",0.0137926491716422
6,"got",0.00919509944776148
6,"hr",0.00919509944776148
6,"first",0.00919509944776148
6,"d315cnd",0.00919509944776148
6,"iii",0.00919509944776148
6,"octane",0.00919509944776148
6,"personal",0.00919509944776148
6,"sgi",0.00919509944776148
6,"supercomputer",0.00919509944776148
6,"unveils",0.00919509944776148
6,"2.1",0.00919509944776148
6,"d315i2s",0.00919509944776148
6,"look",0.00919509944776148
6,"moblin",0.00919509944776148
6,"d315nqu",0.00919509944776148
6,"never",0.00919509944776148
6,"rumors",0.00919509944776148
6,"microsoft",0.00919509944776148
6,"cafe",0.00919509944776148
6,"d315reg",0.00919509944776148
6,"flavored",0.00919509944776148
6,"opens",0.00919509944776148
6,"paris",0.00919509944776148
6,"waiting",0.00919509944776148
6,"d",0.00919509944776148
6,"one",0.00919509944776148
6,"kanye",0.00919509944776148
6,"tinyurl.com",0.00919509944776148
6,"weight",0.00919509944776148
6,"bag",0.00919509944776148
7,"free",0.0360730776437184
7,"shipping",0.0360730776437184
7,"ha",0.0270548082327888
7,"work",0.022545673527324
7,"hate",0.0180365388218592
7,"rt",0.0135274041163944
7,"hour",0.0135274041163944
7,"just",0.0135274041163944
7,"wide",0.0135274041163944
7,"world",0.0135274041163944
7,"www.helpingfriendssave.com",0.0135274041163944
8,"t",0.0398495555721057
8,"digg.com",0.0398495555721057
8,"going",0.0298871666790793
8,"announces",0.0199247777860529
8,"crooked",0.0199247777860529
8,"pb3o1",0.0199247777860529
8,"way",0.0199247777860529
8,"wp.me",0.0199247777860529
8,"thomas_ward",0.0199247777860529
8,"can",0.0149435833395397
8,"time",0.0149435833395397
8,"ubuntu",0.0149435833395397
9,"happy",0.0529700367954224
9,"t",0.0235422385757433
9,"digg.com",0.0235422385757433
9,"go",0.0235420376838987
9,"see",0.0184011327452309
9,"die",0.0176566789318075
9,"cyrusjonaslover",0.0176566789318075
9,"now",0.0176566789318062
9,"finish",0.017656678844194
9,"first",0.017656625627975
