"topic","term","beta"
1,"rt",0.0909090909090909
1,"15pfup",0.0909090909090909
1,"arctic",0.0909090909090909
1,"caps",0.0909090909090909
1,"expose",0.0909090909090909
1,"hundreds",0.0909090909090909
1,"ice",0.0909090909090909
1,"lairs",0.0909090909090909
1,"ow.ly",0.0909090909090909
1,"secret",0.0909090909090909
1,"theonionmelting",0.0909090909090909
2,"migueldeicaza",0.5
2,"rt",0.111111111111111
2,"4oi2w8",0.0555555555555556
2,"stromtroopers",0.0555555555555556
2,"draining",0.0555555555555556
2,"live",0.0555555555555556
2,"video",0.0555555555555556
2,"followfriday",0.0555555555555556
2,"migueldeicazart",0.0555555555555556
2,"sleepy",3.72007597602084e-44
2,"better",3.72007597602084e-44
2,"batman",3.72007597602084e-44
2,"greeley",3.72007597602084e-44
2,"matt",3.72007597602084e-44
2,"ontologically",3.72007597602084e-44
2,"speaking",3.72007597602084e-44
2,"back",3.72007597602084e-44
2,"places",3.72007597602084e-44
2,"things",3.72007597602084e-44
2,"want",3.72007597602084e-44
2,"background",3.72007597602084e-44
2,"drhastings",3.72007597602084e-44
2,"el",3.72007597602084e-44
2,"kabong",3.72007597602084e-44
2,"mcgraw",3.72007597602084e-44
2,"quickdraw",3.72007597602084e-44
2,"english",3.72007597602084e-44
2,"get",3.72007597602084e-44
2,"good",3.72007597602084e-44
2,"like",3.72007597602084e-44
2,"make",3.72007597602084e-44
2,"ravenaithne",3.72007597602084e-44
2,"really",3.72007597602084e-44
2,"shakespeare",3.72007597602084e-44
2,"words",3.72007597602084e-44
2,"inside",3.72007597602084e-44
2,"kidoppay",3.72007597602084e-44
2,"life",3.72007597602084e-44
2,"alyman",3.72007597602084e-44
2,"flu",3.72007597602084e-44
2,"mask",3.72007597602084e-44
2,"one",3.72007597602084e-44
2,"sorry",3.72007597602084e-44
2,"swine",3.72007597602084e-44
2,"tell",3.72007597602084e-44
2,"bugfixes",3.72007597602084e-44
2,"dedicate",3.72007597602084e-44
2,"feel",3.72007597602084e-44
2,"getting",3.72007597602084e-44
2,"next",3.72007597602084e-44
2,"round",3.72007597602084e-44
2,"kill",3.72007597602084e-44
2,"lecture",3.72007597602084e-44
2,"long",3.72007597602084e-44
2,"physics",3.72007597602084e-44
2,"pzpjh7",3.72007597602084e-44
2,"take",3.72007597602084e-44
2,"tinyurl.com",3.72007597602084e-44
2,"age",3.72007597602084e-44
2,"computer",3.72007597602084e-44
2,"considered",3.72007597602084e-44
2,"just",3.72007597602084e-44
2,"mathematicians",3.72007597602084e-44
2,"neither",3.72007597602084e-44
2,"realized",3.72007597602084e-44
2,"scientists",3.72007597602084e-44
2,"valuable",3.72007597602084e-44
2,"well",3.72007597602084e-44
2,"15pfup",3.72007597602084e-44
2,"arctic",3.72007597602084e-44
2,"caps",3.72007597602084e-44
2,"expose",3.72007597602084e-44
2,"hundreds",3.72007597602084e-44
2,"ice",3.72007597602084e-44
2,"lairs",3.72007597602084e-44
2,"ow.ly",3.72007597602084e-44
2,"secret",3.72007597602084e-44
2,"theonionmelting",3.72007597602084e-44
2,"achieviement",3.72007597602084e-44
2,"ben",3.72007597602084e-44
2,"eat",3.72007597602084e-44
2,"entire",3.72007597602084e-44
2,"intolerant",3.72007597602084e-44
2,"jerry's",3.72007597602084e-44
2,"lactose",3.72007597602084e-44
2,"nightmare",3.72007597602084e-44
2,"pint",3.72007597602084e-44
2,"sitting",3.72007597602084e-44
2,"unlocked",3.72007597602084e-44
2,"nananananananananananananana",3.72007597602084e-44
2,"orange_scare",3.72007597602084e-44
2,"stop",3.72007597602084e-44
2,"bar",3.72007597602084e-44
2,"hookah",3.72007597602084e-44
2,"reccomend",3.72007597602084e-44
2,"thing",3.72007597602084e-44
2,"faster",3.72007597602084e-44
2,"huge",3.72007597602084e-44
2,"monitor",3.72007597602084e-44
2,"ordered",3.72007597602084e-44
2,"wish",3.72007597602084e-44
2,"awesome",3.72007597602084e-44
2,"can",3.72007597602084e-44
2,"comic",3.72007597602084e-44
2,"fans",3.72007597602084e-44
2,"help",3.72007597602084e-44
2,"jephjacques",3.72007597602084e-44
2,"know",3.72007597602084e-44
2,"let",3.72007597602084e-44
2,"making",3.72007597602084e-44
2,"thanks",3.72007597602084e-44
2,"us",3.72007597602084e-44
2,"way",3.72007597602084e-44
3,"alyman",0.166666666666667
3,"better",0.111111111111111
3,"flu",0.0555555555555556
3,"mask",0.0555555555555556
3,"one",0.0555555555555556
3,"sorry",0.0555555555555556
3,"swine",0.0555555555555556
3,"tell",0.0555555555555556
3,"seriousness",0.0555555555555556
3,"bugfixes",0.0555555555555556
3,"dedicate",0.0555555555555556
3,"feel",0.0555555555555556
3,"getting",0.0555555555555556
3,"next",0.0555555555555556
3,"round",0.0555555555555556
4,"awesome",0.0833333333333333
4,"can",0.0833333333333333
4,"comic",0.0833333333333333
4,"fans",0.0833333333333333
4,"help",0.0833333333333333
4,"jephjacques",0.0833333333333333
4,"know",0.0833333333333333
4,"let",0.0833333333333333
4,"making",0.0833333333333333
4,"thanks",0.0833333333333333
4,"us",0.0833333333333333
4,"way",0.0833333333333333
5,"sleepy",0.142857142857143
5,"matt",0.0714285714285714
5,"ontologically",0.0714285714285714
5,"speaking",0.0714285714285714
5,"english",0.0714285714285714
5,"get",0.0714285714285714
5,"good",0.0714285714285714
5,"like",0.0714285714285714
5,"make",0.0714285714285714
5,"ravenaithne",0.0714285714285714
5,"really",0.0714285714285714
5,"shakespeare",0.0714285714285714
5,"words",0.0714285714285714
6,"good",0.0666666666666667
6,"doctorb",0.0666666666666667
6,"inside",0.0666666666666667
6,"kidoppay",0.0666666666666667
6,"life",0.0666666666666667
6,"age",0.0666666666666667
6,"computer",0.0666666666666667
6,"considered",0.0666666666666667
6,"just",0.0666666666666667
6,"mathematicians",0.0666666666666667
6,"neither",0.0666666666666667
6,"realized",0.0666666666666667
6,"scientists",0.0666666666666667
6,"valuable",0.0666666666666667
6,"well",0.0666666666666667
7,"background",0.0526315789473684
7,"drhastings",0.0526315789473684
7,"el",0.0526315789473684
7,"kabong",0.0526315789473684
7,"mcgraw",0.0526315789473684
7,"quickdraw",0.0526315789473684
7,"get",0.0526315789473684
7,"kill",0.0526315789473684
7,"lecture",0.0526315789473684
7,"long",0.0526315789473684
7,"physics",0.0526315789473684
7,"pzpjh7",0.0526315789473684
7,"take",0.0526315789473684
7,"tinyurl.com",0.0526315789473684
7,"faster",0.0526315789473684
7,"huge",0.0526315789473684
7,"monitor",0.0526315789473684
7,"ordered",0.0526315789473684
7,"wish",0.0526315789473684
8,"batman",0.166666666666667
8,"back",0.0833333333333333
8,"places",0.0833333333333333
8,"things",0.0833333333333333
8,"want",0.0833333333333333
8,"rt",0.0833333333333333
8,"doctorb",0.0833333333333333
8,"nananananananananananananana",0.0833333333333333
8,"orange_scare",0.0833333333333333
8,"istanbul",0.0833333333333333
8,"stop",0.0833333333333333
9,"greeley",0.0952380952380952
9,"one",0.0952380952380952
9,"doctorb",0.0476190476190476
9,"achieviement",0.0476190476190476
9,"ben",0.0476190476190476
9,"eat",0.0476190476190476
9,"entire",0.0476190476190476
9,"intolerant",0.0476190476190476
9,"jerry's",0.0476190476190476
9,"lactose",0.0476190476190476
9,"nightmare",0.0476190476190476
9,"pint",0.0476190476190476
9,"sitting",0.0476190476190476
9,"unlocked",0.0476190476190476
9,"istanbul",0.0476190476190476
9,"bar",0.0476190476190476
9,"hookah",0.0476190476190476
9,"reccomend",0.0476190476190476
9,"thing",0.0476190476190476
