"topic","term","beta"
1,"like",0.105263157894737
1,"anyone",0.0526315789473684
1,"horror",0.0526315789473684
1,"romance",0.0526315789473684
1,"even",0.0263157894736842
1,"world",0.0263157894736842
1,"love",0.0263157894736842
1,"good",0.0263157894736842
1,"manga",0.0263157894736842
1,"alrighty",0.0263157894736842
1,"great",0.0263157894736842
1,"hime",0.0263157894736842
1,"kurohime",0.0263157894736842
1,"story",0.0263157894736842
1,"witchgunslinger",0.0263157894736842
1,"zero",0.0263157894736842
1,"asian",0.0263157894736842
1,"movies",0.0263157894736842
1,"capri",0.0263157894736842
1,"dew",0.0263157894736842
1,"dews",0.0263157894736842
1,"drinking",0.0263157894736842
1,"juice",0.0263157894736842
1,"mountain",0.0263157894736842
1,"orange",0.0263157894736842
1,"suns",0.0263157894736842
1,"voltage",0.0263157894736842
1,"warcraft",0.0263157894736842
1,"action",0.0263157894736842
1,"comedy",0.0263157894736842
1,"kungfu",0.0263157894736842
1,"side",0.0263157894736842
2,"raymuzik",0.137254901960774
2,"rt",0.0784313725490206
2,"exalted",0.0392156862745103
2,"now",0.0392156862745103
2,"put",0.0392156862745103
2,"like",0.0196078431372551
2,"god",0.0196078431372551
2,"among",0.0196078431372551
2,"heathen",0.0196078431372551
2,"kbaoaceo",0.0196078431372551
2,"know",0.0196078431372551
2,"psalm",0.0196078431372551
2,"still",0.0196078431372551
2,"album",0.0196078431372551
2,"amossaintjean4",0.0196078431372551
2,"available",0.0196078431372551
2,"cd",0.0196078431372551
2,"famousamosmusic",0.0196078431372551
2,"online",0.0196078431372551
2,"purchase",0.0196078431372551
2,"tell",0.0196078431372551
2,"world",0.0196078431372551
2,"www.cdbaby.com",0.0196078431372551
2,"spike",0.0196078431372551
2,"box",0.0196078431372551
2,"daughter",0.0196078431372551
2,"go",0.0196078431372551
2,"hear",0.0196078431372551
2,"heathervictoria",0.0196078431372551
2,"like.com",0.0196078431372551
2,"search",0.0196078431372551
2,"dude",0.0196078431372551
2,"forgot",0.0196078431372551
2,"front",0.0196078431372551
2,"give",0.0196078431372551
2,"ilike.com",0.0196078431372551
2,"site",0.0196078431372551
2,"sorry",0.0196078431372551
2,"try",0.0196078431372551
3,"raymuzik",0.0540540540540541
3,"life",0.027027027027027
3,"u",0.027027027027027
3,"fighter",0.027027027027027
3,"knockouts",0.027027027027027
3,"lookin",0.027027027027027
3,"top",0.027027027027027
3,"ultimate",0.027027027027027
3,"find",0.027027027027027
3,"hard",0.027027027027027
3,"insidejmoss",0.027027027027027
3,"justjames",0.027027027027027
3,"mo",0.027027027027027
3,"nc",0.027027027027027
3,"need",0.027027027027027
3,"selling",0.027027027027027
3,"wilson",0.027027027027027
3,"also",0.027027027027027
3,"church",0.027027027027027
3,"facebook",0.027027027027027
3,"jacksonchapelnc",0.027027027027027
3,"page",0.027027027027027
3,"twitter",0.027027027027027
3,"youtube",0.027027027027027
3,"actress",0.027027027027027
3,"alyssa_milano",0.027027027027027
3,"care",0.027027027027027
3,"excellent",0.027027027027027
3,"keep",0.027027027027027
3,"take",0.027027027027027
3,"dang",0.027027027027027
3,"heyitsnicolea",0.027027027027027
3,"invited",0.027027027027027
3,"lol",0.027027027027027
3,"party",0.027027027027027
3,"t_t",0.027027027027027
4,"loving",0.048780487804878
4,"lphotos4u",0.048780487804878
4,"time",0.048780487804878
4,"rt",0.024390243902439
4,"eternal",0.024390243902439
4,"everything",0.024390243902439
4,"god",0.024390243902439
4,"hinges",0.024390243902439
4,"last",0.024390243902439
4,"life",0.024390243902439
4,"n",0.024390243902439
4,"others",0.024390243902439
4,"sai",0.024390243902439
4,"things",0.024390243902439
4,"u",0.024390243902439
4,"value",0.024390243902439
4,"betta",0.024390243902439
4,"day",0.024390243902439
4,"emotional",0.024390243902439
4,"feelin",0.024390243902439
4,"now",0.024390243902439
4,"also",0.024390243902439
4,"called",0.024390243902439
4,"favorite",0.024390243902439
4,"thedebbyryan",0.024390243902439
4,"ashleytisdale",0.024390243902439
4,"jurassic",0.024390243902439
4,"mine",0.024390243902439
4,"park",0.024390243902439
4,"therobpattinson",0.024390243902439
4,"work",0.024390243902439
4,"bangs",0.024390243902439
4,"black",0.024390243902439
4,"mmmm",0.024390243902439
4,"bad",0.024390243902439
4,"comeagainjen",0.024390243902439
4,"hate",0.024390243902439
4,"luck",0.024390243902439
5,"duck",0.0555555555555556
5,"like",0.0277777777777778
5,"even",0.0277777777777778
5,"anyone",0.0277777777777778
5,"n",0.0277777777777778
5,"seen",0.0277777777777778
5,"bears",0.0277777777777778
5,"channel",0.0277777777777778
5,"chip",0.0277777777777778
5,"dale",0.0277777777777778
5,"darkwing",0.0277777777777778
5,"disney",0.0277777777777778
5,"gummy",0.0277777777777778
5,"mightyducks",0.0277777777777778
5,"old",0.0277777777777778
5,"shows",0.0277777777777778
5,"tales",0.0277777777777778
5,"talespin",0.0277777777777778
5,"animated",0.0277777777777778
5,"anything",0.0277777777777778
5,"astro",0.0277777777777778
5,"away",0.0277777777777778
5,"boy",0.0277777777777778
5,"case",0.0277777777777778
5,"closed",0.0277777777777778
5,"dragonball",0.0277777777777778
5,"eyeshield",0.0277777777777778
