"topic","term","beta"
1,"ginaaa",0.111111111111845
1,"horriblerrrr",0.111111111111845
1,"im",0.111111111111845
1,"person",0.111111111111845
1,"cookies",0.111111111111845
1,"ajay",0.111111111111845
1,"dating",0.111111111111845
1,"hangover",0.111111111111845
1,"bitched",0.111111111105237
1,"themed",3.95244401995641e-19
2,"art",0.142857142857143
2,"club",0.142857142857143
2,"d",0.142857142857143
2,"felt",0.142857142857143
2,"good",0.142857142857143
2,"never",0.142857142857143
2,"sneaking",0.142857142857143
2,"oh",3.72007597602084e-44
2,"studies",3.72007597602084e-44
2,"twittering",3.72007597602084e-44
2,"world",3.72007597602084e-44
2,"horriblerrrr",3.72007597602084e-44
2,"im",3.72007597602084e-44
2,"person",3.72007597602084e-44
2,"better",3.72007597602084e-44
2,"cant",3.72007597602084e-44
2,"feel",3.72007597602084e-44
2,"guess",3.72007597602084e-44
2,"make",3.72007597602084e-44
2,"backpack",3.72007597602084e-44
2,"big",3.72007597602084e-44
2,"looking",3.72007597602084e-44
2,"mistake",3.72007597602084e-44
2,"modree",3.72007597602084e-44
2,"througgh",3.72007597602084e-44
2,"feild",3.72007597602084e-44
2,"like",3.72007597602084e-44
2,"mouse",3.72007597602084e-44
2,"new",3.72007597602084e-44
2,"pad",3.72007597602084e-44
2,"wrigley",3.72007597602084e-44
2,"anything",3.72007597602084e-44
2,"bad",3.72007597602084e-44
2,"bring",3.72007597602084e-44
2,"kid",3.72007597602084e-44
2,"memory",3.72007597602084e-44
2,"scar",3.72007597602084e-44
2,"wont",3.72007597602084e-44
2,"beach",3.72007597602084e-44
2,"crappy",3.72007597602084e-44
2,"homecoming",3.72007597602084e-44
2,"hows",3.72007597602084e-44
2,"tiffysinterlude",3.72007597602084e-44
2,"cock",3.72007597602084e-44
2,"got",3.72007597602084e-44
2,"krissy",3.72007597602084e-44
2,"pop",3.72007597602084e-44
2,"wooooohooooo",3.72007597602084e-44
2,"finally",3.72007597602084e-44
2,"drunk",3.72007597602084e-44
2,"ever",3.72007597602084e-44
2,"first",3.72007597602084e-44
2,"gotten",3.72007597602084e-44
2,"ive",3.72007597602084e-44
2,"night",3.72007597602084e-44
2,"hell",3.72007597602084e-44
2,"jasismean",3.72007597602084e-44
3,"studies",0.125
3,"twittering",0.125
3,"world",0.125
3,"cock",0.125
3,"got",0.125
3,"krissy",0.125
3,"pop",0.125
3,"wooooohooooo",0.125
3,"oh",3.72007597602084e-44
3,"art",3.72007597602084e-44
3,"club",3.72007597602084e-44
3,"d",3.72007597602084e-44
3,"horriblerrrr",3.72007597602084e-44
3,"im",3.72007597602084e-44
3,"person",3.72007597602084e-44
3,"better",3.72007597602084e-44
3,"cant",3.72007597602084e-44
3,"feel",3.72007597602084e-44
3,"guess",3.72007597602084e-44
3,"make",3.72007597602084e-44
3,"backpack",3.72007597602084e-44
3,"big",3.72007597602084e-44
3,"looking",3.72007597602084e-44
3,"mistake",3.72007597602084e-44
3,"modree",3.72007597602084e-44
3,"througgh",3.72007597602084e-44
3,"felt",3.72007597602084e-44
3,"good",3.72007597602084e-44
3,"never",3.72007597602084e-44
3,"sneaking",3.72007597602084e-44
3,"feild",3.72007597602084e-44
3,"like",3.72007597602084e-44
3,"mouse",3.72007597602084e-44
3,"new",3.72007597602084e-44
3,"pad",3.72007597602084e-44
3,"wrigley",3.72007597602084e-44
3,"beach",3.72007597602084e-44
3,"crappy",3.72007597602084e-44
3,"homecoming",3.72007597602084e-44
3,"hows",3.72007597602084e-44
3,"tiffysinterlude",3.72007597602084e-44
3,"finally",3.72007597602084e-44
3,"hooo",3.72007597602084e-44
3,"single",3.72007597602084e-44
3,"yah",3.72007597602084e-44
3,"hell",3.72007597602084e-44
3,"jasismean",3.72007597602084e-44
4,"little",0.0833333333333333
4,"bit",0.0833333333333333
4,"btw",0.0833333333333333
4,"can",0.0833333333333333
