"topic","term","beta"
1,"near",0.121212121212121
1,"low",0.121212121212121
1,"high",0.121212121212121
1,"mostly",0.0606060606060606
1,"tonight",0.0606060606060606
1,"afternoon",0.0545454545454546
1,"cloudy",0.0545454545454546
1,"partly",0.0545454545454546
1,"sunny",0.0545454545454546
1,"today",0.0303030303030303
1,"overnight",0.0303030303030303
1,"tonight's",0.0303030303030303
2,"asu",0.029043876194402
2,"friday",0.0217829071458015
2,"fest",0.0217829071458015
2,"music",0.0217829071458015
2,"rambelles",0.0217829071458015
2,"soccer",0.0217829071458015
2,"women's",0.0217829071458015
2,"angelo",0.014521938097201
2,"san",0.014521938097201
2,"kanye",0.014521938097201
2,"great",0.014521938097201
2,"show",0.014521938097201
2,"put",0.014521938097201
2,"texas",0.014521938097201
2,"twitpic.com",0.014521938097201
2,"west",0.014521938097201
2,"lonestar",0.014521938097201
2,"riverstage",0.014521938097201
2,"paisleyofficial",0.014521938097201
2,"times",0.014521938097201
2,"field",0.014521938097201
2,"lsc",0.014521938097201
2,"open",0.014521938097201
2,"standard",0.014521938097201
2,"story",0.014521938097201
2,"team",0.014521938097201
3,"damn",0.0473912093715239
3,"love",0.0387437848068943
3,"soccer",0.023695604685762
3,"abilene",0.023695604685762
3,"christian",0.023695604685762
3,"game",0.0236956046857408
3,"lol",0.0229698049590525
3,"angelo",0.015797069790508
3,"san",0.015797069790508
3,"go",0.015797069790508
3,"act",0.015797069790508
3,"class",0.015797069790508
3,"beyonce",0.015797069790508
3,"come",0.015797069790508
3,"rt",0.015797069790508
3,"look",0.015797069790508
3,"tied",0.015797069790508
4,"u",0.0374358039882724
4,"fuck",0.0299486431906179
4,"lol",0.0291618259741322
4,"gonna",0.0224614823929634
4,"get",0.0224614823929634
4,"new",0.0224614823929634
4,"tomorrow",0.0214809306824632
4,"back",0.0149743215953089
4,"birthday",0.0149743215953089
4,"already",0.0149743215953089
4,"im",0.0149743215953089
4,"lacey",0.0149743215953089
4,"time",0.0149743215953089
4,"just",0.0149743215953089
4,"probably",0.0149743215953089
5,"tonight",0.0317909758936636
5,"day",0.0317903388728864
5,"eldorado",0.0254327807149309
5,"good",0.0254327807149309
5,"got",0.0254327807149309
5,"going",0.0250393035127204
5,"gonna",0.0190745855361982
5,"friends",0.0190745855361982
5,"just",0.0190745855361982
5,"think",0.0190745855361982
5,"interesting",0.0190745855361982
5,"least",0.0190745855361982
5,"say",0.0190745855361982
5,"long",0.0190745855361982
6,"sidangelo",0.060895212250578
6,"lionbelle",0.040596808334097
6,"good",0.0304476062505727
6,"say",0.0304476062505727
6,"ill",0.0304163190598434
6,"shit",0.0303878731679403
6,"ever",0.0202984041670485
6,"year",0.0202984041670485
6,"know",0.0202984041670485
6,"marfa",0.0202984041670485
6,"holy",0.0202984041670485
6,"jessicabaybee00",0.0202984041670485
7,"first",0.0450415441433904
7,"rams",0.0300276960955936
7,"quarter",0.0300276960955936
7,"feeling",0.0299885535574324
7,"tonight",0.0225207720716952
7,"state",0.0225207720716952
7,"left",0.0225207720716952
7,"midwestern",0.0225207720716952
7,"good",0.0166320954074707
7,"going",0.0150138480477968
7,"im",0.0150138480477968
7,"time",0.0150138480477968
7,"getting",0.0150138480477968
7,"field",0.0150138480477968
7,"goal",0.0150138480477968
7,"lead",0.0150138480477968
8,"now",0.0324960197200002
8,"asu",0.0243720147900002
8,"blog",0.0243720147900002
8,"brooks",0.0243720147900002
8,"coach",0.0243720147900002
8,"n",0.0162480098600001
8,"check",0.0162480098600001
8,"head",0.0162480098600001
8,"women's",0.0162480098600001
8,"175lru",0.0162480098600001
8,"basketball",0.0162480098600001
8,"net",0.0162480098600001
8,"notes",0.0162480098600001
8,"sally",0.0162480098600001
8,"walling",0.0162480098600001
9,"game",0.0338983050847458
9,"belles",0.0338983050847458
9,"back",0.0254237288135593
9,"n",0.0254237288135593
9,"twitpic.com",0.0254237288135593
9,"acu",0.0254237288135593
9,"angelo",0.0169491525423729
9,"can",0.0169491525423729
9,"good",0.0169491525423729
9,"live",0.0169491525423729
9,"rocked",0.0169491525423729
9,"abilene",0.0169491525423729
9,"freshman",0.0169491525423729
9,"kills",0.0169491525423729
9,"dropping",0.0169491525423729
9,"fall",0.0169491525423729
