"topic","term","beta"
1,"wife",0.0625
1,"berlin",0.0625
1,"great",0.0625
1,"office",0.0625
1,"new",0.0625
1,"workout",0.0625
1,"reunion",0.0625
1,"football",0.0625
1,"class",0.0625
1,"cookout",0.0625
1,"customer",0.0625
1,"event",0.0625
1,"java",0.0625
1,"superfit",0.0625
1,"tammie's",0.0625
1,"tonite",0.0625
2,"w",0.0526315789473684
2,"1st",0.0526315789473684
2,"2nite",0.0526315789473684
2,"morning",0.0526315789473684
2,"zach",0.0526315789473684
2,"browns",0.0263157894736842
2,"enjoying",0.0263157894736842
2,"tammie",0.0263157894736842
2,"brings",0.0263157894736842
2,"coffee",0.0263157894736842
2,"dad",0.0263157894736842
2,"dance",0.0263157894736842
2,"dinner",0.0263157894736842
2,"golf",0.0263157894736842
2,"hmmm",0.0263157894736842
2,"like",0.0263157894736842
2,"n",0.0263157894736842
2,"nothing",0.0263157894736842
2,"rock",0.0263157894736842
2,"run",0.0263157894736842
2,"sip",0.0263157894736842
2,"today",0.0263157894736842
2,"country",0.0263157894736842
2,"cross",0.0263157894736842
2,"starbucks",0.0263157894736842
2,"bout",0.0263157894736842
2,"claymont.thinking",0.0263157894736842
2,"head",0.0263157894736842
2,"mark's",0.0263157894736842
2,"meet",0.0263157894736842
2,"ready",0.0263157894736842
2,"shocker",0.0263157894736842
2,"soggy",0.0263157894736842
3,"fish",0.103448275862069
3,"browns",0.0689655172413793
3,"bittersweet",0.0344827586206896
3,"caitlin",0.0344827586206896
3,"day",0.0344827586206896
3,"deliver",0.0344827586206896
3,"miami",0.0344827586206896
3,"oh",0.0344827586206896
3,"oxford",0.0344827586206896
3,"road",0.0344827586206896
3,"see",0.0344827586206896
3,"better",0.0344827586206896
3,"become",0.0344827586206896
3,"blood",0.0344827586206896
3,"can",0.0344827586206896
3,"deluded",0.0344827586206896
3,"fan",0.0344827586206896
3,"first",0.0344827586206896
3,"go",0.0344827586206896
3,"afternoon",0.0344827586206896
3,"canada",0.0344827586206896
3,"catch",0.0344827586206896
3,"caught",0.0344827586206896
3,"fresh",0.0344827586206896
3,"fry",0.0344827586206896
3,"sure",0.0344827586206896
4,"year",0.142857142857143
4,"browns",0.0714285714285714
4,"like",0.0714285714285714
4,"si_peterking",0.0714285714285714
4,"beat",0.0714285714285714
4,"better",0.0714285714285714
4,"expectations",0.0714285714285714
4,"las",0.0714285714285714
4,"low",0.0714285714285714
4,"peter",0.0714285714285714
4,"picking",0.0714285714285714
4,"suffer",0.0714285714285714
4,"thank",0.0714285714285714
5,"back",0.0606060606060606
5,"excellent",0.0606060606060606
5,"wife",0.0303030303030303
5,"coffee",0.0303030303030303
5,"dinner",0.0303030303030303
5,"morning",0.0303030303030303
5,"busy",0.0303030303030303
5,"prepping",0.0303030303030303
5,"bike",0.0303030303030303
5,"brewed",0.0303030303030303
5,"freshly",0.0303030303030303
5,"friday.wishing",0.0303030303030303
5,"great1",0.0303030303030303
5,"reading",0.0303030303030303
5,"ride",0.0303030303030303
5,"starbucks",0.0303030303030303
5,"tr",0.0303030303030303
5,"u",0.0303030303030303
5,"workout",0.0303030303030303
5,"home",0.0303030303030303
5,"brownies",0.0303030303030303
5,"defensive",0.0303030303030303
5,"start",0.0303030303030303
5,"carrabbas",0.0303030303030303
5,"dancing",0.0303030303030303
5,"enjoyable",0.0303030303030303
5,"evening",0.0303030303030303
5,"grill",0.0303030303030303
5,"italian",0.0303030303030303
5,"lessons",0.0303030303030303
5,"lovely",0.0303030303030303
6,"advantage",0.0434782608695652
6,"big",0.0434782608695652
6,"deal",0.0434782608695652
6,"decision",0.0434782608695652
6,"give",0.0434782608695652
6,"keeping",0.0434782608695652
6,"making",0.0434782608695652
6,"mangini",0.0434782608695652
6,"offense",0.0434782608695652
6,"qb",0.0434782608695652
6,"really",0.0434782608695652
6,"secret",0.0434782608695652
7,"w",0.0434782608695652
7,"caitlin",0.0434782608695652
7,"great",0.0434782608695652
7,"call",0.0434782608695652
7,"daughter",0.0434782608695652
7,"excited",0.0434782608695652
7,"finished",0.0434782608695652
7,"god",0.0434782608695652
7,"good",0.0434782608695652
7,"joy",0.0434782608695652
7,"just",0.0434782608695652
7,"purposeful",0.0434782608695652
7,"see",0.0434782608695652
7,"skype",0.0434782608695652
7,"spiritual",0.0434782608695652
7,"video",0.0434782608695652
7,"col",0.0434782608695652
7,"heart",0.0434782608695652
7,"lord",0.0434782608695652
7,"men",0.0434782608695652
7,"whatever",0.0434782608695652
7,"work",0.0434782608695652
7,"working",0.0434782608695652
8,"back",0.0350877192982456
8,"family",0.0350877192982456
8,"watch",0.0350877192982456
8,"year",0.0175438596491228
8,"browns",0.0175438596491228
8,"day",0.0175438596491228
8,"nice",0.0175438596491228
8,"1st",0.0175438596491228
8,"coffee",0.0175438596491228
8,"golf",0.0175438596491228
8,"berlin",0.0175438596491228
8,"done",0.0175438596491228
8,"get",0.0175438596491228
8,"great",0.0175438596491228
8,"house",0.0175438596491228
8,"last",0.0175438596491228
8,"lead",0.0175438596491228
8,"meeting",0.0175438596491228
8,"night",0.0175438596491228
8,"office",0.0175438596491228
8,"open",0.0175438596491228
8,"project",0.0175438596491228
8,"rested",0.0175438596491228
8,"sales",0.0175438596491228
8,"service",0.0175438596491228
8,"finished",0.0175438596491228
8,"good",0.0175438596491228
8,"just",0.0175438596491228
8,"alliance",0.0175438596491228
8,"brady",0.0175438596491228
8,"cc",0.0175438596491228
8,"church",0.0175438596491228
8,"crazy",0.0175438596491228
8,"dover",0.0175438596491228
8,"home",0.0175438596491228
8,"kick",0.0175438596491228
8,"meets",0.0175438596491228
8,"murphy",0.0175438596491228
8,"now",0.0175438596491228
8,"picnic",0.0175438596491228
8,"reunion",0.0175438596491228
8,"tome",0.0175438596491228
8,"brownies",0.0175438596491228
8,"b",0.0175438596491228
8,"boise",0.0175438596491228
8,"cold",0.0175438596491228
8,"college",0.0175438596491228
8,"football",0.0175438596491228
8,"league",0.0175438596491228
8,"oregon",0.0175438596491228
8,"sitting",0.0175438596491228
8,"st",0.0175438596491228
8,"vs",0.0175438596491228
8,"yeungling",0.0175438596491228
9,"tammie",0.0571428571428572
9,"band",0.0285714285714286
9,"concert",0.0285714285714286
9,"dominic",0.0285714285714286
9,"enjoying",0.0285714285714286
9,"eve",0.0285714285714286
9,"final",0.0285714285714286
9,"french",0.0285714285714286
9,"greco",0.0285714285714286
9,"horn",0.0285714285714286
9,"listening",0.0285714285714286
9,"memorial",0.0285714285714286
9,"nice",0.0285714285714286
9,"park",0.0285714285714286
9,"play",0.0285714285714286
9,"summer",0.0285714285714286
9,"tuscora",0.0285714285714286
9,"wife",0.0285714285714286
9,"dinner",0.0285714285714286
9,"finished",0.0285714285714286
9,"boys",0.0285714285714286
9,"busy",0.0285714285714286
9,"carb",0.0285714285714286
9,"country",0.0285714285714286
9,"cross",0.0285714285714286
9,"girls",0.0285714285714286
9,"host",0.0285714285714286
9,"new",0.0285714285714286
9,"pasta",0.0285714285714286
9,"phila",0.0285714285714286
9,"prepping",0.0285714285714286
9,"team",0.0285714285714286
9,"varsity",0.0285714285714286
9,"workday",0.0285714285714286
