"topic","term","beta"
1,"mikeonthephils",0.0210071684884701
1,"estebomb",0.0210071684884701
1,"live",0.0157553763663526
1,"convert",0.0157553763663526
1,"can",0.0157553763663526
1,"get",0.0157553763663526
1,"way",0.0157553763663526
1,"fighters",0.0157553763663525
1,"foo",0.0157553763663525
1,"music",0.0157553763663474
2,"contest",0.0281689885170101
2,"winner",0.0281689885170101
2,"day",0.0211267413877576
2,"real",0.0211267413877576
2,"phone",0.0211267413877576
2,"glad",0.0211267413877576
2,"just",0.0140844942585051
2,"mama",0.0140844942585051
2,"saucy",0.0140844942585051
2,"extraordinary",0.0140844942585051
2,"today's",0.0140844942585051
2,"choose",0.0140844942585051
2,"condiment",0.0140844942585051
2,"excited",0.0140844942585051
2,"getting",0.0140844942585051
2,"hard",0.0140844942585051
2,"reveal",0.0140844942585051
2,"amazon",0.0140844942585051
2,"award",0.0140844942585051
2,"calls",0.0140844942585051
2,"card",0.0140844942585051
2,"gift",0.0140844942585051
2,"kindle",0.0140844942585051
2,"making",0.0140844942585051
2,"plus",0.0140844942585051
2,"soon",0.0140844942585051
2,"stuff",0.0140844942585051
2,"sure",0.0140844942585051
2,"thrilling",0.0140844942585051
2,"chat",0.0140844942585051
2,"tinychat.com",0.0140844942585051
2,"video",0.0140844942585051
2,"gonna",0.0140844942585051
2,"im",0.0140844942585051
2,"new",0.0140844942585051
2,"though",0.0140844942585051
3,"card",0.0271024781324927
3,"sescott51",0.0271024781324927
3,"well",0.0203268585993695
3,"like",0.0175351674670294
3,"just",0.0135512390662463
3,"round",0.0135512390662463
3,"check",0.0135512390662463
3,"win",0.0135512390662463
3,"gift",0.0135512390662463
3,"4qyg9l",0.0135512390662463
3,"creditloan",0.0135512390662463
3,"entered",0.0135512390662463
3,"visa",0.0135512390662463
3,"good",0.0135512390662463
3,"one",0.0135512390662463
3,"mark",0.0135512390662463
3,"reynolds",0.0135512390662463
3,"write",0.0135512390662463
3,"baseball",0.0135512390662463
3,"wild",0.0135512390662463
3,"lol",0.0135512390662463
4,"contest",0.0861734226448567
4,"www.saucymamacafe.com",0.0761548870927981
4,"rt",0.0718111852140568
4,"please",0.0574489484299044
4,"comment",0.0574489484299044
4,"win",0.0430867113190891
4,"wing",0.0382992989532696
4,"hot",0.0382992989532696
4,"sauce",0.0382992989532696
4,"just",0.0287244742149522
4,"random",0.0287244742149522
5,"twitthis.com",0.0539411375579745
5,"just",0.0471984953632277
5,"every",0.0471984860798199
5,"blog",0.0471984549634194
5,"posted",0.0404558531684809
5,"make",0.0337132109737341
5,"barhyte",0.0269705687789873
5,"extraordinary",0.0269705687789873
5,"meal",0.0269705687789873
5,"tonight",0.0269705687789873
6,"still",0.021365692586777
6,"minutes",0.0213656918177014
6,"something",0.0213656749369332
6,"like",0.017178159669049
6,"thanks",0.0142437950578513
6,"www.saucymamacafe.com",0.0142437950578513
6,"check",0.0142437950578513
6,"bellaeats",0.0142437950578513
6,"chicken",0.0142437950578513
6,"eight",0.0142437950578513
6,"ingredients",0.0142437950578513
6,"summery",0.0142437950578513
6,"tostadas",0.0142437950578513
6,"tickets",0.0142437950578513
6,"version",0.0142437950578513
6,"can",0.0142437950578513
6,"fuck",0.0142437950578513
6,"two",0.0142437950578513
6,"weeks",0.0142437950578513
6,"nonconneko",0.0142437950578513
7,"dm",0.0107849181382904
7,"finding",0.0107849181382904
7,"registration",0.0107849181382904
7,"savorthethyme",0.0107849181382904
7,"thanks",0.0107849181382904
7,"draft",0.0107849181382904
7,"away",0.0107849181382904
7,"got",0.0107849181382904
7,"worse",0.0107849181382904
7,"fun",0.0107849181382904
7,"w",0.0107849181382904
7,"without",0.0107849181382904
7,"action",0.0107849181382904
7,"big",0.0107849181382904
7,"enjoy",0.0107849181382904
7,"show",0.0107849181382904
7,"review",0.0107849181382904
7,"know",0.0107849181382904
7,"makes",0.0107849181382904
7,"starts",0.0107849181382904
7,"remember",0.0107849181382904
7,"beach",0.0107849181382904
7,"men",0.0107849181382904
7,"sunday",0.0107849181382904
7,"6am",0.0107849181382904
7,"council",0.0107849181382904
7,"high",0.0107849181382904
8,"sescott51",0.0380065178280092
8,"just",0.0190032589140046
8,"head",0.0190032589140046
8,"great",0.0126688392760031
8,"many",0.0126688392760031
8,"never",0.0126688392760031
8,"know",0.0126688392760031
8,"really",0.0126688392760031
8,"homers",0.0126688392760031
8,"pedroia",0.0126688392760031
9,"pendleton",0.0565174214846826
9,"round",0.0453538023872966
9,"kick",0.0282904172192491
9,"oregon",0.0188602781461661
9,"let'er",0.0188344122294218
9,"buck",0.0188250795871059
9,"give",0.0141452086096246
9,"music",0.0141452086096246
9,"cowboys",0.0141452086096246
9,"well",0.0141452086096246
