"topic","term","beta"
1,"bed",0.0150977134873458
1,"office",0.0135879421350281
1,"now",0.0120781692059741
1,"lnk.ms",0.0105683994411421
1,"day",0.0105281012828281
1,"tomorrow",0.0105100654886387
1,"lunch",0.0103460712562534
1,"make",0.0102546906050682
1,"new",0.00915586937490571
1,"offers",0.00905862809240748
1,"two",0.00905862809240748
1,"done",0.00905862809240748
1,"home",0.00905862809240748
2,"good",0.037885590142662
2,"lol",0.018012622923107
2,"know",0.0165529176419791
2,"just",0.0113876171049344
2,"really",0.008259494745929
2,"time",0.00809889758249221
2,"rt",0.0070972856804793
2,"man",0.0070972856804793
2,"wow",0.00709688749983984
2,"get",0.00581830036771853
3,"tonight",0.0221238400754548
3,"today",0.0216149014388464
3,"night",0.0149886321460193
3,"ur",0.0133232285742394
3,"work",0.0133232254664423
3,"day",0.0132070148902151
3,"right",0.0116578250024593
3,"rt",0.0112644557356648
3,"glad",0.00999242143067951
3,"way",0.00998886773480622
4,"rt",0.0389805837199886
4,"的",0.0194032319868258
4,"啊",0.00970161599341291
4,"nuochan",0.00808467999451076
4,"gonna",0.00808467999451076
4,"有",0.00808467999172221
4,"sunny",0.0064677439956086
4,"来",0.0064677439956086
4,"watch",0.0064677439956086
4,"wish",0.0064677439956086
5,"hug",0.0243336206747537
5,"brew",0.0212919180904095
5,"new",0.0167293642138932
5,"fur",0.0152085116323563
5,"just",0.0143709020099999
5,"ga",0.0136873986439363
5,"post",0.0106459590452048
5,"blog",0.00912510775303265
5,"lake",0.00912510775303265
5,"like",0.00912510775303265
5,"gone",0.00912510775303265
5,"theodorag",0.00912510775303265
6,"的",0.0503656627376274
6,"rt",0.0202284395095025
6,"人",0.0149855887758208
6,"get",0.0125067567288362
6,"中国",0.0111916622085798
6,"take",0.00932699422312771
6,"free",0.00746159537850217
6,"一个",0.00648147946301695
6,"just",0.00585734562426701
6,"了",0.00559619653387663
6,"演习",0.00559619653387663
6,"win",0.00559619653387663
6,"好吃",0.00559619653387663
6,"close",0.00559619653387663
6,"thank",0.00559619653387663
6,"easier",0.00559619653387663
6,"goes",0.00559619653387663
6,"still",0.00559619653387663
6,"love",0.00559619653387663
6,"forex",0.00559619653387663
7,"rt",0.0261975146044243
7,"yes",0.0130334855448235
7,"go",0.00977511415861766
7,"great",0.00971035208957307
7,"了",0.00814592846551471
7,"swmccartney",0.00814592846551471
7,"also",0.00814592846524196
7,"brandcampu",0.00792142879214419
7,"feel",0.0077035586541706
7,"twitpic.com",0.00734416289424932
8,"rt",0.0196598454469719
8,"babypatches",0.0131921088968896
8,"atlanta",0.0115311752543141
8,"want",0.0100195901171946
8,"now",0.00873610866935448
8,"的",0.008245068060556
8,"late",0.008245068060556
8,"real",0.008245068060556
8,"church",0.008245068060556
8,"baby",0.00824506791307123
9,"thx",0.0312298412076553
9,"new",0.0279998189040338
9,"rt",0.0240311099718397
9,"blog",0.0234223827420435
9,"list",0.0234223827420435
9,"post",0.0218608905592406
9,"please",0.0218608905592406
9,"ff",0.0218608786765329
9,"follow",0.0187379061936348
9,"lrnchat",0.0187379061936348
9,"participants",0.0187379061936348
9,"learn",0.0187379061936348
9,"ow.ly",0.0187379061936348
