"topic","term","beta"
1,"great",0.0259744527504658
1,"one",0.0259744527504658
1,"love",0.0205707731393912
1,"friends",0.0155846716502795
1,"let",0.0155846716502795
1,"via",0.0155846716502795
1,"eat",0.0155846716502795
1,"ash328",0.0155846716502795
1,"jcmoisan",0.013559807344103
1,"everyone",0.0103897811001863
1,"clean",0.0103897811001863
1,"twitter",0.0103897811001863
1,"postsecret",0.0103897811001863
1,"19pntf",0.0103897811001863
1,"begin",0.0103897811001863
1,"cnn",0.0103897811001863
1,"fox",0.0103897811001863
1,"media",0.0103897811001863
1,"news",0.0103897811001863
1,"slam",0.0103897811001863
1,"therealdvorak",0.0103897811001863
1,"wars",0.0103897811001863
1,"ogochocinco",0.0103897811001863
1,"phins",0.0103897811001863
1,"even",0.0103897811001863
1,"honestly",0.0103897811001863
1,"boo",0.0103897811001863
1,"else",0.0103897811001863
1,"muncie",0.0103897811001863
1,"timothyjon",0.0103897811001863
1,"hanging",0.0103897811001863
1,"tworld",0.0103897811001863
2,"go",0.0365821859147084
2,"really",0.0182911072500759
2,"just",0.0143116881506012
2,"new",0.0137183304375569
2,"one",0.0137183304375569
2,"twitter",0.0137183304375569
2,"way",0.0137183304375569
2,"whooo",0.0137183304375569
2,"class",0.0137183304375569
2,"break",0.0137183304375569
2,"someone",0.0137183304375569
2,"get",0.0137183304375569
3,"just",0.0195072146149643
3,"mike",0.0195072146149643
3,"morning",0.0195072146149643
3,"said",0.0195072146149643
3,"goes",0.0146304109612232
3,"first",0.0140074795604886
3,"bit",0.00975360730748216
3,"rt",0.00975360730748216
3,"better",0.00975360730748216
3,"madfrancis",0.00975360730748216
3,"mmmmm",0.00975360730748216
3,"greeny",0.00975360730748216
3,"vymcu",0.00975360730748216
3,"fried",0.00975360730748216
3,"people",0.00975360730748216
3,"see",0.00975360730748216
3,"leopard",0.00975360730748216
3,"snow",0.00975360730748216
3,"yeah",0.00975360730748216
3,"butterfly",0.00975360730748216
3,"circus",0.00975360730748216
3,"food",0.00975360730748216
3,"man",0.00975360730748216
4,"just",0.0551830542512566
4,"time",0.0335330197237966
4,"like",0.0243564537147279
4,"great",0.023952156945569
4,"got",0.023952156945569
4,"thanks",0.0239521569445452
4,"us",0.0191617255564552
4,"another",0.0191617255564552
4,"feels",0.0161818888968026
4,"d",0.0143712941673414
4,"play",0.0143712941673414
4,"someone",0.0143712941673414
4,"thank",0.0143712941673414
5,"film",0.0294394018129697
5,"festival",0.0245328348441415
5,"yet",0.0147197009064849
5,"years",0.0147197009064849
5,"festivals",0.0147197009064849
5,"hope",0.0147197009064849
5,"entered",0.0147197009064849
5,"coming",0.0147197009064849
5,"jerry",0.0147197009064849
5,"name",0.0147197009064849
6,"rt",0.0395592502247531
6,"fact",0.0197796275299667
6,"loving",0.0197796275299667
6,"colts",0.0197796275299667
6,"iphone",0.0197796275299667
6,"drive",0.014834720647475
6,"free",0.014834720647475
6,"gmail",0.014834720647475
6,"now",0.014597245607712
6,"got",0.0115289474984803
7,"like",0.0258978734508222
7,"make",0.0175115688400988
7,"shit",0.0175115688400988
7,"keep",0.0175115688400988
7,"nick_ambro",0.0175115688400988
7,"im",0.0131336766300741
7,"fucking",0.0131336766300741
7,"right",0.0131336766300741
7,"can",0.0131336766300741
7,"friend",0.0131336766300741
7,"much",0.0131336766300741
7,"tell",0.0131336766300741
8,"well",0.0196263467057951
8,"just",0.0164410303647905
8,"bit",0.0147197600293463
8,"amazing",0.0147197600293463
8,"days",0.0147197600293463
8,"hours",0.0144389472217324
8,"english",0.00981317335289753
8,"choice",0.00981317335289753
8,"day",0.00981317335289753
8,"done",0.00981317335289753
8,"song",0.00981317335289753
8,"thisisrobthomas",0.00981317335289753
8,"get",0.00981317335289753
8,"itunes",0.00981317335289753
8,"burning",0.00981317335289753
8,"hhvgy",0.00981317335289753
8,"horizon",0.00981317335289753
8,"vertical",0.00981317335289753
8,"can",0.00981317335289753
8,"left",0.00981317335289753
8,"hell",0.00981317335289753
8,"saw",0.00981317335289753
8,"nickbarnett",0.00981317335289753
8,"onnn",0.00981317335289753
9,"just",0.0396037384461104
9,"chugga",0.0339460615252375
9,"demo",0.0339460615252375
9,"tone",0.0339460615252375
9,"cd",0.0339460615252375
9,"great",0.0282883846043646
9,"right",0.0282883846043646
9,"get",0.0282883846043646
9,"maybe",0.0226307076834917
9,"strat",0.0226307076834917
9,"verthorizon",0.0226307076834917
