"topic","term","beta"
1,"thanks",0.0277692180024636
1,"haha",0.0239125143664183
1,"jeremy",0.0142451316519037
1,"way",0.0141871254033975
1,"back",0.0136768964406255
1,"life",0.012824684237803
1,"d",0.012758839121369
1,"rt",0.0116255151046274
1,"check",0.00913665529978007
1,"excited",0.00900623918776546
2,"can",0.0290684293933058
2,"go",0.0193260129375846
2,"twitpic.com",0.0166951432243729
2,"rt",0.0135398244654652
2,"one",0.0122783029074151
2,"right",0.00884703451882136
2,"always",0.00820841896219261
2,"please",0.00820792306293087
2,"ce",0.00671597915345773
2,"read",0.00671597915345644
3,"now",0.0194769901481345
3,"work",0.0183472786644388
3,"oh",0.013004532604131
3,"night",0.0124770175264312
3,"bed",0.0109001478998955
3,"lot",0.010262561946862
3,"day",0.00958595456497207
3,"eyez254",0.00957705155762515
3,"find",0.00880748241452253
3,"going",0.00848863441374044
4,"lol",0.0595005613174844
4,"just",0.0202075837509141
4,"rt",0.0163378768334368
4,"time",0.0161276395024826
4,"never",0.0146567394506764
4,"like",0.0113670861436701
4,"city",0.00773450965408307
4,"see",0.0070544809011041
4,"get",0.00679689207849571
4,"enjoying",0.00668226499192133
5,"u",0.0408061419206539
5,"good",0.0397600906396268
5,"got",0.0248482502187453
5,"morning",0.0140443447578839
5,"love",0.0138472847846736
5,"wedding",0.0128861500760549
5,"fun",0.0128861331323504
5,"looking",0.011451316241148
5,"just",0.00974993354192209
5,"getting",0.00962846552054162
6,"think",0.0312574213151238
6,"see",0.0175062086145675
6,"school",0.013723417748728
6,"today",0.0119510486015458
6,"rt",0.00934259071642937
6,"wants",0.00914780385370115
6,"just",0.00859757632722282
6,"want",0.00832287430217627
6,"use",0.00756566517477099
6,"high",0.00686170887436398
7,"friday",0.0350335814598486
7,"follow",0.0317746436496643
7,"cicelymitchell",0.019553626861332
7,"t7i2m",0.019553626861332
7,"youthcanceryct",0.01629468905111
7,"thankasoldiertoday",0.013035751240888
7,"little",0.0130320792493282
7,"twitter",0.0128841545354879
7,"hate",0.0127849681274463
7,"much",0.0125999607901239
8,"like",0.0241711041996118
8,"get",0.0230712863107976
8,"watching",0.0188580267572502
8,"home",0.0181283121852858
8,"feel",0.0130595896032394
8,"day",0.0108828435017943
8,"virginia",0.00942998374087467
8,"really",0.00893775050759768
8,"last",0.00869548758894516
8,"one",0.00853668916707638
9,"new",0.0338976030534415
9,"rt",0.0245904234001487
9,"thank",0.0128302990246214
9,"favorite",0.0126385166789293
9,"check",0.0123292690003163
9,"girl",0.0120944152776056
9,"people",0.0106060599320257
9,"video",0.00983863727267269
9,"love",0.00919710447038158
9,"us",0.00789907298706619
