"topic","term","beta"
1,"seen",0.0812234784086239
1,"tips",0.0609176088064679
1,"nutrition",0.040611739204312
1,"u",0.040611739204312
1,"make",0.040611739204312
1,"working",0.040611739204312
1,"exercise",0.020305869602156
1,"good",0.020305869602156
1,"4osd47",0.020305869602156
1,"laugh",0.020305869602156
1,"performance",0.020305869602156
1,"wood",0.020305869602156
1,"ck",0.020305869602156
1,"guide",0.020305869602156
1,"20bket",0.020305869602156
1,"naturalnews",0.020305869602156
1,"str",0.020305869602156
1,"stress",0.020305869602156
1,"survival",0.020305869602156
1,"best",0.020305869602156
1,"headache",0.020305869602156
1,"home",0.020305869602156
1,"qtnb2",0.020305869602156
1,"relief",0.020305869602156
1,"remedies",0.020305869602156
1,"well",0.020305869602156
1,"3g7tes",0.020305869602156
1,"oak",0.020305869602156
1,"2rhjsw",0.020305869602156
1,"building",0.020305869602156
1,"fat",0.020305869602156
1,"losing",0.020305869602156
1,"ma",0.020305869602156
1,"muscles",0.020305869602156
1,"proper",0.020305869602156
2,"rt",0.0561797752808989
2,"lake",0.0224719101123596
2,"restoration",0.0224719101123596
2,"services",0.0224719101123596
2,"home",0.0224719101123596
2,"kwvxfx",0.0224719101123596
2,"tinyurl.com",0.0224719101123596
2,"geneva",0.0224719101123596
2,"beautiful",0.0224719101123596
2,"united",0.0224719101123596
2,"news",0.0224719101123596
2,"rickschaefermd",0.0224719101123596
3,"blog",0.0478694535837236
3,"kwvxfx",0.0398912113197695
3,"tinyurl.com",0.0398912113197686
3,"design",0.039891211319765
3,"new",0.0355576750992577
3,"hobby",0.0319129690558157
3,"professional",0.0319129690558157
3,"seen",0.0319129690558157
3,"starting",0.0319129690558157
3,"u",0.0319129690558157
3,"woodworking",0.0319129690558157
4,"seen",0.148192396403049
4,"nutrition",0.147503420124795
4,"keep",0.0741372824707532
4,"exercise",0.0370686412353766
4,"good",0.0370686412353766
4,"48i4cb",0.0370686412353766
4,"energy",0.0370686412353766
4,"everyone",0.0370686412353766
4,"wish",0.0370686412353766
4,"wellness",0.0370686412353766
4,"1n1vid",0.0370686412353766
4,"superior",0.0370686412353766
4,"w",0.0370686412353766
4,"wellbeing",0.0370686412353766
4,"4ifn8",0.0370686412353766
4,"activity",0.0370686412353766
4,"center",0.0370686412353766
4,"col",0.0370686412353766
4,"program",0.0370686412353766
4,"proud",0.0370686412353766
5,"rt",0.0577314800634669
5,"hey",0.0432986100477104
5,"saarmst1",0.0432986100477104
5,"new",0.0288657400318069
5,"grand",0.0288657400318069
5,"guide",0.0288657400318069
5,"labels",0.0288657400318069
5,"objes",0.0288657400318069
5,"offer",0.0288657400318069
5,"rapids",0.0288657400318069
5,"shelf",0.0288657400318069
5,"spartan",0.0288657400318069
5,"stores",0.0288657400318069
5,"keith_johnson",0.0288657400318069
5,"photo",0.0288657400318069
5,"flickr",0.0288657400318069
5,"nice",0.0288657400318069
5,"sid",0.0288657400318069
6,"nutrition",0.0751162181735495
6,"seen",0.0751162181735495
6,"soya",0.0500774787823664
6,"can",0.0500774787823664
6,"c",0.0250387393911832
6,"challenge",0.0250387393911832
6,"corporate",0.0250387393911832
6,"encourage",0.0250387393911832
6,"exercise",0.0250387393911832
6,"good",0.0250387393911832
6,"seeks",0.0250387393911832
6,"zx8d1",0.0250387393911832
6,"age",0.0250387393911832
6,"baby",0.0250387393911832
6,"forum",0.0250387393911832
6,"juice",0.0250387393911832
6,"prafy",0.0250387393911832
6,"ve",0.0250387393911832
6,"weaning",0.0250387393911832
6,"2nepne",0.0250387393911832
6,"cancer",0.0250387393911832
6,"increase",0.0250387393911832
6,"q",0.0250387393911832
6,"risk",0.0250387393911832
6,"see",0.0250387393911832
7,"nutrition",0.0481210103353448
7,"seen",0.0481210103353448
7,"care",0.0481210103353448
7,"kwvxfx",0.0481210082307421
7,"tinyurl.com",0.0481210067120575
7,"new",0.0379557305043732
7,"help",0.0360907577515086
7,"provide",0.0360907577515086
7,"fall",0.035714826268129
7,"2r722z",0.0240605051676724
7,"bridgenorth",0.0240605051676724
7,"di",0.0240605051676724
7,"fundraiser",0.0240605051676724
7,"guests",0.0240605051676724
7,"lobster",0.0240605051676724
7,"school",0.0240605051676724
7,"proper",0.0240605051676724
7,"b",0.0240605051676724
7,"elderly",0.0240605051676724
7,"homes",0.0240605051676724
7,"inmates",0.0240605051676724
7,"k1nhq",0.0240605051676724
7,"report",0.0240605051676724
7,"trees",0.0240605051676724
8,"fall",0.0562270499996773
8,"lake",0.0562270499961493
8,"geneva",0.0449815965462007
8,"online",0.0337362299998451
8,"concierge",0.0337362299998451
8,"service",0.0337362299998451
8,"www.keefeconcierge.com",0.0337362299998451
8,"new",0.0285989814140291
8,"can",0.0224908199998967
8,"magazine",0.0224908199998967
8,"changing",0.0224908199998967
8,"summer",0.0224908199998967
8,"need",0.0224908199998967
9,"nutrition",0.0930232558139535
9,"seen",0.0813953488372093
9,"health",0.0465116279069768
9,"u",0.0232558139534884
9,"1armpy",0.0232558139534884
9,"about.com",0.0232558139534884
9,"h",0.0232558139534884
9,"tip",0.0232558139534884
9,"wellness",0.0232558139534884
9,"3b8gts",0.0232558139534884
9,"blade",0.0232558139534884
9,"custom",0.0232558139534884
9,"offers",0.0232558139534884
9,"pick",0.0232558139534884
9,"runner",0.0232558139534884
9,"services",0.0232558139534884
9,"sharpening",0.0232558139534884
9,"special",0.0232558139534884
9,"anniversary",0.0232558139534884
9,"armnl",0.0232558139534884
9,"ashten",0.0232558139534884
9,"ban",0.0232558139534884
9,"enjoys",0.0232558139534884
9,"event",0.0232558139534884
9,"hejke",0.0232558139534884
9,"marks",0.0232558139534884
9,"slice",0.0232558139534884
9,"thanks",0.0232558139534884
9,"rayelynnd",0.0232558139534884
