"topic","term","beta"
1,"anniston",0.5
1,"jennifer",0.5
1,"gorgeous",3.84463332485979e-312
1,"looks",3.84463332485979e-312
1,"alzheimers",2.65128034480542e-312
1,"nikkiburdine",2.65128034480542e-312
1,"wonderful",2.65128034480542e-312
1,"carpet",1.85867374533034e-312
1,"girl",1.85867374533034e-312
1,"little",1.85867374533034e-312
1,"red",1.85867374533034e-312
1,"sick",1.85867374533034e-312
1,"watching",1.85867374533034e-312
2,"gorgeous",0.5
2,"looks",0.5
2,"anniston",3.84463332485979e-312
2,"jennifer",3.84463332485979e-312
2,"alzheimers",2.65128034480542e-312
2,"nikkiburdine",2.65128034480542e-312
2,"wonderful",2.65128034480542e-312
2,"carpet",1.85867374533034e-312
2,"girl",1.85867374533034e-312
2,"little",1.85867374533034e-312
2,"red",1.85867374533034e-312
2,"sick",1.85867374533034e-312
2,"watching",1.85867374533034e-312
3,"twitter",0.315421706640515
3,"can",0.27609264272204
3,"addicting",0.200670645436881
3,"time",0.0827958490760232
3,"see",0.078419982194251
3,"first",0.0295426530176368
3,"become",0.0170565209126618
3,"looks",4.29398688020234e-29
3,"gorgeous",2.85796769684933e-29
3,"jennifer",2.58634524367431e-29
4,"carpet",0.380499290096735
4,"red",0.202327992296598
4,"sick",0.186706017374097
4,"girl",0.0948316818352324
4,"little",0.0801571124966926
4,"watching",0.055477905900652
4,"wonderful",2.09368494324938e-18
4,"alzheimers",7.80614302462482e-19
4,"nikkiburdine",4.04574586338562e-19
4,"jennifer",3.36545243540338e-20
5,"twitter",0.250398590960997
5,"can",0.191933769601091
5,"see",0.185006698988133
5,"first",0.111935524533949
5,"addicting",0.109860506003456
5,"become",0.083070262938466
5,"time",0.0677946469739175
5,"anniston",1.53077580544867e-22
5,"wonderful",1.42416673881403e-22
5,"nikkiburdine",9.29051997915894e-23
6,"carpet",0.166666666666667
6,"girl",0.166666666666667
6,"little",0.166666666666667
6,"red",0.166666666666667
6,"sick",0.166666666666667
6,"watching",0.166666666666667
6,"alzheimers",3.72007597602084e-44
6,"nikkiburdine",3.72007597602084e-44
6,"wonderful",3.72007597602084e-44
6,"anniston",3.72007597602084e-44
6,"jennifer",3.72007597602084e-44
6,"gorgeous",3.72007597602084e-44
6,"looks",3.72007597602084e-44
6,"addicting",3.72007597602084e-44
6,"become",3.72007597602084e-44
6,"can",3.72007597602084e-44
6,"first",3.72007597602084e-44
6,"see",3.72007597602084e-44
6,"time",3.72007597602084e-44
6,"twitter",3.72007597602084e-44
7,"alzheimers",0.333333333333333
7,"nikkiburdine",0.333333333333333
7,"wonderful",0.333333333333333
7,"anniston",7.59433743183768e-313
7,"jennifer",7.59433743183768e-313
7,"gorgeous",7.59433743183768e-313
7,"looks",7.59433743183768e-313
7,"carpet",3.67145431178438e-313
7,"girl",3.67145431178438e-313
7,"little",3.67145431178438e-313
7,"red",3.67145431178438e-313
7,"sick",3.67145431178438e-313
7,"watching",3.67145431178438e-313
8,"addicting",0.142857142857143
8,"become",0.142857142857143
8,"can",0.142857142857143
8,"first",0.142857142857143
8,"see",0.142857142857143
8,"time",0.142857142857143
8,"twitter",0.142857142857143
8,"carpet",3.72007597602084e-44
8,"girl",3.72007597602084e-44
8,"little",3.72007597602084e-44
8,"red",3.72007597602084e-44
8,"sick",3.72007597602084e-44
8,"watching",3.72007597602084e-44
8,"alzheimers",3.72007597602084e-44
8,"nikkiburdine",3.72007597602084e-44
8,"wonderful",3.72007597602084e-44
8,"anniston",3.72007597602084e-44
8,"jennifer",3.72007597602084e-44
8,"gorgeous",3.72007597602084e-44
8,"looks",3.72007597602084e-44
9,"red",0.229355906865447
9,"carpet",0.191591939970077
9,"sick",0.167440981548069
9,"little",0.156726476892824
9,"watching",0.144746832579691
9,"girl",0.110137862143898
9,"alzheimers",4.33951851076347e-20
9,"wonderful",3.29514297257838e-20
9,"nikkiburdine",3.05983652449237e-20
9,"gorgeous",1.27937457868673e-20
