"topic","term","beta"
1,"really",0.0162959720331564
1,"get",0.0136920697120237
1,"school",0.0122219709720799
1,"homes",0.00972726671972314
1,"rt",0.00893457222427273
1,"one",0.00803153604908348
1,"reno",0.00784880365367326
1,"need",0.00780230541821756
1,"love",0.00769236738801748
1,"show",0.00733292542363667
2,"time",0.0337535161193183
2,"night",0.0143501039345906
2,"free",0.00975885416215758
2,"year",0.0093759350358766
2,"sparks",0.00906179315057485
2,"one",0.00874138329050609
2,"get",0.00870854955776418
2,"baby",0.00766767112740952
2,"still",0.00765362991148608
2,"like",0.00724169385942258
3,"love",0.0209444151563217
3,"now",0.0191681250867415
3,"flu",0.0120638358560773
3,"swine",0.00980186663306284
3,"home",0.00862407518435581
3,"lake",0.00829388715105317
3,"perfect",0.00753989741004834
3,"park",0.0067859076690435
3,"today",0.00665396958504484
3,"got",0.00641576707290673
4,"oh",0.0211225014572095
4,"rt",0.0130163780004905
4,"twitpic.com",0.012438146652717
4,"got",0.0108235248097533
4,"new",0.00860546554330257
4,"movie",0.00782293486451647
4,"hate",0.00774462399031435
4,"getting",0.00704083544452028
4,"get",0.00665944745195448
4,"nothing",0.00625852039512914
5,"lol",0.0211202103990335
5,"done",0.0090145024199913
5,"back",0.008756884560164
5,"like",0.00840095141786372
5,"reno",0.00801288373631546
5,"nation",0.00754295408300225
5,"ever",0.0075003664177162
5,"something",0.00667905376115589
5,"want",0.00656378064601386
5,"know",0.00656235048514009
6,"day",0.0260372280577338
6,"loving:life",0.0154417171399241
6,"today",0.0121275299964351
6,"national",0.0100371161409507
6,"just",0.00852532727102495
6,"take",0.00775723162542724
6,"brothers",0.00772085856996205
6,"ya",0.00772085856996205
6,"thank",0.00772085856913833
6,"news",0.00690510330236032
7,"rt",0.0138162547192499
7,"reno",0.0123656475608326
7,"home",0.00983747841966466
7,"now",0.00974193820863156
7,"awesome",0.00939730834508066
7,"krzq_phatralph",0.00861420049696346
7,"just",0.00808738163793928
7,"life",0.00778070579599648
7,"im",0.00702741341865693
7,"good",0.00680504750931775
8,"short.to",0.0305430137349107
8,"xbox",0.0152715068674554
8,"online",0.0152715068673743
8,"community",0.0148675141427486
8,"wow",0.0144821112259071
8,"new",0.0133205366398325
8,"sept",0.0122172052254891
8,"twitter",0.0103549977076608
8,"post",0.0103502443464156
8,"live",0.00992647946384598
8,"playing",0.00992647946384598
9,"just",0.0298990741696174
9,"like",0.0298687336141184
9,"u",0.0109697137404185
9,"ha",0.0103317232599494
9,"thanks",0.00938711473499967
9,"get",0.00924543574992331
9,"see",0.00916711889592302
9,"pic",0.00885576237058503
9,"big",0.00873752352960252
9,"reno",0.0086669733334524
