"topic","term","beta"
1,"video",0.0740740740740741
1,"rt",0.037037037037037
1,"fall",0.037037037037037
1,"inside",0.037037037037037
1,"lcsbaseball",0.037037037037037
1,"m",0.037037037037037
1,"next",0.037037037037037
1,"outdoors",0.037037037037037
1,"permitting",0.037037037037037
1,"session",0.037037037037037
1,"start",0.037037037037037
1,"starting",0.037037037037037
1,"throwing",0.037037037037037
1,"w",0.037037037037037
1,"weather",0.037037037037037
1,"week",0.037037037037037
1,"gamin",0.037037037037037
1,"buying",0.037037037037037
1,"games",0.037037037037037
1,"going",0.037037037037037
1,"new",0.037037037037037
1,"thinking",0.037037037037037
1,"walmart",0.037037037037037
1,"awesome",0.037037037037037
1,"loved",0.037037037037037
1,"song",0.037037037037037
2,"boom",0.111111111111111
2,"thing",0.0555555555555556
2,"bit",0.0555555555555556
2,"gone",0.0555555555555556
2,"lodge",0.0555555555555556
2,"moose",0.0555555555555556
2,"got",0.0555555555555556
2,"child",0.0555555555555556
2,"hannah",0.0555555555555556
2,"knows",0.0555555555555556
2,"make",0.0555555555555556
2,"pow",0.0555555555555556
2,"prodigy",0.0555555555555556
2,"think",0.0555555555555556
2,"words",0.0555555555555556
2,"finally",0.0555555555555556
2,"workin",0.0555555555555556
3,"bills",0.0909090909090909
3,"rt",0.0454545454545454
3,"beat",0.0454545454545454
3,"jrecks",0.0454545454545454
3,"little",0.0454545454545454
3,"sub",0.0454545454545454
3,"buffalo",0.0454545454545454
3,"cb",0.0454545454545454
3,"defeat",0.0454545454545454
3,"dumb",0.0454545454545454
3,"espn",0.0454545454545454
3,"fans",0.0454545454545454
3,"front",0.0454545454545454
3,"lawn",0.0454545454545454
3,"leodis",0.0454545454545454
3,"mckelvin",0.0454545454545454
3,"q3a2zk",0.0454545454545454
3,"really",0.0454545454545454
3,"tinyurl.com",0.0454545454545454
3,"vandalized",0.0454545454545454
3,"wow",0.0454545454545454
4,"fantasy",0.037037037037037
4,"rt",0.037037037037037
4,"week",0.037037037037037
4,"better",0.037037037037037
4,"goes",0.037037037037037
4,"alvarez",0.037037037037037
4,"bucsinsider",0.037037037037037
4,"chinese",0.037037037037037
4,"cup",0.037037037037037
4,"farmhand",0.037037037037037
4,"hr",0.037037037037037
4,"pedro",0.037037037037037
4,"pirates",0.037037037037037
4,"play",0.037037037037037
4,"rbi",0.037037037037037
4,"taipei",0.037037037037037
4,"today",0.037037037037037
4,"usa's",0.037037037037037
4,"win",0.037037037037037
4,"world",0.037037037037037
4,"think",0.037037037037037
4,"accomplishment",0.037037037037037
4,"feel",0.037037037037037
4,"leagues",0.037037037037037
4,"like",0.037037037037037
4,"man",0.037037037037037
4,"went",0.037037037037037
5,"twitter",0.0625
5,"rt",0.0625
5,"3dll0",0.0625
5,"fair",0.0625
5,"hmmm",0.0625
5,"made",0.0625
5,"majornelson",0.0625
5,"never",0.0625
5,"nhl2k10",0.0625
5,"pic",0.0625
5,"send",0.0625
5,"sick",0.0625
5,"though",0.0625
5,"twitgoo",0.0625
5,"twitgoo.com",0.0625
5,"way",0.0625
6,"half",0.112879091535739
6,"better",0.112878905049315
6,"figure",0.0752533062146895
6,"trying",0.0752533062146895
6,"england",0.0752533062146895
6,"tomorrow",0.0593355943753956
6,"thing",0.0376266531073447
6,"twitter",0.0376266531073447
6,"goes",0.0376266531073447
6,"playing",0.0376266531073447
6,"skype",0.0376266531073447
6,"chill",0.0376266531073447
6,"takes",0.0376266531073447
6,"finders",0.0376266531073447
6,"hype",0.0376266531073447
6,"live",0.0376266531073447
6,"reading",0.0376266531073447
6,"strength",0.0376266531073447
6,"hey",0.0376266531073447
7,"day",0.109396843912596
7,"meetings",0.0729312292750643
7,"syracuse",0.0729312292750643
7,"little",0.0364656146375322
7,"cuse",0.0364656146375322
7,"home",0.0364656146375322
7,"ready",0.0364656146375322
7,"chillen",0.0364656146375322
7,"getting",0.0364656146375322
7,"meeting's",0.0364656146375322
7,"tonight",0.0364656146375322
7,"along",0.0364656146375322
7,"back",0.0364656146375322
7,"got",0.0364656146375322
7,"just",0.0364656146375322
7,"s",0.0364656146375322
7,"show",0.0364656146375322
7,"watching",0.0364656146375322
7,"also",0.0364656146375322
7,"glad",0.0364656146375322
7,"lol",0.0364656146375322
7,"yes",0.0364656146375322
7,"sweet",0.0364656146375322
8,"fantasy",0.0869565217391304
8,"rt",0.0869565217391304
8,"twitter",0.0434782608695652
8,"football",0.0434782608695652
8,"fpntweets",0.0434782608695652
8,"mattmclear",0.0434782608695652
8,"mcnabb",0.0434782608695652
8,"nfl",0.0434782608695652
8,"picking",0.0434782608695652
8,"home",0.0434782608695652
8,"next",0.0434782608695652
8,"win",0.0434782608695652
8,"attending",0.0434782608695652
8,"details",0.0434782608695652
8,"game",0.0434782608695652
8,"pittsburgh",0.0434782608695652
8,"please",0.0434782608695652
8,"rtattention:someone",0.0434782608695652
8,"stay",0.0434782608695652
8,"tuned",0.0434782608695652
8,"weeks",0.0434782608695652
9,"finishing",0.0740740740740741
9,"get",0.0740740740740741
9,"work",0.0740740740740741
9,"gone",0.0740740740740741
9,"burg",0.0740740740740741
9,"afternoon",0.037037037037037
9,"cuse",0.037037037037037
9,"eventually",0.037037037037037
9,"heading",0.037037037037037
9,"home",0.037037037037037
9,"meetings",0.037037037037037
9,"ready",0.037037037037037
9,"game",0.037037037037037
9,"working",0.037037037037037
9,"beers",0.037037037037037
9,"grub",0.037037037037037
9,"walmart",0.037037037037037
9,"buy",0.037037037037037
9,"grab",0.037037037037037
9,"hut",0.037037037037037
9,"pizza",0.037037037037037
9,"two",0.037037037037037
