"topic","term","beta"
1,"israel",0.096609646979499
1,"iran",0.0336538885009966
1,"planning",0.0280449070841638
1,"last",0.0261312313819716
1,"president",0.0224359256673311
1,"strike",0.0224359256673311
1,"go",0.0222883651156401
1,"long",0.0168269442504983
1,"qgamc",0.0168269442502637
1,"s",0.0125714656986588
2,"israel",0.0174341292868712
2,"finally",0.0174341292868712
2,"blue",0.0130755969651534
2,"far",0.0130755969651534
2,"yet",0.0130755969651534
2,"think",0.0130755969651534
2,"bored",0.0130755969651534
2,"cool",0.0130755969651534
2,"away",0.0130755969651534
2,"az",0.00871706464343558
2,"celine",0.00871706464343558
2,"dion",0.00871706464343558
2,"a02os",0.00871706464343558
2,"can",0.00871706464343558
2,"context",0.00871706464343558
2,"continue",0.00871706464343558
2,"evade",0.00871706464343558
2,"international",0.00871706464343558
2,"law",0.00871706464343558
2,"war",0.00871706464343558
2,"boycott",0.00871706464343558
2,"bz4db",0.00871706464343558
2,"gaining",0.00871706464343558
2,"led",0.00871706464343558
2,"movement",0.00871706464343558
2,"palestinian",0.00871706464343558
2,"support",0.00871706464343558
2,"page",0.00871706464343558
2,"wikipedia",0.00871706464343558
2,"ever",0.00871706464343558
2,"weekends",0.00871706464343558
2,"bar",0.00871706464343558
2,"radio",0.00871706464343558
2,"station",0.00871706464343558
2,"o",0.00871706464343558
2,"man",0.00871706464343558
3,"d",0.0270261942924964
3,"need",0.0247041328030504
3,"israel",0.0164694218687003
3,"know",0.0164694218687003
3,"bigg956",0.0163234519770387
3,"want",0.0157479526778851
3,"wins",0.0123520664015252
3,"just",0.0123520664015252
3,"good",0.0123520664015252
3,"look",0.0123520663870784
4,"gaza",0.0340025904221572
4,"yfd",0.0297521785227782
4,"israel",0.0255019428166179
4,"s",0.0170012952110786
4,"report",0.0170012952110786
4,"new",0.0170012952103939
4,"need",0.0170012344955527
4,"us",0.0127509714083089
4,"dude",0.0127509714083089
4,"old",0.0127509714083089
5,"spain",0.0194571377901895
5,"u",0.0194571377901895
5,"cup",0.0155657102321516
5,"davis",0.0155657102321516
5,"final",0.0155657102321516
5,"play",0.0155657102321516
5,"really",0.0155657102321516
5,"favorite",0.0154715411912001
5,"muse",0.0116742826741137
5,"cowboys",0.0116742826741137
5,"talking",0.0116742826741137
5,"freespiritseekr",0.0116742826741137
5,"time",0.0116742826741137
5,"eternusj",0.0116742826741137
6,"day",0.0425979760004748
6,"house",0.0321119996125363
6,"going",0.0212208872254004
6,"get",0.0161024921586916
6,"watch",0.0161024921586916
6,"stuff",0.0161024921586916
6,"gay",0.016102491565735
6,"rt",0.016094738165587
6,"just",0.0140465692456838
6,"like",0.0119678721871159
7,"get",0.027267311076097
7,"like",0.0264663424932188
7,"now",0.0237070092628364
7,"p",0.015636716682531
7,"try",0.0117275375118983
7,"got",0.0117275375118983
7,"d",0.0117275375118983
7,"shit",0.0117275375118983
7,"hope",0.0117275375118983
7,"eat",0.0117275375118983
7,"twitpic.com",0.0117275375118983
7,"game",0.0117275375118983
7,"cupcakenar",0.0117275375118983
8,"love",0.0270781075048471
8,"go",0.0180520716698981
8,"abbas",0.0180520716698981
8,"oh",0.0180502804904355
8,"s",0.0169630356708241
8,"anti",0.0135390537524236
8,"yay",0.0135390537524236
8,"friends",0.0135390537524236
8,"axhealingxheart",0.0135390537524236
8,"men",0.0135390537524236
9,"lemonjalowe",0.0402216877185544
9,"lol",0.0360814269074105
9,"raida",0.0201241351836976
9,"roc",0.0201241351836976
9,"anti",0.0160993081469581
9,"rally",0.0160993081469581
9,"got",0.0128287326035336
9,"just",0.0120744811102186
9,"now",0.0120744811102186
9,"right",0.0120744811102186
9,"way",0.0120744811102186
