"topic","term","beta"
1,"night",0.0225923133147998
1,"just",0.0119627116671007
1,"better",0.0113437711445646
1,"last",0.0112193027670647
1,"is.gd",0.0094531426204705
1,"work",0.0094531426204705
1,"like",0.00941206388490208
1,"good",0.0093296934334154
1,"much",0.00884500950316345
1,"home",0.00865029923547707
2,"like",0.0134862708064812
2,"weirdo",0.0134090682539284
2,"done",0.0111742235449416
2,"show",0.0110908004407099
2,"empressnesha",0.00893937883595326
2,"rt",0.00893937883595326
2,"now",0.00893937883595326
2,"read",0.00893937883595326
2,"jaejay2",0.00893937883595326
2,"iphone",0.00893937883595326
2,"tumblr.com",0.00893937883595326
2,"tommyblaze77",0.00893937883595326
3,"u",0.0390354274222275
3,"lol",0.0359897930947705
3,"know",0.029836512998798
3,"modelmissbritt",0.0202609172782768
3,"man",0.0185289302879217
3,"dont",0.016470160238074
3,"mama",0.0123526201943068
3,"hey",0.0123448739049467
3,"didnt",0.0123225784359964
3,"dad",0.012221846241833
4,"get",0.0267319920942746
4,"go",0.0239257449484336
4,"eventprofs",0.0173064167876817
4,"tonight",0.016743741448673
4,"hate",0.0145950128554397
4,"ready",0.0125578060865048
4,"just",0.0111205026939455
4,"already",0.0104648384054206
4,"friday",0.0104648384054206
4,"bed",0.0104648125772667
5,"im",0.0170675168947561
5,"happy",0.0170675168947561
5,"rt",0.0148848712005412
5,"getting",0.0128006211158431
5,"good",0.0127459934236997
5,"twitpic.com",0.0126973286662558
5,"ecoluxe",0.0106671980592226
5,"thanks",0.00922778303367188
5,"birthday",0.00853375844737807
5,"day",0.00853375844737807
5,"green",0.00853375844737807
5,"lauren",0.00853375844737807
5,"event",0.00853375844737807
6,"still",0.0197758557327666
6,"love",0.0197200248470426
6,"smh",0.0178730630828564
6,"moteebadass",0.0178730630828564
6,"eventprofs",0.0162775159439776
6,"good",0.0134047973121423
6,"ya",0.0134047973121423
6,"car",0.0134025152276069
6,"yo",0.0110203809940263
6,"herd",0.00893653154142821
6,"today",0.00893653154142821
7,"just",0.021642484913886
7,"want",0.0177074876567879
7,"got",0.0168030286479419
7,"know",0.0156124174185725
7,"follow",0.0137691218656005
7,"wanna",0.0113869993978799
7,"go",0.010631330528865
7,"best",0.00983749314267544
7,"play",0.0098374929859647
7,"shit",0.0096415266506619
8,"new",0.0239375849270156
8,"just",0.012982779853724
8,"even",0.0119549156729064
8,"gonna",0.00997399384513764
8,"like",0.00997399384513764
8,"said",0.00996488568203015
8,"mom",0.00797919507611012
8,"way",0.00797919507611012
8,"can",0.00797919507611012
8,"people",0.00797919507611012
8,"haha",0.00797919507611012
8,"two",0.00797919507611012
8,"wikipedia",0.00797919507611012
9,"now",0.0258562665722255
9,"love",0.012395059191872
9,"macbook",0.0115338313929041
9,"one",0.0115338313922662
9,"tumblr.com",0.0115338307831603
9,"time",0.0107065553353811
9,"make",0.00961152616075343
9,"tweeps",0.00961152616075343
9,"xxclandestinexx",0.00961152616075343
9,"selling",0.0096115261607534
