"topic","term","beta"
1,"everyone",0.0410958904109589
1,"flu",0.0273972602739726
1,"must",0.0273972602739726
1,"just",0.0273972602739726
1,"singprettywords",0.0273972602739726
1,"public",0.0273972602739726
1,"lol",0.0273972602739726
1,"go",0.0136986301369863
1,"really",0.0136986301369863
1,"now",0.0136986301369863
1,"life",0.0136986301369863
1,"way",0.0136986301369863
1,"book",0.0136986301369863
1,"christ's",0.0136986301369863
1,"die",0.0136986301369863
1,"different",0.0136986301369863
1,"heaven",0.0136986301369863
1,"lambs",0.0136986301369863
1,"name",0.0136986301369863
1,"think",0.0136986301369863
1,"written",0.0136986301369863
1,"yea",0.0136986301369863
1,"love",0.0136986301369863
1,"haha",0.0136986301369863
1,"watch",0.0136986301369863
1,"flip",0.0136986301369863
1,"funny",0.0136986301369863
1,"mention",0.0136986301369863
1,"bird",0.0136986301369863
1,"etc",0.0136986301369863
1,"everything",0.0136986301369863
1,"general",0.0136986301369863
1,"hate",0.0136986301369863
1,"overreacts",0.0136986301369863
1,"swine",0.0136986301369863
1,"y2k",0.0136986301369863
1,"beat",0.0136986301369863
1,"many",0.0136986301369863
1,"burn:cycle",0.0136986301369863
1,"created",0.0136986301369863
1,"figured",0.0136986301369863
1,"patches",0.0136986301369863
1,"run",0.0136986301369863
1,"user",0.0136986301369863
1,"addiction",0.0136986301369863
1,"boat",0.0136986301369863
1,"christened",0.0136986301369863
1,"coke",0.0136986301369863
1,"fetish",0.0136986301369863
1,"gettin",0.0136986301369863
1,"lawyer",0.0136986301369863
1,"leopard",0.0136986301369863
1,"ome",0.0136986301369863
1,"prick",0.0136986301369863
1,"print",0.0136986301369863
1,"small",0.0136986301369863
1,"snuggie",0.0136986301369863
1,"ended",0.0136986301369863
1,"ff12",0.0136986301369863
1,"finally",0.0136986301369863
1,"hours",0.0136986301369863
1,"leave",0.0136986301369863
1,"level",0.0136986301369863
1,"minutes",0.0136986301369863
1,"seconds",0.0136986301369863
2,"god",0.0425531914893617
2,"jesus",0.0425531914893617
2,"anything",0.0212765957446809
2,"china",0.0212765957446809
2,"economy",0.0212765957446809
2,"import",0.0212765957446809
2,"pondering",0.0212765957446809
2,"produce",0.0212765957446809
2,"shall",0.0212765957446809
2,"times",0.0212765957446809
2,"1tim",0.0212765957446809
2,"depart",0.0212765957446809
2,"devils",0.0212765957446809
2,"doctrines",0.0212765957446809
2,"faith",0.0212765957446809
2,"giving",0.0212765957446809
2,"heed",0.0212765957446809
2,"latter",0.0212765957446809
2,"seducing",0.0212765957446809
2,"spirits",0.0212765957446809
2,"bluer",0.0212765957446809
2,"christ",0.0212765957446809
2,"clouds",0.0212765957446809
2,"creature",0.0212765957446809
2,"experience",0.0212765957446809
2,"m.e.weekend",0.0212765957446809
2,"new",0.0212765957446809
2,"saved",0.0212765957446809
2,"sky",0.0212765957446809
2,"soul",0.0212765957446809
2,"went",0.0212765957446809
2,"whiter",0.0212765957446809
2,"blessed",0.0212765957446809
2,"hear",0.0212765957446809
2,"instruction",0.0212765957446809
2,"keep",0.0212765957446809
2,"luke11",0.0212765957446809
2,"rather",0.0212765957446809
2,"said",0.0212765957446809
2,"word",0.0212765957446809
2,"yea",0.0212765957446809
2,"america",0.0212765957446809
