"topic","term","beta"
1,"live",0.15012656816444
1,"selena",0.138087625897248
1,"selenagomezlive",0.137597651708818
1,"gomez",0.130650728192598
1,"hey",0.093685809483905
1,"ustre.am",0.0789690176872937
1,"favorite",0.048292146691104
1,"character",0.0385089179280851
1,"sing",0.0238167796658547
1,"1c92",0.022331567350655
2,"1c92",0.225587225764147
2,"hey",0.154618880584021
2,"gomez",0.121021275218462
2,"selena",0.120431152471888
2,"selenagomezlive",0.0993031462383626
2,"favorite",0.0319064839659989
2,"jonas",0.0239277266684986
2,"character",0.0191014762922332
2,"sing",0.0155151928355534
2,"hi",0.0149039103855095
3,"hey",0.158662596349304
3,"live",0.129677637796989
3,"gomez",0.107159218624618
3,"selena",0.106217706833878
3,"1c92",0.0890944564192629
3,"ustre.am",0.0834935251179638
3,"selenagomezlive",0.0552951976161277
3,"say",0.0342315887165614
3,"sing",0.034186354253225
3,"song",0.0235883451329655
4,"ustre.am",0.289243285932522
4,"gomez",0.140989819060586
4,"selena",0.108971874215631
4,"1c92",0.0675979558250903
4,"selenagomezlive",0.0627423894156843
4,"favorite",0.0440108783263374
4,"hey",0.0411973872874402
4,"live",0.0385804948782524
4,"ever",0.0280862772940449
4,"sing",0.0275328513621871
5,"selenagomezlive",0.176451279234285
5,"gomez",0.093807032581344
5,"1c92",0.0845056288748998
5,"sing",0.066246887814835
5,"live",0.064209417664953
5,"hey",0.0605024219083186
5,"favorite",0.0532789274959014
5,"ustre.am",0.0496786357252635
5,"ever",0.0477809810989326
5,"song",0.0412496400556947
6,"1c92",0.199358340328713
6,"selena",0.132422351133587
6,"hey",0.112834713646207
6,"selenagomezlive",0.103738658181682
6,"live",0.10150152598417
6,"gomez",0.099448525854569
6,"ustre.am",0.0905655450394562
6,"say",0.019173233923326
6,"david",0.0134750725804442
6,"song",0.013021513802291
7,"live",0.196204660580854
7,"selenagomezlive",0.145526934784963
7,"hey",0.104483594313075
7,"ustre.am",0.0767602981764131
7,"gomez",0.0720663710462848
7,"1c92",0.0658911462390091
7,"sing",0.0449254519897767
7,"motivated",0.0360691398397627
7,"selena",0.0353664453722918
7,"song",0.0242286549465952
8,"ustre.am",0.213285933591936
8,"gomez",0.14276597139068
8,"selena",0.133370189883253
8,"live",0.100016161022901
8,"hey",0.0726000855550083
8,"favorite",0.0612425724731033
8,"selenagomezlive",0.0317703087463589
8,"sing",0.0317679519626671
8,"ever",0.0239034539044138
8,"cartoon",0.0202657499141575
9,"1c92",0.16469269234007
9,"live",0.14433355550686
9,"selena",0.140455299295192
9,"hey",0.138907144247376
9,"selenagomezlive",0.125046122803634
9,"ustre.am",0.0427116057327719
9,"ever",0.0353744673213827
9,"sing",0.030973582345323
9,"gomez",0.0296109031953443
9,"character",0.0137561135303403
