"topic","term","beta"
1,"work",0.0188193006092349
1,"time",0.0179398533868938
1,"tomorrow",0.0121579049865871
1,"like",0.012157904414062
1,"go",0.0120791231682716
1,"today",0.0113258044757536
1,"see",0.0100383623513575
1,"can",0.00995521916122378
1,"just",0.00946627517771444
1,"love",0.00939584693345228
2,"rt",0.0182264120554366
2,"see",0.016202028010263
2,"year",0.0151102220683484
2,"going",0.0136068770371364
2,"just",0.0114745203788071
2,"great",0.00971810406477001
2,"go",0.00836063610156154
2,"tonight",0.00832980352955826
2,"issue",0.00832980352955826
2,"get",0.00832980352955826
3,"know",0.0336016409035995
3,"ow.ly",0.0240438986149129
3,"bellingham",0.017988883145921
3,"looking",0.0144565226304066
3,"rt",0.0134747708500162
3,"needed",0.0120219493074564
3,"good",0.0114962026132929
3,"production",0.00901646198059234
3,"house",0.00751371831716028
3,"cleartweets",0.00751371831716028
4,"day",0.0188099720602625
4,"rt",0.0175610655770243
4,"much",0.0160465031111216
4,"good",0.01564415419251
4,"ready",0.0131708281834435
4,"start",0.0102412948091431
4,"want",0.0102310756692682
4,"night",0.00931222678045746
4,"work",0.00899602831816082
4,"just",0.0085428817925309
5,"movie",0.0171244908475573
5,"think",0.0168709290602392
5,"antigone921",0.0155677189523248
5,"one",0.0111270931066854
5,"made",0.0108974032666274
5,"yes",0.0108973610639459
5,"things",0.00934017198716739
5,"need",0.00852455179344997
5,"like",0.00838298345420611
5,"really",0.00832952276688791
6,"krisallen4real",0.0249979247939007
6,"right",0.0187049070794142
6,"twitter",0.0171857156848861
6,"bon",0.0156237029867143
6,"iver",0.0156237029859246
6,"youtube",0.0140613326965692
6,"now",0.0137749178386597
6,"thanks",0.0118888547214142
6,"web",0.0113526043038087
6,"amazing",0.0109365920973316
7,"com",0.0255499281291064
7,"www.ferndale115",0.0255499281291064
7,"ferndale",0.014194404516167
7,"like",0.0141944045044556
7,"rt",0.0113555236129362
7,"got",0.0111780936411764
7,"just",0.0110684594391368
7,"really",0.00993608316130384
7,"thing",0.00851664270970214
7,"lol",0.00851664270970214
8,"rt",0.0287948003458468
8,"nice",0.0149430963556358
8,"health",0.0132827605342974
8,"ever",0.0116224141459829
8,"ow.ly",0.00996207041363594
8,"social",0.00992433490353156
8,"j.mp",0.00988550474855263
8,"great",0.00830172534469662
8,"around",0.00830172534469662
8,"still",0.00810956170943136
9,"back",0.0161530831339702
9,"rt",0.0157551365052211
9,"happy",0.0140765533289089
9,"make",0.0138995307008879
9,"post",0.0126041101708724
9,"ow.ly",0.0110285964995692
9,"lets",0.00945308271391643
9,"almost",0.00945308268523132
9,"twitpic.com",0.00944576323009664
9,"time",0.0078775689282637
