"topic","term","beta"
1,"rt",0.0363636363636364
1,"man",0.0363636363636364
1,"138cta",0.0363636363636364
1,"islam",0.0363636363636364
1,"pillars",0.0363636363636364
1,"ramadan",0.0363636363636364
1,"11lanm",0.0363636363636364
1,"hill",0.0363636363636364
1,"mars",0.0363636363636364
1,"military",0.0363636363636364
1,"mission",0.0363636363636364
1,"resurgence",0.0363636363636364
1,"must",0.0363636363636364
2,"willie",0.0579710139013462
2,"rt",0.0289855069506731
2,"time",0.0289855069506731
2,"3p9fbt",0.0289855069506731
2,"creativity",0.0289855069506731
2,"dollars",0.0289855069506731
2,"replaces",0.0289855069506731
2,"safeguard",0.0289855069506731
2,"every",0.0289855069506731
2,"fail",0.0289855069506731
2,"failing",0.0289855069506731
2,"glory",0.0289855069506731
2,"greatest",0.0289855069506731
2,"never",0.0289855069506731
2,"rising",0.0289855069506731
2,"synterra",0.0289855069506731
2,"know",0.0289855069506731
2,"funny",0.0289855069506731
3,"ibelieve",0.0851063829787234
3,"facebook",0.0425531914893617
3,"meet",0.0425531914893617
3,"twitter",0.0425531914893617
3,"wyuno",0.0425531914893617
3,"france",0.0425531914893617
3,"l45qt",0.0425531914893617
3,"muslims",0.0425531914893617
3,"agreed",0.0425531914893617
3,"pres",0.0425531914893617
4,"hot",0.0447797251073527
4,"little",0.0298531500715684
4,"creativity",0.0298531500715684
4,"3bshf",0.0298531500715684
4,"buttons",0.0298531500715684
4,"derek",0.0298531500715684
4,"new",0.0298531500715684
4,"pushes",0.0298531500715684
4,"s",0.0298531500715684
4,"song",0.0298531500715684
4,"webb",0.0298531500715684
4,"defense",0.0298531500715684
4,"indians",0.0298531500715684
4,"lift",0.0298531500715684
4,"z9lyi",0.0298531500715684
4,"teaching",0.0298531500715684
5,"religion",0.0937421100597653
5,"sept",0.0624947400398427
5,"saturday",0.046870925999681
5,"love",0.0312473700199218
5,"calendar",0.0312473700199218
5,"tzvsw",0.0312473700199218
5,"circle",0.0312473700199218
5,"giant",0.0312473700199218
5,"morning",0.0312473700199218
5,"of8wu",0.0312473700199218
5,"place",0.0312473700199218
5,"prayer",0.0312473700199218
5,"taking",0.0312473700199218
5,"briefs",0.0312473700199218
5,"e8bvw",0.0312473700199218
6,"tcot",0.101127902490419
6,"tinyurl.com",0.0822093844706237
6,"tlot",0.0674369910807545
6,"libertarian",0.0674369906719403
6,"good",0.0411371767468191
6,"read",0.0337184955420539
6,"worth",0.0337184955420539
6,"get",0.0168592477710269
6,"adore",0.0168592477710269
6,"mmm",0.0168592477710269
6,"acorn",0.0168592477710269
6,"bums",0.0168592477710269
6,"nnd78d",0.0168592477710269
6,"riddance",0.0168592477710269
6,"ya",0.0168592477710269
6,"still",0.0168592477710269
6,"willie",0.0168592477710269
6,"chance",0.0168592477710269
6,"check",0.0168592477710269
6,"day",0.0168592477710269
6,"going",0.0168592477710269
6,"sure",0.0168592477710269
6,"ubiquity.mozilla.com",0.0168592477710269
6,"well",0.0168592477710269
6,"work",0.0168592477710269
6,"urp7i",0.0168592477710269
6,"just",0.0168592477710269
6,"com0904s.asp",0.0168592477710269
6,"comment",0.0168592477710269
6,"www.fff.org",0.0168592477710269
6,"today",0.0168592477710269
6,"old",0.0168592477710269
6,"beach",0.0168592477710269
6,"sniffles",0.0168592477710269
6,"sore",0.0168592477710269
6,"throat",0.0168592477710269
6,"wake",0.0168592477710269
6,"3sox",0.0168592477710269
6,"long",0.0168592477710269
6,"relevant",0.0168592477710269
6,"years",0.0168592477710269
7,"iphone",0.15384615381141
7,"hzmnl",0.123076923049128
7,"wallpaper",0.0923076922868462
7,"free",0.0615384615245642
7,"shame",0.0307692307622821
7,"ฟรี",0.0307692307622821
7,"สร้าง",0.0307692307622821
7,"для",0.0307692307622821
7,"створення",0.0307692307622821
7,"шпалер",0.0307692307622821
7,"cho",0.0307692307622821
7,"nền",0.0307692307622821
7,"tạo",0.0307692307622821
7,"latest",0.0307692307622821
7,"try",0.0307692307622821
7,"creation",0.0307692307622821
7,"d3bao",0.0307692307622821
7,"mindablaze",0.0307692307622821
8,"coffee",0.0618377752863835
8,"rt",0.0463783314647876
8,"buy",0.0309188876431917
8,"chat",0.0309188876431917
8,"gonna",0.0309188876431917
8,"gordonduncan",0.0309188876431917
8,"next",0.0309188876431917
8,"renewabelle",0.0309188876431917
8,"much",0.0309188876431917
8,"twitpic.com",0.0309188876431917
9,"see",0.05
9,"eye",0.025
9,"get",0.025
9,"might",0.025
9,"shut",0.025
9,"time",0.025
9,"prayer",0.025
9,"12bj8v",0.025
9,"brings",0.025
9,"pole",0.025
9,"students",0.025
9,"together",0.025
9,"really",0.025
9,"flat",0.025
9,"like",0.025
9,"ones",0.025
9,"real",0.025
9,"tire",0.025
