"topic","term","beta"
1,"anniversary",0.0833333333333333
1,"birthday",0.0833333333333333
1,"celebrate",0.0833333333333333
1,"dinner",0.0833333333333333
1,"family",0.0833333333333333
1,"may",0.0833333333333333
1,"roadhouse",0.0833333333333333
1,"take",0.0833333333333333
1,"texas",0.0833333333333333
1,"think",0.0833333333333333
1,"tonight",0.0833333333333333
1,"upcoming",0.0833333333333333
2,"thank",0.416666666666667
2,"jessicalwi",0.0833333333333333
2,"robstitzer",0.0833333333333333
2,"lrac",0.0833333333333333
2,"gracias",0.0833333333333333
2,"happygoatee",0.0833333333333333
2,"señor",0.0833333333333333
2,"kevleviathan",0.0833333333333333
2,"goldensnitch",7.40462816261925e-35
2,"nila_p",1.1938105999578e-264
2,"ebaldassari",1.1938105999578e-264
2,"kommienezuspadt",1.1938105999578e-264
3,"bkite.com",0.2
3,"roadhouse",0.1
3,"texas",0.1
3,"0ca42",0.1
3,"inc",0.1
3,"0cb60",0.1
3,"group",0.1
3,"nepa",0.1
3,"technology",0.1
3,"thank",1.21966544986464e-226
4,"maybe",0.125
4,"copies",0.125
4,"final",0.125
4,"installed",0.125
4,"nope",0.125
4,"still",0.125
4,"unixfudotnet",0.125
4,"weekend",0.125
4,"thank",3.72212356526025e-226
4,"goldensnitch",2.22339818015893e-227
5,"goldensnitch",0.2
5,"eat",0.1
5,"favorite",0.1
5,"one",0.1
5,"places",0.1
5,"yeah",0.1
5,"diana172",0.1
5,"lol",0.1
5,"thanks",0.1
5,"thank",6.78375450309944e-50
6,"anniversary",0.125
6,"birthday",0.125
6,"bed",0.125
6,"close",0.125
6,"draws",0.125
6,"heading",0.125
6,"shortly",0.125
6,"starts",0.125
6,"thank",3.72212356526025e-226
6,"goldensnitch",2.22339818015893e-227
7,"family",0.0833333333333333
7,"arkham",0.0833333333333333
7,"asylum",0.0833333333333333
7,"batman",0.0833333333333333
7,"best",0.0833333333333333
7,"buy",0.0833333333333333
7,"picking",0.0833333333333333
7,"thinking",0.0833333333333333
7,"funny",0.0833333333333333
7,"modern",0.0833333333333333
7,"pretty",0.0833333333333333
7,"seems",0.0833333333333333
8,"arkham",0.0666666666666667
8,"asylum",0.0666666666666667
8,"picking",0.0666666666666667
8,"demo",0.0666666666666667
8,"ended",0.0666666666666667
8,"enjoyed",0.0666666666666667
8,"junior",0.0666666666666667
8,"maybe",0.0666666666666667
8,"next",0.0666666666666667
8,"pick",0.0666666666666667
8,"playing",0.0666666666666667
8,"really",0.0666666666666667
8,"scribblenauts",0.0666666666666667
8,"wanted",0.0666666666666667
8,"week",0.0666666666666667
9,"thank",0.3
9,"nila_p",0.1
9,"ebaldassari",0.1
9,"kommienezuspadt",0.1
9,"unixfudotnet",0.1
9,"like",0.1
9,"played",0.1
9,"rc",0.1
9,"goldensnitch",7.28567953698459e-228
9,"robstitzer",2.53111682153362e-228
9,"lrac",2.53111682153362e-228
9,"kevleviathan",2.53111682153362e-228
