"topic","term","beta"
1,"going",0.0290424721959041
1,"run",0.0232355742545058
1,"looking",0.0174266806908793
1,"much",0.0174266806908793
1,"come",0.0174266806908793
1,"story",0.0174266806908793
1,"just",0.0174266806908531
1,"back",0.0116177871272529
1,"really",0.0116177871272529
1,"get",0.0116177871272529
1,"patrick",0.0116177871272529
1,"swayze",0.0116177871272529
1,"tackles",0.0116177871272529
1,"crayton",0.0116177871272529
1,"fml",0.0116177871272529
1,"know",0.0116177871272529
1,"watching",0.0116177871272529
1,"wonderful",0.0116177871272529
1,"ass",0.0116177871272529
1,"four",0.0116177871272529
2,"city",0.0296120507240944
2,"sioux",0.0296120507240944
2,"year",0.0236896405792755
2,"iowa",0.0177672304344567
2,"old",0.0177672304344567
2,"news",0.0177672304344567
2,"night",0.0177672304344567
2,"latest",0.0177672304344567
2,"hadiqazeeshan",0.0177672304344567
2,"tax",0.0118448202896378
2,"looking",0.0118448202896378
2,"week",0.0118448202896378
2,"hospital",0.0118448202896378
2,"care",0.0118448202896378
2,"starting",0.0118448202896378
3,"iahsfb",0.0593985532768091
3,"score",0.0445489149576069
3,"update",0.0445489149576069
3,"game",0.0346491560781386
3,"final",0.0346491560781384
3,"sioux",0.0275976394603636
3,"third",0.0247493971986705
3,"christian",0.0197995177589364
3,"city",0.0165270247790245
3,"central",0.0148496383192023
3,"lyon",0.0148496383192023
3,"unity",0.0148496383192023
4,"iowa",0.0449221927827762
4,"news",0.0449221927827762
4,"latest",0.0449221927827762
4,"man",0.0280763704892162
4,"police",0.0224610963913881
4,"airport",0.0224610963913881
4,"ap",0.0224610963913881
4,"neb",0.0168458222935411
4,"s.d",0.0168458222935411
4,"water",0.0168458222935411
5,"vs",0.051994410904626
5,"lake",0.0462172541374453
5,"storm",0.0462172541374453
5,"city",0.0462172541374312
5,"bluff",0.0404400973702647
5,"luton",0.0404400973702647
5,"valley",0.0398001044324168
5,"v",0.034662940603084
5,"canton",0.034662940603084
5,"s",0.0346629405340429
6,"iowa",0.0392156862689483
6,"news",0.0261437908459656
6,"nature",0.0196078431344742
6,"des",0.0196078431344742
6,"moines",0.0196078431344742
6,"ap",0.0196078431344742
6,"latest",0.0196078431344742
6,"excited",0.0196078431344742
6,"flood",0.0130718954229828
6,"hours",0.0130718954229828
6,"sweet",0.0130718954229828
6,"world",0.0130718954229828
6,"far",0.0130718954229828
6,"another",0.0130718954229828
6,"democratic",0.0130718954229828
6,"education",0.0130718954229828
6,"gop",0.0130718954229828
6,"gronstal",0.0130718954229828
6,"plan",0.0130718954229828
6,"rejects",0.0130718954229828
6,"today",0.0130718954229828
7,"right",0.0340909089718572
7,"now",0.0284090909126178
7,"work",0.0284090909117545
7,"rt",0.0227272727300943
7,"tom",0.0227272727300943
7,"thanks",0.0170454545475707
7,"see",0.0170454545475707
7,"park",0.0170454545475707
7,"vs",0.0113636363650471
7,"police",0.0113636363650471
7,"ow.ly",0.0113636363650471
7,"got",0.0113636363650471
7,"come",0.0113636363650471
7,"hot",0.0113636363650471
7,"weekend",0.0113636363650471
7,"volunteers",0.0113636363650471
7,"chat",0.0113636363650471
7,"join",0.0113636363650471
7,"lunch",0.0113636363650471
7,"omaha.com",0.0113636363650471
7,"owhnews",0.0113636363650471
7,"pcnb",0.0113636363650471
7,"question",0.0113636363650471
7,"shatel",0.0113636363650471
7,"sports",0.0113636363650471
7,"weekly",0.0113636363650471
7,"like",0.0113636363650471
7,"arrested",0.0113636363650471
7,"gang",0.0113636363650471
7,"related",0.0113636363650471
7,"suspects",0.0113636363650471
7,"theatre",0.0113636363650471
8,"rt",0.0238388039655154
8,"ow.ly",0.0238388039655154
8,"get",0.0238388039655154
8,"news",0.0227937093188031
8,"love",0.0178791029741365
8,"michael",0.0178791029741365
8,"good",0.0178791029741365
8,"media",0.0178791029741365
8,"mrklzyjr",0.0178791029741365
8,"design",0.0119194019827577
8,"neb",0.0119194019827577
8,"video",0.0119194019827577
8,"social",0.0119194019827577
8,"amazing",0.0119194019827577
9,"mrklzyjr",0.0287769784172347
9,"fire",0.0215827338129261
9,"steel",0.0215827338129261
9,"job",0.0143884892086174
9,"posted",0.0143884892086174
9,"rt",0.0143884892086174
9,"week",0.0143884892086174
9,"twitpic.com",0.0143884892086174
9,"just",0.0143884892086174
9,"say",0.0143884892086174
9,"like",0.0143884892086174
9,"glad",0.0143884892086174
9,"something",0.0143884892086174
9,"hadiqazeeshan",0.0143884892086174
9,"haha",0.0143884892086174
9,"vma's",0.0143884892086174
9,"big",0.0143884892086174
9,"compressed",0.0143884892086174
9,"container",0.0143884892086174
