"topic","term","beta"
1,"shit",0.0844613648422588
1,"like",0.0709249867351529
1,"day",0.0422306824211294
1,"inside",0.0422306824211294
1,"nice",0.0422306824211294
1,"now",0.0422306824211294
1,"outside",0.0422306824211294
1,"staying",0.0422306824211294
1,"think",0.0422306824211294
1,"application",0.0422306824211294
1,"digsby",0.0422306824211294
1,"email",0.0422306824211294
1,"im",0.0422306824211294
1,"manage",0.0422306824211294
1,"one",0.0422306824211294
1,"twitter",0.0422306824211294
1,"twitter.digsby.com",0.0422306824211294
1,"using",0.0422306824211294
1,"facebook",0.0422306824211294
1,"iamjonnyd",0.0422306824211294
1,"come",0.0422306824211294
1,"defense",0.0422306824211294
2,"d",0.129032258064516
2,"woohoo",0.0645161290322581
2,"get",0.0645161290322581
2,"dailylit",0.032258064516129
2,"dailylit.com",0.032258064516129
2,"finished",0.032258064516129
2,"just",0.032258064516129
2,"njq0mq",0.032258064516129
2,"screw",0.032258064516129
2,"turn",0.032258064516129
2,"awwwww",0.032258064516129
2,"natalie_nmt",0.032258064516129
2,"apartment",0.032258064516129
2,"decorated",0.032258064516129
2,"gv",0.032258064516129
2,"loving",0.032258064516129
2,"move",0.032258064516129
2,"new",0.032258064516129
2,"stuff",0.032258064516129
2,"wait",0.032258064516129
2,"tomorrow",0.032258064516129
2,"sleep",0.032258064516129
2,"way",0.032258064516129
2,"energy",0.032258064516129
2,"much",0.032258064516129
2,"people",0.032258064516129
3,"working",0.114285714285714
3,"car",0.0285714285714286
3,"drive",0.0285714285714286
3,"get",0.0285714285714286
3,"learn",0.0285714285714286
3,"whenever",0.0285714285714286
3,"done",0.0285714285714286
3,"behind",0.0285714285714286
3,"camera",0.0285714285714286
3,"studio",0.0285714285714286
3,"capitals",0.0285714285714286
3,"dooooo",0.0285714285714286
3,"hawks",0.0285714285714286
3,"itttttt",0.0285714285714286
3,"nhl",0.0285714285714286
3,"pre",0.0285714285714286
3,"season",0.0285714285714286
3,"tonight",0.0285714285714286
3,"ed",0.0285714285714286
3,"false",0.0285714285714286
3,"hochuli",0.0285714285714286
3,"line",0.0285714285714286
3,"nicely",0.0285714285714286
3,"offensive",0.0285714285714286
3,"start",0.0285714285714286
3,"whole",0.0285714285714286
3,"games",0.0285714285714286
3,"ouch",0.0285714285714286
3,"picks",0.0285714285714286
3,"prizzy32",0.0285714285714286
3,"right",0.0285714285714286
3,"td",0.0285714285714286
4,"abroad",0.0555555555555556
4,"holland",0.0555555555555556
4,"making",0.0555555555555556
4,"traveling",0.0555555555555556
4,"caitlinhickman",0.0555555555555556
4,"stay",0.0555555555555556
4,"barely",0.0277777777777778
4,"boring",0.0277777777777778
4,"enough",0.0277777777777778
4,"everyone",0.0277777777777778
4,"jealous",0.0277777777777778
4,"know",0.0277777777777778
4,"mi",0.0277777777777778
4,"pay",0.0277777777777778
4,"rent",0.0277777777777778
4,"stuck",0.0277777777777778
4,"summer",0.0277777777777778
4,"almost",0.0277777777777778
4,"board",0.0277777777777778
4,"foreign",0.0277777777777778
4,"like",0.0277777777777778
4,"p",0.0277777777777778
4,"plane",0.0277777777777778
4,"sounds",0.0277777777777778
4,"convince",0.0277777777777778
4,"knew",0.0277777777777778
4,"lol",0.0277777777777778
4,"hour",0.0277777777777778
4,"playlist",0.0277777777777778
4,"power",0.0277777777777778
5,"dailylit",0.037037037037037
5,"dailylit.com",0.037037037037037
5,"dragons",0.037037037037037
5,"join",0.037037037037037
5,"njq0ma",0.037037037037037
5,"reading",0.037037037037037
5,"started",0.037037037037037
5,"aunt",0.037037037037037
5,"go",0.037037037037037
5,"lakehouse",0.037037037037037
5,"ready",0.037037037037037
5,"sea",0.037037037037037
5,"sun",0.037037037037037
5,"uncle's",0.037037037037037
5,"briguy",0.037037037037037
5,"going",0.037037037037037
5,"kleiner",0.037037037037037
5,"meal",0.037037037037037
5,"plans",0.037037037037037
5,"yay",0.037037037037037
5,"better",0.037037037037037
5,"blatant",0.037037037037037
5,"kleshreen",0.037037037037037
5,"little",0.037037037037037
5,"looking",0.037037037037037
5,"lot",0.037037037037037
5,"need",0.037037037037037
6,"words",0.103448275862069
6,"movie",0.0689655172413793
6,"title",0.0689655172413793
6,"story",0.0689655172413793
6,"hmm",0.0344827586206896
6,"see",0.0344827586206896
6,"writing",0.0344827586206896
6,"1,303",0.0344827586206896
6,"argh",0.0344827586206896
6,"done",0.0344827586206896
6,"long",0.0344827586206896
6,"way",0.0344827586206896
6,"workshop",0.0344827586206896
6,"college",0.0344827586206896
6,"history",0.0344827586206896
6,"misleading",0.0344827586206896
6,"road",0.0344827586206896
6,"trip",0.0344827586206896
6,"every",0.0344827586206896
6,"freaking",0.0344827586206896
6,"hold",0.0344827586206896
6,"play",0.0344827586206896
6,"single",0.0344827586206896
6,"steelers",0.0344827586206896
7,"back",0.08
7,"fun",0.08
7,"apartment",0.04
7,"new",0.04
7,"bncs5",0.04
7,"care",0.04
7,"check",0.04
7,"fight",0.04
7,"grandparents",0.04
7,"havin",0.04
7,"health",0.04
7,"lies",0.04
7,"moveon",0.04
7,"spending",0.04
7,"top",0.04
7,"week",0.04
7,"allendale",0.04
7,"awesome",0.04
7,"drudging",0.04
7,"glad",0.04
7,"issues",0.04
7,"old",0.04
7,"though",0.04
8,"class",0.103448275862069
8,"sucks",0.0689655172413793
8,"go",0.0689655172413793
8,"watching",0.0689655172413793
8,"working",0.0344827586206896
8,"dad",0.0344827586206896
8,"days",0.0344827586206896
8,"singapore",0.0344827586206896
8,"today",0.0344827586206896
8,"woohoo",0.0344827586206896
8,"know",0.0344827586206896
8,"day",0.0344827586206896
8,"home",0.0344827586206896
8,"party",0.0344827586206896
8,"tv",0.0344827586206896
8,"3rd",0.0344827586206896
8,"already",0.0344827586206896
8,"knows",0.0344827586206896
8,"many",0.0344827586206896
8,"tired",0.0344827586206896
8,"godfather",0.0344827586206896
8,"money",0.0344827586206896
8,"page",0.0344827586206896
8,"paper",0.0344827586206896
9,"feel",0.105930205219952
9,"says",0.0706201368133011
9,"bears",0.0706201368133011
9,"like",0.0466281530204349
9,"interesting",0.0353100684066506
9,"school",0.0353100684066506
9,"semester",0.0353100684066506
9,"starting",0.0353100684066506
9,"sure",0.0353100684066506
9,"tomorrow",0.0353100684066506
9,"yet",0.0353100684066506
9,"kinda",0.0353100684066506
9,"life",0.0353100684066506
9,"plateau",0.0353100684066506
9,"reached",0.0353100684066506
9,"chick",0.0353100684066506
9,"number",0.0353100684066506
9,"pick",0.0353100684066506
9,"prof",0.0353100684066506
9,"bed",0.0353100684066506
9,"time",0.0353100684066506
9,"prizzy32",0.0353100684066506
9,"take",0.0353100684066506
9,"win",0.0353100684066506
