"topic","term","beta"
1,"u",0.0431711227238136
1,"now",0.0387371852875701
1,"lol",0.0214793944186783
1,"come",0.0136486863431426
1,"know",0.0134893155181993
1,"live",0.0128594180144831
1,"right",0.0104434352437461
1,"one",0.00891773664572242
1,"get",0.00866057716732664
1,"chiefs",0.00708356890359148
2,"go",0.0255039230387648
2,"today",0.0185247531829829
2,"day",0.0184122103036427
2,"good",0.0162881226486791
2,"rt",0.0153909991081571
2,"last",0.0131887070326273
2,"love",0.0121395672848313
2,"great",0.00921241626012018
2,"see",0.00908870456164961
2,"happy",0.00861299226656783
3,"com",0.0300539202004476
3,"now",0.0203819963126081
3,"playing",0.0191910574773942
3,"news",0.0177331273156496
3,"wda1",0.0144838169640711
3,"www.wda1",0.0144838169640711
3,"affiliate",0.013035435267664
3,"tinyurl.com",0.0115870494058696
3,"learn",0.0101386718748498
3,"save",0.00901650345284197
4,"kansas",0.0318073462806121
4,"city",0.0307351885408162
4,"mast",0.0121511210510204
4,"like",0.0106453193577337
4,"mo",0.0103641914846938
4,"kcfd",0.0100068055714285
4,"bed",0.010006805567137
4,"photo",0.00929203374489791
4,"nice",0.007826794175849
4,"ft",0.00750510417716947
5,"chiefs",0.011807751928783
5,"fun",0.0109038777899797
5,"said",0.00958219563391513
5,"via",0.00915742339351621
5,"just",0.00837435451705017
5,"even",0.00738699777724333
5,"like",0.00662825875644087
5,"food",0.00641705815465708
5,"cassel",0.00627799024290991
5,"sunday",0.00627799024290991
6,"rt",0.0200342684607257
6,"just",0.010027356691139
6,"good",0.00859336244430047
6,"got",0.00758554330551764
6,"weekend",0.00752968305726274
6,"harmon",0.00708069085537416
6,"next",0.0070781579944217
6,"can",0.00680167690692281
6,"football",0.00636454383453101
6,"look",0.00584891082794061
7,"just",0.0233529719342051
7,"work",0.0183592761741312
7,"im",0.0111456954866802
7,"watching",0.0109045869919483
7,"time",0.0107239604553423
7,"away",0.00942668882137082
7,"get",0.00845974243781365
7,"got",0.00784956751265195
7,"really",0.00759820569495342
7,"know",0.00736522330755216
8,"tickets",0.013811146158352
8,"rt",0.0134529952221902
8,"still",0.0115032854529446
8,"get",0.0105648384750953
8,"time",0.0103674542843897
8,"tix",0.00835089449477544
8,"game",0.00768382628404201
8,"royals",0.00738735675768602
8,"sure",0.00729107459492234
8,"line",0.0067449767970634
9,"going",0.0214184024189594
9,"like",0.0204405761370436
9,"good",0.0124817744034187
9,"new",0.00913946440946048
9,"blip.fm",0.00884028599249811
9,"rt",0.00845724852002876
9,"can",0.00747159942746316
9,"morning",0.00737197613798901
9,"listening",0.00727711245641493
9,"get",0.00687125165419848
