"topic","term","beta"
1,"really",0.142857142857143
1,"immattgiraud",0.0476190476190476
1,"u",0.0476190476190476
1,"got",0.0476190476190476
1,"never",0.0476190476190476
1,"rt",0.0476190476190476
1,"laurafleurs",0.0476190476190476
1,"dude",0.0476190476190476
1,"epic",0.0476190476190476
1,"helped",0.0476190476190476
1,"make",0.0476190476190476
1,"michaelsarver1",0.0476190476190476
1,"rock",0.0476190476190476
1,"weekend",0.0476190476190476
1,"duuuu",0.0476190476190476
1,"portland",0.0476190476190476
1,"silly",0.0476190476190476
1,"string",0.0476190476190476
1,"totally",0.0476190476190476
2,"immattgiraud",0.131709512553106
2,"dontstopbelieving",0.0878063623285506
2,"rt",0.0878063623285506
2,"touched",0.0780332264899339
2,"ever",0.0439031811642753
2,"ftl2joannbest",0.0439031811642753
2,"idol",0.0439031811642753
2,"made",0.0439031811642753
2,"never",0.0439031811642753
2,"season",0.0439031811642753
2,"one",0.0439031811642753
2,"day",0.0439031811642753
2,"lovethemtigers",0.0439031811642753
2,"believe",0.0439031811642753
2,"charts",0.0439031811642753
2,"matt",0.0439031811642753
2,"soon",0.0439031811642753
2,"top",0.0439031811642753
3,"right",0.0769230769230769
3,"immattgiraud",0.0384615384615385
3,"just",0.0384615384615385
3,"heart's",0.0384615384615385
3,"keep",0.0384615384615385
3,"makes",0.0384615384615385
3,"man",0.0384615384615385
3,"much",0.0384615384615385
3,"music",0.0384615384615385
3,"place",0.0384615384615385
3,"thank",0.0384615384615385
3,"worthwhile",0.0384615384615385
3,"crying",0.0384615384615385
3,"season",0.0384615384615385
3,"touched",0.0384615384615385
3,"anyone",0.0384615384615385
3,"dont",0.0384615384615385
3,"following",0.0384615384615385
3,"hearts",0.0384615384615385
3,"isnt",0.0384615384615385
3,"know",0.0384615384615385
3,"like",0.0384615384615385
3,"none",0.0384615384615385
3,"now",0.0384615384615385
3,"thankyouai8",0.0384615384615385
4,"hard",0.0555555555555556
4,"u",0.0555555555555556
4,"crying",0.0555555555555556
4,"end",0.0555555555555556
4,"friggin",0.0555555555555556
4,"girl",0.0555555555555556
4,"glad",0.0555555555555556
4,"got",0.0555555555555556
4,"gotta",0.0555555555555556
4,"heidistlaurent",0.0555555555555556
4,"honey",0.0555555555555556
4,"im",0.0555555555555556
4,"meet",0.0555555555555556
4,"oh",0.0555555555555556
4,"precious",0.0555555555555556
4,"sad",0.0555555555555556
4,"sooo",0.0555555555555556
4,"ur",0.0555555555555556
5,"really",0.0666666666666667
5,"honey",0.0666666666666667
5,"laurafleurs",0.0666666666666667
5,"mattishard2handle",0.0666666666666667
5,"yes",0.0666666666666667
5,"quittttttt",0.0666666666666667
5,"reality",0.0666666666666667
5,"sucks",0.0666666666666667
5,"bawling",0.0666666666666667
5,"fucking",0.0666666666666667
5,"kradams",0.0666666666666667
5,"manoops",0.0666666666666667
5,"summerblonde83",0.0666666666666667
5,"unf's",0.0666666666666667
5,"lovethemtigers",0.0666666666666667
6,"cause",0.0825674948486783
6,"laurafleurs",0.0825674948486783
6,"breaks",0.0412837474243392
6,"hear",0.0412837474243392
6,"heart",0.0412837474243392
6,"mattishard2handle",0.0412837474243392
6,"stopped",0.0412837474243392
6,"times",0.0412837474243392
6,"ughh",0.0412837474243392
6,"bitch",0.0412837474243392
6,"drink",0.0412837474243392
6,"ftl137kari",0.0412837474243392
6,"fuck",0.0412837474243392
6,"megan",0.0412837474243392
6,"meganjoysings",0.0412837474243392
6,"one",0.0412837474243392
6,"pretty",0.0412837474243392
6,"three",0.0412837474243392
6,"time",0.0412837474243392
6,"two",0.0412837474243392
7,"can",0.0833333333333333
7,"cry",0.0833333333333333
7,"hard",0.0833333333333333
7,"hell",0.0833333333333333
7,"immattgiraud",0.0833333333333333
7,"jan",0.0833333333333333
7,"just",0.0833333333333333
7,"love",0.0833333333333333
7,"see",0.0833333333333333
7,"sher2310",0.0833333333333333
7,"u",0.0833333333333333
7,"ya",0.0833333333333333
8,"immattgiraud",0.08
8,"heidistlaurent",0.08
8,"rt",0.04
8,"mattishard2handle",0.04
8,"brought",0.04
8,"friends",0.04
8,"stay",0.04
8,"sweetheart",0.04
8,"together",0.04
8,"us",0.04
8,"yes",0.04
8,"ftl137kari",0.04
8,"one",0.04
8,"bump",0.04
8,"day",0.04
8,"event",0.04
8,"soooon",0.04
8,"bb11",0.04
8,"butttt",0.04
8,"haha",0.04
8,"jordan",0.04
8,"stillllll",0.04
8,"won",0.04
9,"immattgiraud",0.032258064516129
9,"u",0.032258064516129
9,"thank",0.032258064516129
9,"ahhh",0.032258064516129
9,"ask",0.032258064516129
9,"brooke",0.032258064516129
9,"glamftl153",0.032258064516129
9,"last",0.032258064516129
9,"laura",0.032258064516129
9,"night",0.032258064516129
9,"nuts",0.032258064516129
9,"thinki'm",0.032258064516129
9,"tod",0.032258064516129
9,"toooo",0.032258064516129
9,"cant",0.032258064516129
9,"fishtv5",0.032258064516129
9,"girlll",0.032258064516129
9,"ohh",0.032258064516129
9,"wait",0.032258064516129
9,"michaelsarver1",0.032258064516129
9,"friends",0.032258064516129
9,"meganjoysings",0.032258064516129
9,"adamlambert",0.032258064516129
9,"ass",0.032258064516129
9,"bc",0.032258064516129
9,"dannygokey",0.032258064516129
9,"kick",0.032258064516129
9,"many",0.032258064516129
9,"met",0.032258064516129
9,"new",0.032258064516129
9,"ya'll",0.032258064516129
