"topic","term","beta"
1,"brides",0.0230516471835878
1,"la",0.0230516471835878
1,"mode",0.0230516471835878
1,"new",0.0230515119822814
1,"just",0.021277669564489
1,"see",0.0153677647890586
1,"back",0.0153677187156527
1,"counsel",0.0115258235917939
1,"seek",0.0115258235917939
1,"last",0.0115258235917939
1,"hip",0.0115258235917939
1,"dance",0.0115258235917939
2,"can",0.0214954806275572
2,"now",0.0143303204183715
2,"looks",0.0143303204183715
2,"parkertechguy",0.0143303204183715
2,"view",0.0143303204183715
2,"rachelashley09",0.0143303204183715
2,"u",0.0143303204181016
2,"just",0.0124019605628292
2,"sexy",0.0107477403137786
2,"stewart",0.0107477403137786
2,"atkins",0.0107477403137786
2,"like",0.0107477403137786
2,"right",0.0107477403137786
2,"tinyurl.com",0.0107477403137786
3,"trying",0.0234973735052575
3,"now",0.0225970844805958
3,"way",0.0194474258896562
3,"get",0.0156649156701758
3,"best",0.0156649156701758
3,"tonight",0.0156649156701758
3,"time",0.0154333847316823
3,"new",0.0117486867526319
3,"ever",0.0117486867526319
3,"right",0.0117486867526319
3,"done",0.0117486867526319
4,"rt",0.0317007544294449
4,"lol",0.0305440764278321
4,"twitter",0.0294408540301652
4,"good",0.0279971929300268
4,"gary",0.0254997425432456
4,"morning",0.0254997425432456
4,"know",0.0254997425289722
4,"thetahealermaya",0.0243834708002448
4,"look",0.0212497854527047
4,"site",0.0169998283621637
4,"thanks",0.0169998283621637
4,"inside",0.0169998283621637
4,"early",0.0169998283621637
5,"wanna",0.0540486943039389
5,"really",0.0405362276973598
5,"ha",0.0270243471519694
5,"cook",0.0180162314346463
5,"think",0.0180162314346463
5,"gonna",0.0180162314346463
5,"day",0.0135121735759847
5,"part",0.00985647185691872
5,"thetahealermaya",0.00900811571732314
5,"lol",0.00900811571732314
5,"book",0.00900811571732314
5,"mean",0.00900811571732314
5,"much",0.00900811571732314
5,"never",0.00900811571732314
5,"order",0.00900811571732314
5,"salmon",0.00900811571732314
5,"though",0.00900811571732314
5,"books",0.00900811571732314
5,"intention",0.00900811571732314
5,"mirrors",0.00900811571732314
5,"others",0.00900811571732314
5,"u",0.00900811571732314
5,"let",0.00900811571732314
5,"beer",0.00900811571732314
5,"fool",0.00900811571732314
5,"growth",0.00900811571732314
5,"nj5oa",0.00900811571732314
5,"ny",0.00900811571732314
5,"officer",0.00900811571732314
5,"police",0.00900811571732314
5,"q",0.00900811571732314
5,"retired",0.00900811571732314
5,"spiritual",0.00900811571732314
5,"t",0.00900811571732314
5,"title",0.00900811571732314
5,"ts",0.00900811571732314
5,"yr",0.00900811571732314
5,"looks",0.00900811571732314
5,"apartment",0.00900811571732314
5,"cl",0.00900811571732314
5,"clarklesparkle",0.00900811571732314
5,"gorgeous",0.00900811571732314
5,"rent",0.00900811571732314
5,"time",0.00900811571732314
5,"best",0.00900811571732314
5,"check",0.00900811571732314
5,"maybe",0.00900811571732314
5,"shawncampbell",0.00900811571732314
5,"trial",0.00900811571732314
5,"today",0.00900811571732314
5,"90s",0.00900811571732314
5,"artbynemo",0.00900811571732314
5,"ends",0.00900811571732314
5,"zigazig",0.00900811571732314
5,"iphone",0.00900811571732314
5,"meggersly",0.00900811571732314
5,"tonight",0.00900811571732314
5,"fun",0.00900811571732314
5,"2nite",0.00900811571732314
5,"lives",0.00900811571732314
5,"many",0.00900811571732314
5,"months",0.00900811571732314
5,"past",0.00900811571732314
5,"touched",0.00900811571732314
5,"wishes",0.00900811571732314
6,"rt",0.0639901370279097
6,"good",0.0397541553046052
6,"fish",0.0330751544862589
6,"icpchad",0.0207864796144797
6,"thetahealermaya",0.0201439631345034
6,"big",0.0189027392116633
6,"chad",0.0189027392116633
6,"cwbywsdm",0.0189027392116633
6,"love",0.0189027392116633
6,"day",0.0189027392116633
7,"now",0.0204445511001101
7,"home",0.0195458832959893
7,"already",0.0156367066367914
7,"koerter",0.0156367066367914
7,"lol",0.0149060265014917
7,"rt",0.0117275299775936
7,"prevent",0.0117275299775936
7,"duck",0.0117275299775936
7,"book",0.0117275299775936
7,"read",0.0117275299775936
7,"gone",0.0117275299775936
8,"get",0.0314954590132538
8,"now",0.0221903580751329
8,"just",0.0221903580751329
8,"logomotives",0.0221903580751329
8,"day",0.0184919650626108
8,"got",0.0147935720500886
8,"work",0.0147935720500886
8,"say",0.0147935720500886
8,"good",0.0110951790375665
8,"making",0.0110951790375665
8,"like",0.0110951790375665
8,"time",0.0110951790375665
8,"seems",0.0110951790375665
8,"question",0.0110951790375665
8,"waiting",0.0110951790375665
8,"getting",0.0110951790375665
8,"hate",0.0110951790375665
9,"church",0.0342056163955845
9,"like",0.0304049914485269
9,"us",0.0266041055193439
9,"snow",0.0228037442687505
9,"u",0.0217621303510605
9,"just",0.0190031202239587
9,"missing",0.015202496179167
9,"citrt",0.0151732766430214
9,"one",0.0114018721343752
9,"see",0.0114018721343752
9,"fall",0.0114018721343752
9,"fast",0.0114018721343752
9,"heat",0.0114018721343752
9,"week",0.0114018721343752
9,"roundtable",0.0114018721343752
9,"citrt.org",0.0114018721343752
