"topic","term","beta"
1,"work",0.0331587433749093
1,"great",0.0197877517364674
1,"day",0.0173673592172049
1,"get",0.0168659808926133
1,"thanks",0.0148975447370142
1,"getting",0.0142386813910917
1,"just",0.0132465942374848
1,"see",0.0113631202153997
1,"way",0.0102813002770576
1,"right",0.00916772168195793
2,"just",0.0211185014057539
2,"good",0.0204415655110959
2,"lol",0.0202676451017952
2,"can",0.0120447142206981
2,"time",0.0119486472235548
2,"better",0.0108303757616855
2,"think",0.0102044472980477
2,"still",0.00841777997707308
2,"girl",0.00807058097211608
2,"make",0.00803133719837692
3,"night",0.0246605281887417
3,"just",0.0207048852209307
3,"today",0.0158608224978604
3,"last",0.0156436078048542
3,"working",0.0123302639656837
3,"going",0.0106522399787356
3,"tomorrow",0.0102052613830786
3,"real",0.0100883978964324
3,"week",0.010088397870446
3,"get",0.0082772693422552
4,"back",0.0175545470219472
4,"cajuns",0.013161560516546
4,"someone",0.0128626129950052
4,"today",0.0108493651812782
4,"followers",0.00789693630992762
4,"school",0.00780032418634696
4,"kanye",0.00658078025827302
4,"ha",0.00658078025827302
4,"many",0.00658078025827302
4,"hahaha",0.00658078025827302
4,"geaux",0.00658078025827302
5,"twurl.nl",0.044656512844841
5,"news",0.0302088906084408
5,"j",0.0275820305555329
5,"c",0.0275820305555329
5,"garden",0.0157611603174474
5,"purdue",0.0157611603174474
5,"pain",0.00919401018517763
5,"back",0.00799006596752064
5,"need",0.00656715013226974
5,"know",0.00656715013226974
6,"rt",0.0166660770895106
6,"hate",0.0143066446753672
6,"time",0.013836350879004
6,"twitpic.com",0.0115355714085673
6,"just",0.011219243283661
6,"us",0.00953776311691142
6,"people",0.00953770883846057
6,"fun",0.00947078441668858
6,"home",0.00815894105090282
6,"now",0.00764746059850758
7,"rt",0.0183636005233478
7,"much",0.0148701843502774
7,"love",0.0120720494147545
7,"say",0.0119232532769598
7,"like",0.0111697691174485
7,"man",0.0101554119552876
7,"quote",0.00870463881881796
7,"day",0.00760111018256914
7,"ragnrdannskjold",0.00725386568213662
7,"good",0.00715315378784603
8,"got",0.0161757017976309
8,"live",0.014706063171481
8,"something",0.0122467413904234
8,"go",0.0109616439520035
8,"thinking",0.0109437214557747
8,"first",0.0106439477976283
8,"haha",0.00957575626628404
8,"now",0.0095611077287107
8,"today",0.00847774996117965
8,"like",0.00833430692572307
9,"yfrog.com",0.0329951787477122
9,"green",0.0184773000988181
9,"happy",0.0131980714409782
9,"watching",0.0103504321700612
9,"go",0.00923865356266217
9,"going",0.00791884289950603
9,"call",0.00787864615890154
9,"tonight",0.00710052221787365
9,"next",0.00704556167028188
9,"today",0.00676795494881797
