"topic","term","beta"
1,"ihid.us",0.0233243033986273
1,"jds",0.0163270123790391
1,"rt",0.0150429050036711
1,"right",0.0150317084412184
1,"bed",0.0134899947707489
1,"now",0.0134238264718392
1,"joined",0.00932972135945092
1,"marketer",0.00932972135945092
1,"affiliates",0.00932972135944885
1,"time",0.00897981329002896
2,"good",0.0181344105609242
2,"look",0.0161640065110392
2,"just",0.0151611144354484
2,"tonight",0.0123930377251761
2,"waldrop",0.0120762909344424
2,"day",0.0107692004455448
2,"today",0.00803293330530113
2,"great",0.00790319598930737
2,"things",0.00746069626228871
2,"morning",0.00746069626228871
3,"like",0.0193413334392302
3,"rt",0.0145622030379686
3,"york",0.0129785505640132
3,"need",0.0121976137466783
3,"head",0.0109999468313582
3,"night",0.0109999467903457
3,"last",0.0109226378136456
3,"ha",0.00977773051686264
3,"never",0.00977773051686264
3,"turn",0.00855551420225481
4,"best",0.0205798553069191
4,"see",0.0147582281103853
4,"man",0.0116944738479535
4,"go",0.0115516569527194
4,"coffee",0.00924126096405556
4,"time",0.00907389850941059
4,"yes",0.00894390767412924
4,"next",0.00888304028158802
4,"day",0.00808615974219984
4,"good",0.00713558082418797
5,"rt",0.0390368184070859
5,"love",0.0202435634682989
5,"going",0.017081956584296
5,"u",0.0158090461429079
5,"can",0.00986194076891392
5,"know",0.00948225451532812
5,"w",0.00851271049078642
5,"find",0.00851227586186774
5,"done",0.00799058961856464
5,"r",0.00729660899230089
6,"tinyurl.com",0.0169448379692596
6,"ich",0.0147168090687171
6,"place",0.0147131977753737
6,"die",0.011821895559708
6,"way",0.0110995730631568
6,"one",0.0107031338681579
6,"good",0.0102120188690628
6,"see",0.00825627047347599
6,"play",0.0080273504011184
6,"band",0.0080273504011184
7,"just",0.00949508818382438
7,"left",0.00873457795665447
7,"think",0.00872029829287002
7,"rt",0.00767026563411617
7,"get",0.00764275596844479
7,"tell",0.00764171895224105
7,"west",0.00749262067661184
7,"now",0.00739868203581694
7,"york",0.006967064903936
7,"iphone",0.00655093368723839
7,"lion",0.00655093368723839
8,"lol",0.0160001533514964
8,"eu",0.0133289294130264
8,"url4",0.0133289294130264
8,"got",0.0107281564541439
8,"rt",0.00927714867265267
8,"racism",0.00848204599010769
8,"news",0.00848202955364342
8,"get",0.00830846731797556
8,"just",0.00819440598262061
8,"start",0.00814224271882957
9,"really",0.0171805558105066
9,"great",0.0104195345753623
9,"tweet",0.0103148151441255
9,"new",0.0101160447865064
9,"like",0.0098518164329896
9,"excited",0.00916872457279703
9,"wii",0.00916872456795315
9,"happy",0.00802263400124575
9,"feel",0.00802263400124575
9,"going",0.00764759013316381
