"topic","term","beta"
1,"can",0.018311699441818
1,"free",0.0167564918434705
1,"well",0.0146722295290313
1,"see",0.0135192631007394
1,"people",0.0135081453597095
1,"take",0.0121731072634555
1,"get",0.00825238891518019
1,"days",0.007953068997857
1,"rt",0.00777144328789138
1,"coffee",0.00768685705710553
2,"good",0.0323260688375518
2,"think",0.0254824653842372
2,"need",0.014514942411379
2,"morning",0.0130971770106797
2,"ready",0.0122586290513373
2,"t",0.0106456511898432
2,"yet",0.00871007630868737
2,"football",0.00858647720004925
2,"thought",0.00774229198412434
2,"day",0.00714422026142013
3,"just",0.0372788216457477
3,"night",0.0195991724319072
3,"last",0.0192669830973798
3,"time",0.0160773115488647
3,"done",0.0156123227245999
3,"made",0.0136194392819793
3,"birthday",0.0132875745470349
3,"got",0.0129985918564762
3,"like",0.0102380129895303
3,"day",0.0101151897543728
4,"new",0.0286687644958415
4,"blog",0.0127234812420745
4,"things",0.0120353567100238
4,"im",0.0113479694349187
4,"miss",0.00894082463975908
4,"c",0.00849735922134506
4,"love",0.00838337490293947
4,"big",0.0080241323733084
4,"game",0.00784170401872874
4,"via",0.00727178943523932
5,"lol",0.0196705621188288
5,"just",0.0125403635411408
5,"day",0.0121437514097689
5,"really",0.0110682399169558
5,"going",0.0108076502180733
5,"good",0.00953926219195885
5,"tomorrow",0.00941653213789476
5,"like",0.00909808966399291
5,"go",0.00858291173503161
5,"now",0.00768631835512602
6,"twitpic.com",0.0276970580773781
6,"feel",0.0129606386153273
6,"today",0.0115544839795532
6,"gonna",0.0115409023818019
6,"thanks",0.0102593387662706
6,"cool",0.00923303463580201
6,"lean",0.00923303463548472
6,"hybrid",0.00884832485932228
6,"news",0.00809583441834794
6,"ok",0.0080635376830738
7,"best",0.0157868807971576
7,"sure",0.0140658356675381
7,"want",0.0118630024901718
7,"old",0.011580129805588
7,"ow.ly",0.00976317037687151
7,"twitter",0.00860616379016178
7,"coming",0.00823660352195752
7,"go",0.00778901988679835
7,"guys",0.0075502473519374
7,"colts",0.00740000802252446
8,"great",0.0276200618596554
8,"one",0.02512414661294
8,"back",0.0138671694911384
8,"oh",0.0131327733034647
8,"way",0.0101554693381512
8,"u",0.00910490154647778
8,"get",0.00889196018989052
8,"day",0.00755061596264248
8,"bad",0.00754491015969123
8,"purdue",0.00728441210930316
9,"get",0.0293508866399747
9,"work",0.0235233948969125
9,"day",0.0128790330866238
9,"just",0.0115344619558161
9,"love",0.0111217220285341
9,"home",0.00998388703138878
9,"trying",0.00979370211504741
9,"head",0.00914798691090948
9,"today",0.0078806975118513
9,"another",0.00785052504343815
