"topic","term","beta"
1,"get",0.0328320339556835
1,"time",0.0210649726925518
1,"beer",0.0183177235725711
1,"got",0.0164465862053026
1,"know",0.0146541788580208
1,"one",0.0142435241087909
1,"thanks",0.0120433537684625
1,"rt",0.0117145797499004
1,"bourbon",0.0109906341435427
1,"porter",0.0109906341435427
2,"can",0.0357936036824034
2,"now",0.0279110440874855
2,"right",0.0146068223075376
2,"first",0.010555079602216
2,"time",0.00941911372916252
2,"morning",0.00922066463336038
2,"just",0.00896749553887966
2,"rt",0.00896400970207374
2,"work",0.00769644268346133
2,"fall",0.00753549551456163
2,"back",0.00753549551456163
2,"jalensmom",0.00753549551456163
3,"tonight",0.0169179181274034
3,"game",0.0150394839821129
3,"season",0.014874405350793
3,"rt",0.0146760615201988
3,"help",0.0131595482626192
3,"michael",0.00939967752952397
3,"see",0.00939967621541234
3,"awesome",0.00751974202361917
3,"heath",0.00751974202361917
3,"local",0.00751974202361917
3,"night",0.00751974202361917
3,"saragthatsme",0.00751974202361917
3,"ski",0.00751974202361917
3,"women's",0.00751974202361917
4,"one",0.0379847514856902
4,"great",0.019422855248616
4,"rt",0.018492961115395
4,"come",0.0184515923899532
4,"take",0.0146064053824988
4,"love",0.00907231822916933
4,"online",0.00834651736142791
4,"nonfiction",0.00834651736142791
4,"just",0.00834651736142791
4,"people",0.00818076888953172
5,"oh",0.0205973825427031
5,"going",0.0164779076776861
5,"still",0.0164517548759011
5,"cool",0.0102978077036323
5,"today",0.00850004275453749
5,"dream",0.00823895383884305
5,"fall",0.00823895383884305
5,"ow.ly",0.00823895383884305
5,"play",0.00823895383884081
5,"work",0.00735317778809137
6,"beautykiller",0.210163664740991
6,"just",0.0273881402450248
6,"make",0.0134967471011175
6,"know",0.0134965854791195
6,"love",0.0128260877163087
6,"much",0.0115686420958308
6,"jeffreestar",0.00964053507986199
6,"really",0.00964053506535636
6,"remember",0.00964053234265681
6,"rt",0.00817847954706484
7,"ow.ly",0.0193684395887557
7,"rsntv",0.0154947516710045
7,"rt",0.013557907712129
7,"first",0.0123902640166887
7,"happy",0.0116210628765755
7,"n",0.00968421979437784
7,"news",0.00968421979437784
7,"ski",0.0096842197943778
7,"snow",0.00968412158357382
7,"good",0.0092662141206981
8,"big",0.0118988688872395
8,"thanks",0.0112314454494929
8,"can",0.0105706161436686
8,"friday",0.0105706161436686
8,"tinyurl.com",0.0105706161436686
8,"smwhr23",0.0105704575438443
8,"great",0.00880884678639046
8,"interview",0.00880884678639046
8,"coming",0.008697758109173
8,"work",0.00807363931414474
9,"new",0.0257462051762541
9,"day",0.0187168370587043
9,"come",0.0126566924107157
9,"back",0.0124771042829051
9,"lots",0.0106946608139187
9,"chriscavs",0.0106946608139187
9,"week",0.0106946608139187
9,"today",0.0104687213358212
9,"looking",0.0102470349807281
9,"beautiful",0.00891221734493223
9,"skirts",0.00891221734493223
