"topic","term","beta"
1,"just",0.066433532251814
1,"wait",0.0100571977710511
1,"ever",0.00958428583402072
1,"talk",0.00757276692488176
1,"awesome",0.00693052176713302
1,"best",0.00684075610918051
1,"cool",0.00668321750473456
1,"now",0.00664365573201737
1,"weekend",0.00650598415207895
1,"like",0.00612397360242477
2,"can",0.0233506753800692
2,"make",0.0199087274100688
2,"want",0.019430789300325
2,"know",0.018339587770062
2,"get",0.0117756482991123
2,"looking",0.00977553586739507
2,"time",0.00946911994558384
2,"one",0.00856076395166464
2,"sure",0.00804349737785384
2,"show",0.00777884607921324
3,"u",0.0307833145182688
3,"lol",0.0151500741324285
3,"well",0.0138634053054233
3,"like",0.0120329669614461
3,"happy",0.0102310593782935
3,"let",0.00971530129448742
3,"feel",0.00949678161972015
3,"class",0.0089509969020967
3,"know",0.00809489265963845
3,"gonna",0.00731376041874678
4,"lol",0.0271042141260455
4,"going",0.0228482156925696
4,"work",0.0223559731992069
4,"now",0.0183658501636547
4,"home",0.0154620607187999
4,"get",0.0150249636734499
4,"night",0.0137867805255383
4,"right",0.0130984074896625
4,"good",0.0118210743412553
4,"way",0.0112847146544906
5,"rt",0.0288147949767364
5,"love",0.0129888282905528
5,"big",0.0117978436764588
5,"go",0.0114431281115839
5,"done",0.0103883410060707
5,"coming",0.00860547085224324
5,"new",0.00764131667153695
5,"soon",0.00735629825958226
5,"time",0.00598853141322806
5,"now",0.00531955546815193
6,"detroit",0.0249533930178976
6,"grand",0.0140762729894926
6,"mi",0.0126196095486249
6,"lions",0.0122847472946142
6,"rapids",0.0115169506277666
6,"michigan",0.0113889845096799
6,"social",0.00882966214795443
6,"football",0.00818983155752295
6,"job",0.00742203484758715
6,"media",0.00686120065262814
7,"need",0.0262399074173925
7,"today",0.0184142606623932
7,"like",0.0162572831742481
7,"around",0.00850377916354032
7,"good",0.00841588665200087
7,"school",0.00826081404427408
7,"though",0.00789636510757156
7,"john",0.0076839507579978
7,"still",0.0076494997973008
7,"time",0.00730792993444563
8,"new",0.0439369269974218
8,"twitpic.com",0.0112140518775257
8,"blog",0.0103019593161035
8,"check",0.010301304270776
8,"house",0.00991019600570936
8,"get",0.00833056597296565
8,"today",0.00824390615187702
8,"post",0.00821503122087635
8,"fall",0.00625907140243728
8,"online",0.0058678794443561
9,"rt",0.082319571571555
9,"great",0.0242966096447045
9,"win",0.0126291478753596
9,"follow",0.0109455058826404
9,"please",0.00962212496783135
9,"facebook",0.00878046076299798
9,"thanks",0.00869074377226853
9,"us",0.00832433959289312
9,"hey",0.00781821846744433
9,"artprize",0.00769793820317526
