"topic","term","beta"
1,"go",0.0130457395667475
1,"news",0.00951956463705352
1,"just",0.00917974952737271
1,"one",0.00865091024527884
1,"god",0.00841577273928924
1,"going",0.00835846409966912
1,"always",0.00824402231810281
1,"know",0.00757113217082582
1,"stop",0.00755702046011084
1,"better",0.00705597671032695
2,"can",0.0312859249426734
2,"take",0.0124810866654233
2,"old",0.00948562619010279
2,"wait",0.00890826501835312
2,"makes",0.00831946660198217
2,"back",0.0065738988637319
2,"also",0.00652569861612533
2,"go",0.00649972705443719
2,"sure",0.00649016502019836
2,"glad",0.00632374958048888
3,"city",0.0100750533962691
3,"video",0.0097570758118318
3,"bad",0.00942307635323239
3,"jordon",0.00681853994078009
3,"missouri",0.00662739474667499
3,"youtube",0.00587152050456048
3,"mean",0.00549270858234915
3,"man",0.00543708194727881
3,"chiefs",0.00533821518397592
3,"look",0.00520197464057338
4,"rt",0.026943193026236
4,"twitpic.com",0.0237674334202857
4,"time",0.0229493741326572
4,"get",0.0211287277516283
4,"need",0.0154572457830901
4,"best",0.0134452893357953
4,"just",0.00884771834225742
4,"yes",0.00831004182889467
4,"thanks",0.00762593074182258
4,"play",0.00731310932609256
5,"like",0.0314221563820347
5,"work",0.0202216273133369
5,"twitter",0.0201251059210314
5,"oh",0.0157780826577315
5,"hope",0.0100826724906237
5,"home",0.00806384144572258
5,"help",0.00713215547479287
5,"new",0.00697972523895003
5,"amazing",0.00676203558091
5,"sounds",0.0064400338340451
6,"day",0.0309653777968748
6,"make",0.0159963140004867
6,"last",0.0137950023968014
6,"getting",0.0120339381748208
6,"show",0.0113000501675033
6,"life",0.0111495199203974
6,"going",0.0110247822282187
6,"st",0.01012611882488
6,"weekend",0.00997936347822746
6,"night",0.00880698016507836
7,"good",0.046374181520397
7,"lol",0.0267727124584016
7,"got",0.0227857604257368
7,"think",0.0189896400847888
7,"really",0.0174940921241119
7,"just",0.0131009142157658
7,"rt",0.0123517754190145
7,"one",0.00873486351370586
7,"thing",0.0076319135631918
7,"keep",0.00755781401290762
8,"now",0.0480315250277912
8,"love",0.03196580841213
8,"u",0.0212001216889882
8,"right",0.0187157324285758
8,"com",0.0147407096118872
8,"playing",0.0135813279564221
8,"awesome",0.0113836726272849
8,"like",0.0103937444457062
8,"feel",0.00991609110735
8,"wow",0.00828129488090406
9,"people",0.0181166998004107
9,"know",0.0144934508170534
9,"rt",0.0118432738631593
9,"fb",0.0105155226932442
9,"check",0.00913511244578939
9,"tomorrow",0.00889907062735907
9,"lunch",0.0078723278972012
9,"cards",0.00787025654131147
9,"just",0.00770152847265162
9,"friends",0.00701665583080905
