"topic","term","beta"
1,"lol",0.0246902951841713
1,"u",0.0179309181129558
1,"just",0.0147297993611929
1,"good",0.0131476288195038
1,"well",0.0120460532062212
1,"get",0.0113186383190688
1,"live",0.0108286406047187
1,"twitter",0.0105345823552181
1,"rt",0.00899959109249193
1,"like",0.00868943853357654
2,"rt",0.0182180886970191
2,"happy",0.0112071388506629
2,"like",0.00789513607707856
2,"just",0.0073856706640753
2,"weekend",0.00664186688466257
2,"birthday",0.00660419571493862
2,"someone",0.00640407878199473
2,"get",0.00606388876053761
2,"watch",0.00598329022823866
2,"tumblr.com",0.00560356942531821
3,"vegas",0.0854058092830809
3,"las",0.0544948595425556
3,"food",0.010990559112674
3,"event",0.0107615899096643
3,"rt",0.0104223052538242
3,"nv",0.0098032231704928
3,"jobs",0.00892982992504062
3,"cli.gs",0.00801394993272876
3,"dining",0.00664012994426098
3,"s",0.00655461186411641
4,"new",0.0375847769486111
4,"rt",0.0347234171256437
4,"news",0.0149227501912021
4,"week",0.0106640931515671
4,"follow",0.0102327429440936
4,"real",0.00895365005745476
4,"ap",0.00810092153299971
4,"tinyurl.com",0.00767583204421554
4,"top",0.00746011201789479
4,"twitter",0.00677751501046128
5,"one",0.0258463465744571
5,"time",0.0139777142555093
5,"just",0.0123589205674573
5,"work",0.0118292116283126
5,"much",0.0114082095237453
5,"need",0.0108291556790812
5,"go",0.00823579412157298
5,"like",0.00780335426237276
5,"day",0.00764007325595546
5,"tonight",0.00747440371717016
6,"show",0.0170608678985071
6,"haha",0.0154920524595397
6,"take",0.0139232245166633
6,"really",0.0133730050143185
6,"just",0.0113691832044424
6,"gonna",0.0106817705164535
6,"think",0.00855503330334456
6,"said",0.00784407719466105
6,"ass",0.00784130166885691
6,"omg",0.00745187321121517
7,"home",0.0207486116609139
7,"video",0.0166468622773838
7,"reno",0.0129982349250277
7,"house",0.0112768785350058
7,"get",0.00851894749558462
7,"morning",0.00810052338799966
7,"game",0.00807545822342537
7,"su.pr",0.00775333311553046
7,"early",0.00752510712890837
7,"interview",0.0068411762784072
8,"got",0.0223840133213526
8,"right",0.0170242941842196
8,"just",0.0141245061837264
8,"now",0.012828287800421
8,"rt",0.0101089075737202
8,"good",0.00957509465251214
8,"hot",0.00849231819430339
8,"still",0.00848776220879046
8,"ff",0.00795046481579365
8,"lol",0.00779269053119193
9,"get",0.0134638529884399
9,"great",0.0117992697829556
9,"awesome",0.0100505307193733
9,"now",0.00926787958319184
9,"day",0.00903907103781104
9,"thank",0.00773106315634423
9,"ow.ly",0.00747971595643449
9,"u",0.00729970139750328
9,"want",0.00679100419619065
9,"love",0.00649320382867532
