"topic","term","beta"
1,"go",0.0190189472056435
1,"live",0.0127837138742144
1,"year",0.00964832736719538
1,"photo",0.00908103048972333
1,"d",0.00789430491436332
1,"tinyurl.com",0.00765899972004442
1,"ready",0.00758472428605917
1,"cool",0.00742993403689594
1,"media",0.00639415653182148
1,"bills",0.00634640198804735
2,"good",0.0298501489555728
2,"week",0.0159152383380645
2,"make",0.014049010136566
2,"day",0.0133084688893719
2,"need",0.0132709240762195
2,"tonight",0.0130764642552466
2,"work",0.0128303515568868
2,"get",0.0126904957678295
2,"now",0.012499993568917
2,"today",0.0108486065007352
3,"just",0.0243669133442698
3,"night",0.0200135337679984
3,"twitter",0.014809068721707
3,"last",0.0143359355361363
3,"awesome",0.00884758409422603
3,"follow",0.00790131116128629
3,"call",0.00766466205113367
3,"go",0.00718443093211328
3,"w",0.00618907532642685
3,"obama",0.00615248733583094
4,"know",0.0245635819599882
4,"lol",0.024172917261523
4,"going",0.0227074045011241
4,"rt",0.0171471285652428
4,"want",0.0166976892110517
4,"ny",0.0135113238549403
4,"free",0.0134293982637003
4,"come",0.0124523334572194
4,"jobs",0.00922965931809088
4,"looking",0.00879015173129731
5,"us",0.0145690985654614
5,"video",0.013556065824925
5,"never",0.00964842436829463
5,"like",0.00918389580630252
5,"man",0.00892481407554137
5,"yes",0.00892481332282941
5,"watching",0.00858711758859425
5,"old",0.00771791161754611
5,"season",0.00713982788613109
5,"facebook",0.00704335934799789
6,"see",0.0246846816834529
6,"really",0.0151669325894355
6,"just",0.0117842762941204
6,"love",0.0110662272254173
6,"music",0.00873496745962558
6,"ever",0.00826177229708241
6,"nice",0.00815028424059189
6,"yeah",0.00756162279867531
6,"little",0.00732821175640863
6,"like",0.00710459900747
7,"rt",0.0527294560877281
7,"right",0.015833811834984
7,"today",0.0148772261663668
7,"much",0.0148409537474138
7,"oh",0.0120999319476039
7,"happy",0.0115800113490063
7,"now",0.0105043986441426
7,"think",0.0103825589127591
7,"great",0.00977832949474131
7,"like",0.00763402823077779
8,"new",0.0661326126364073
8,"york",0.0165378278472546
8,"game",0.0118215071993831
8,"post",0.011627712111945
8,"ny",0.00781585015818085
8,"reading",0.00697662726636129
8,"blog",0.00655203684917567
8,"health",0.00615292037117427
8,"hate",0.00610454881477938
8,"play",0.00586230485642097
9,"one",0.0305126870073149
9,"rt",0.0202192747999316
9,"thanks",0.0190424250246428
9,"u",0.0180118985233118
9,"via",0.0129040456932569
9,"just",0.0115730365766478
9,"life",0.00749258542577604
9,"twitpic.com",0.0074875752360138
9,"long",0.00698969190142032
9,"take",0.0067042582152181
