"topic","term","beta"
1,"now",0.042931740966681
1,"day",0.0409850788004301
1,"going",0.0196262159780504
1,"right",0.0192271167572387
1,"us",0.0153214210145286
1,"rt",0.0145582063298825
1,"best",0.0126974061515882
1,"iphone",0.0110621767644385
1,"happy",0.0105354008505909
1,"talk",0.00869171021884277
2,"year",0.0119954724029975
2,"next",0.0109478490492467
2,"sure",0.0103441198238954
2,"old",0.00963957667931541
2,"w",0.00917629460139632
2,"rt",0.00914006941884546
2,"twitpic.com",0.00852464024268391
2,"wow",0.00769015260217793
2,"run",0.00737413632648412
2,"big",0.00705471394262828
3,"go",0.029592579365966
3,"like",0.0222012612069936
3,"night",0.0155888104892044
3,"last",0.0148802281943855
3,"really",0.0146115845792672
3,"way",0.01369903144161
3,"game",0.0122820844991275
3,"good",0.0121809521632987
3,"back",0.0111098158470743
3,"still",0.0106231783534228
4,"just",0.0184819961169814
4,"got",0.0146030000443941
4,"awesome",0.0127633024461607
4,"rt",0.0101911500255434
4,"little",0.00942100469176494
4,"think",0.0093689375880282
4,"coming",0.00911718898174702
4,"today",0.00845821494499493
4,"lol",0.0065787389639803
4,"show",0.00636829850686609
5,"love",0.0454958897112125
5,"ok",0.0272563930799904
5,"oklahoma",0.0249369710337176
5,"city",0.0179736996913242
5,"loopt.us",0.0123569185401255
5,"good",0.00810011954842473
5,"thanks",0.00727534705561585
5,"please",0.0072415802789363
5,"today",0.00716576535268893
5,"tulsa",0.00714214291067133
6,"morning",0.0206811727872673
6,"twitter",0.0193941408149418
6,"baby",0.0106420546751193
6,"everyone",0.0103405873771671
6,"today",0.0101546584691092
6,"treyfu",0.00890084601978795
6,"good",0.00833846292407887
6,"insurance",0.0079075079945119
6,"follow",0.00681771525728713
6,"looks",0.00677688982021052
7,"just",0.0626723202893386
7,"new",0.057441259925871
7,"post",0.0307822948860222
7,"blog",0.0280662100919576
7,"check",0.0121857478351988
7,"wait",0.0114679137796636
7,"rt",0.00925744894427739
7,"video",0.00765303430387629
7,"added",0.00754468013224668
7,"lol",0.0061668362354787
8,"know",0.0195604564033821
8,"time",0.0164045237497574
8,"tulsa",0.0161949658349633
8,"can",0.0131495059420116
8,"lol",0.0121430166963665
8,"get",0.0102857189179549
8,"work",0.010018134293183
8,"haha",0.00996769532829568
8,"never",0.00941393176391627
8,"rt",0.0084744471578687
9,"rt",0.0331843773531421
9,"get",0.0256420562890857
9,"great",0.0237719157055194
9,"weekend",0.0160816313281006
9,"free",0.0148707442212482
9,"look",0.0128652284712016
9,"live",0.0116957596567011
9,"watching",0.0105261836898672
9,"win",0.00964900161385426
9,"first",0.00731447229074151
