"topic","term","beta"
1,"one",0.0225239837288695
1,"back",0.0220990152011746
1,"memphis",0.022098730236554
1,"twitpic.com",0.0169227206370402
1,"fun",0.0148800035693866
1,"oh",0.0119523977780379
1,"yeah",0.01134415689474
1,"wow",0.0100181853771295
1,"well",0.00997373018712244
1,"never",0.00851723607335221
2,"go",0.0322774944513121
2,"now",0.0152829792220852
2,"right",0.0143306750509931
2,"going",0.0138011497485906
2,"lol",0.0136304789240232
2,"rt",0.0135984768513462
2,"haha",0.0113840107489788
2,"im",0.00950913956398353
2,"school",0.00937518904281178
2,"better",0.00922332250664445
3,"think",0.0195803224012607
3,"rain",0.0147566003950027
3,"watch",0.0123231223348067
3,"people",0.0111862495890872
3,"let",0.0109539108380286
3,"tinyurl.com",0.00833358763809829
3,"football",0.00745474640461104
3,"game",0.00699379134771934
3,"county",0.00699232590468094
3,"call",0.00684619567770402
4,"know",0.0292151593917066
4,"home",0.0173968445219346
4,"just",0.0135682082789236
4,"take",0.0124262817922505
4,"weekend",0.0115491659195059
4,"like",0.0110527925430751
4,"now",0.0106917824683341
4,"can",0.0104453589148161
4,"work",0.0103925093686855
4,"working",0.00877151052797402
5,"got",0.0272796056625993
5,"just",0.0221174537896573
5,"great",0.0203274612613601
5,"like",0.0201158473303346
5,"thanks",0.0154866388443385
5,"new",0.0153571603637513
5,"lol",0.0133535098402893
5,"awesome",0.0121242907571704
5,"happy",0.0103727791128576
5,"check",0.00906336509696612
6,"rt",0.053634338526209
6,"day",0.038767077868613
6,"tonight",0.0226633139532944
6,"ready",0.0120365532551736
6,"gonna",0.0115428105941391
6,"best",0.0112541794588886
6,"world",0.0103170456480975
6,"friends",0.0099022120724156
6,"looking",0.00854003732417666
6,"damn",0.0079722625462808
7,"get",0.0532025147579282
7,"just",0.0262058692927419
7,"can",0.0248384345406007
7,"u",0.0236828731574938
7,"new",0.0172579748413326
7,"free",0.0126247979353876
7,"now",0.0121882865640299
7,"tomorrow",0.0120800736058977
7,"first",0.0120187101084322
7,"need",0.0116370779487837
8,"see",0.024570704754029
8,"new",0.012433712467791
8,"via",0.0113952663959532
8,"life",0.0106923790602987
8,"music",0.00976528536342829
8,"days",0.0096048257452455
8,"video",0.00889593677687312
8,"say",0.0088664296355652
8,"rt",0.00852274187109164
8,"try",0.0080327180345552
9,"good",0.0478862500454759
9,"love",0.039128316009977
9,"night",0.0218949074427753
9,"time",0.0214640275965869
9,"morning",0.0180809558237707
9,"last",0.0139832797321024
9,"live",0.00974605380681621
9,"made",0.00946424957040116
9,"yes",0.00821076789391829
9,"rt",0.00805409162745888
