"topic","term","beta"
1,"climate",0.0343852066560924
1,"rt",0.0292724889603693
1,"eco",0.0250119780081253
1,"loveearthalways",0.0250119780081253
1,"green",0.025011065034313
1,"must",0.0218854807571096
1,"via",0.0218854807571096
1,"digg.com",0.0218854807571096
1,"susty",0.018758983506094
1,"energy",0.018758983506094
2,"twitter",0.0199073792253456
2,"getting",0.0174189568221774
2,"last",0.0174189568221774
2,"ow.ly",0.0149305344190092
2,"just",0.0149305344190092
2,"sidthecatahoula",0.0149305344190092
2,"brunothedog",0.012442112015841
2,"might",0.0124418911949328
2,"like",0.0116280409300382
2,"good",0.0106643743935079
3,"fb",0.0214535969268444
3,"great",0.0206724758732431
3,"rt",0.0181867080396471
3,"can",0.013969805425953
3,"just",0.0120351575456409
3,"time",0.0107780896096863
3,"play",0.00931320361730198
3,"think",0.00931320361730198
3,"day",0.00877145592758177
3,"one",0.00837413429247238
4,"ow.ly",0.0224620577346354
4,"another",0.0196485942501183
4,"get",0.0176248254722726
4,"fb",0.0140387860841471
4,"post.ly",0.0138950385221735
4,"raiders",0.012447185076055
4,"keep",0.0112310288673177
4,"online",0.0112310288673177
4,"batch",0.0112310288673089
4,"nfl",0.0112310287966371
5,"fb",0.0187054487065635
5,"tonight",0.016730782889223
5,"rt",0.0143406710479054
5,"seo",0.00956044736527028
5,"climate",0.00956044736527028
5,"friday",0.00956044736527028
5,"just",0.0083040771694967
5,"one",0.00717033552395271
5,"ow.ly",0.00717033552395271
5,"world",0.00717033552395271
5,"saying",0.00717033552395271
5,"week",0.00717033552395271
5,"every",0.00717033552395271
5,"thing",0.00717033552395271
5,"also",0.00717033552395271
5,"said",0.00717033552395271
5,"think",0.00717033552395271
6,"social",0.0433150627485363
6,"media",0.0280273119505707
6,"ow.ly",0.0270199090787164
6,"rt",0.0178356140729285
6,"new",0.0178356140729285
6,"jitsu",0.0152876692053673
6,"jiu",0.0152876692053673
6,"post",0.0101917794702449
6,"blog",0.0101917794702449
6,"real",0.0101917794702449
6,"time",0.0101917794702449
7,"now",0.024829489047534
7,"rt",0.0191032241960886
7,"oh",0.01250654728497
7,"like",0.0118825923633058
7,"patriots",0.0115700305801267
7,"dont",0.010005237827976
7,"zerogreenhouse",0.010005237827976
7,"chargers",0.00932252860348708
7,"raiders",0.00892181686555691
7,"class",0.00750392837098204
7,"may",0.00750392837098204
7,"really",0.00750392837098204
7,"stuff",0.00750392837098204
7,"awe",0.00750392837098204
7,"guy",0.00750392837098204
7,"history",0.00750392837098204
7,"awesome",0.00750392837098204
7,"got",0.00750392837098204
8,"ow.ly",0.0136002307909684
8,"tips",0.0100828152956076
8,"time",0.0100828152956076
8,"wow",0.0100828152956076
8,"life",0.0100828152956076
8,"heading",0.0100828152956076
8,"great",0.00979007443463482
8,"stay",0.00756211147170573
8,"really",0.00756211147170573
8,"seen",0.00756211147170573
8,"quiche",0.00756211147170573
8,"giant",0.00756211147170573
9,"new",0.0152748551484085
9,"weekend",0.0152748519375227
9,"hypem",0.0130927329843502
9,"night",0.0130927329843502
9,"btv",0.0130927329843502
9,"vt",0.0130927329788754
9,"two",0.0109106108202918
9,"morning",0.0109104745167072
9,"fb",0.0102470599324171
9,"day",0.00977747173023589
