"topic","term","beta"
1,"rt",0.0156915144446516
1,"like",0.0140451625183883
1,"get",0.0122942490412068
1,"one",0.0113774017905215
1,"great",0.00797213020071727
1,"today",0.00708766017664118
1,"twitpic.com",0.00626491340043183
1,"know",0.00510902482151911
1,"new",0.00437392443151662
1,"work",0.00434971679672786
2,"day",0.0121355349779118
2,"good",0.0104795926844377
2,"today",0.00860165674909397
2,"new",0.00689757904965341
2,"great",0.00634857621488084
2,"love",0.00452170847412006
2,"can",0.00450181857041826
2,"well",0.00433180442853977
2,"life",0.00422138581110608
2,"tinyurl.com",0.00419093230998114
3,"one",0.00840047429510343
3,"go",0.00832021958708869
3,"going",0.00702091392391349
3,"like",0.00550348471670151
3,"school",0.00546631373011208
3,"get",0.00510940242792899
3,"can",0.00508539771814378
3,"night",0.00497339954934748
3,"know",0.00465453200522234
3,"got",0.00452495623801756
4,"can",0.0100254508435717
4,"now",0.00772415100149671
4,"new",0.00613887459667436
4,"think",0.00536841960593181
4,"time",0.00502231967720826
4,"rt",0.00500198471358326
4,"w",0.00446824242000437
4,"one",0.00434775984260766
4,"tonight",0.00414695460681412
4,"going",0.00409778481279814
5,"day",0.0109073238491923
5,"today",0.00842192508295238
5,"u",0.00821262826186477
5,"love",0.00793756171911836
5,"new",0.00658288453497832
5,"good",0.00600344501647559
5,"now",0.00579579811059761
5,"need",0.00560739453565294
5,"like",0.00552216281835272
5,"know",0.00527218791767248
6,"just",0.0102805690020962
6,"good",0.00695607137488417
6,"u",0.00525222424714937
6,"way",0.00473744472964276
6,"now",0.00458340807849739
6,"got",0.0044336797496742
6,"tinyurl.com",0.00431051233091341
6,"week",0.00421413025750969
6,"lol",0.00419759337027921
6,"going",0.00405986924724399
7,"just",0.00853453619300171
7,"can",0.00740862050606197
7,"need",0.00624493967040136
7,"time",0.00517306053062176
7,"see",0.00459121405106723
7,"love",0.0045451490267205
7,"go",0.00450219697627077
7,"lol",0.00446646050925321
7,"want",0.00424875744093007
7,"new",0.00412048295425258
8,"rt",0.0306496107498995
8,"just",0.0167706925190899
8,"love",0.00870431908785613
8,"lol",0.00827736998048878
8,"good",0.00809334499365547
8,"now",0.00801935949550596
8,"time",0.00540259096636799
8,"like",0.00475179964949891
8,"new",0.00467456672409289
8,"twitpic.com",0.00431230626933535
9,"just",0.0199608832011606
9,"get",0.0142711207307157
9,"rt",0.00926993570088458
9,"lol",0.00912646956196399
9,"like",0.00832329680727482
9,"now",0.00631398607669669
9,"good",0.00572201895277405
9,"day",0.00528756656886655
9,"come",0.00514251380250033
9,"back",0.00418179991222658
10,"rt",0.0191996319818424
10,"new",0.00924939042528454
10,"get",0.00893709635298048
10,"f",0.00547466802092081
10,"u",0.00543670996312759
10,"got",0.00506540134467111
10,"now",0.00506113749487362
10,"love",0.00499610042206482
10,"just",0.00475514674346987
10,"go",0.00438800845562914
